"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/content/Story/MISSIONS/DIA_GRD_203_Bullit.d:43","Wen haben wir denn da? Du bist doch der Typ, den ich getauft habe? Was willst du? Noch mehr Schläge?","Kohopak to tady máme? Není to ten chlápek, kterého jsem kdysi pokřtil? Co chceš? Další výprask?","","","DIA_Bullit_First_06_00","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_203_Bullit.d:55","Ich bin gekommen, um dir dein großes Maul zu stopfen.","Přišel jsem, abych ti zacpal tu tvojí velkou hubu.","","","DIA_Bullit_AufsMAul.description","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_203_Bullit.d:65","Ich bin gekommen, um dir dein großes Maul zu stopfen.","Přišel jsem, abych ti zacpal tu tvoji velkou hubu.","","","DIA_Bullit_AufsMAul_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_203_Bullit.d:66","Ja, dann komm mal her, Bürschchen!","Ha, tak pojď a zkus to, chlapečku!","","","DIA_Bullit_AufsMAul_06_01","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_203_Bullit.d:98","Du schon wieder. Ich hätte dich schon am ersten Tag im See versenken sollen!","Zase ty! Měl jsem tě utopit v jezeře hned, jak jsem tě poprvé uviděl!","","","DIA_GRD_203_Bullit_Wait4SC_06_01","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_203_Bullit.d:99","Damals hatte ich keine Chance - jetzt ist genau das Gegenteil der Fall.","Tehdy jsem neměl šanci - teď se ale karta obrátila.","","","DIA_GRD_203_Bullit_Wait4SC_15_02","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_203_Bullit.d:100","Du Wurm! Ich hoffe, dass du es mir nicht so einfach machst, wie beim ersten Mal!","Ty červe! Jenom doufám, že mi to tentokrát neusnadníš tak, jako poprvé!","","","DIA_GRD_203_Bullit_Wait4SC_06_03","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:47","Wer hat DICH denn reingelassen?","A kdo pustil dovnitř TEBE?","","","DIA_Scorpio_Hello_13_00","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:48","Thorus.","Thorus.","","","DIA_Scorpio_Hello_15_01","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:49","Und was willst du hier?","A co tady chceš?","","","DIA_Scorpio_Hello_13_02","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:52","Ich wollte mal wissen, wie's hier drin aussieht.","Jen jsem chtěl vidět, jak to tu vypadá.","","","DIA_Scorpio_Hello.DIA_Scorpio_Hello_JustLooking","Info_AddChoice",""
"Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:53","Ich habe eine Botschaft für die Magier.","Mám zprávu pro mágy.","","","DIA_Scorpio_Hello.DIA_Scorpio_Hello_Mages","Info_AddChoice",""
"Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:56","Ich habe eine Ladung Kraut für Gomez.","Nesu nějakou drogu z bažin pro Gomeze.","","","DIA_Scorpio_Hello.DIA_Scorpio_Hello_Kraut","Info_AddChoice",""
"Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:61","Ich bin auf dem Weg zu Gomez. Ich will mich euch anschließen.","Přišel jsem, abych se setkal s Gomezem. Chci se k vám přidat.","","","DIA_Scorpio_Hello.DIA_Scorpio_Hello_Join","Info_AddChoice",""
"Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:67","Ich wollte mal wissen, wie's hier drin aussieht.","Jen jsem chtěl vidět, jak to tu vypadá.","","","DIA_Scorpio_Hello_JustLooking_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:68","Sehr witzig.","Fakt vtipné.","","","DIA_Scorpio_Hello_JustLooking_13_01","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:74","Ich habe eine Botschaft für die Magier.","Mám zprávu pro mágy.","","","DIA_Scorpio_Hello_Mages_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:75","Du arbeitest für die Magier? Damit will ich nichts zu tun haben ...","Ty pracuješ pro mágy? S tím nechci nic mít...","","","DIA_Scorpio_Hello_Mages_13_01","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:81","Ich habe eine Ladung Kraut für Gomez.","Nesu nějakou drogy z bažin pro Gomeze.","","","DIA_Scorpio_Hello_Kraut_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:82","Dann bring sie in das Haus mit den beiden Wachen vor der Tür.","Tak ji odevzdej v tom domě se dvěma strážemi přede dveřma.","","","DIA_Scorpio_Hello_Kraut_13_01","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:88","Ich bin auf dem Weg zu Gomez. Ich will mich euch anschließen.","Jsem na cestě za Gomezem. Chci se k vám přidat.","","","DIA_Scorpio_Hello_Join_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:89","Du? Hast du überhaupt schon was für uns geleistet?","Ty? A cos pro nás asi tak udělal?","","","DIA_Scorpio_Hello_Join_13_01","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:90","Die Schatten waren zufrieden.","Stínové se mnou byli spokojeni.","","","DIA_Scorpio_Hello_Join_15_02","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:91","Von Schatten will hier keiner was hören. Hier drin geben WIR den Ton an.","Nikoho z nás tady Stínové nezajímají. Tady určujeme pravidla MY.","","","DIA_Scorpio_Hello_Join_13_03","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:105","Kannst du mir beibringen zu kämpfen?","Naučíš mě bojovat?","","","DIA_Scorpio_REFUSETRAIN.description","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:118","Kannst du mir beibringen zu kämpfen?","Naučíš mě bojovat?","","","DIA_Scorpio_REFUSETRAIN_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:119","Ich unterrichte nur Gardisten. Bis Thorus dich nicht zum Gardisten gemacht hat, musst du dir jemand anderen suchen.","Cvičím jenom stráže. Dokud tě Thorus nejmenuje jedním z nás, budeš si muset najít někoho jiného.","","","DIA_Scorpio_REFUSETRAIN_13_01","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:149","War die beste Entscheidung von dir, zu uns zu kommen!","Přidat se k nám byla tvoje nejlepší volba v životě!","","","GRD_205_Scorpio_WELCOME_Info_13_01","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:163","Kann ich von dir lernen?","Budeš mě učit?","","","GRD_205_Scorpio_CROSSBOW.description","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:177","Kann ich von dir lernen?","Budeš mě učit?","","","GRD_205_Scorpio_CROSSBOW_Info_15_01","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:178","Wenn du genug Erz hast, zeige ich dir den Umgang mit der Armbrust. Gib mir einfach 200 Erz.","Pokud máš dost rudy, naučím tě, jak používat kuši. Zaplať mi 200 nugetů.","","","GRD_205_Scorpio_CROSSBOW_Info_13_02","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:206","Einverstanden. Zeig mir den Umgang mit der Armbrust.","Nauč mě ještě lépe zacházet s kuší.","","","GRD_205_Scorpio_CROSSBOW_OK_15_01","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:211","Gut, fangen wir direkt an.","Dobře, tak můžeme rovnou začít.","","","GRD_205_Scorpio_CROSSBOW_OK_13_02","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:212","Fasse die Armbrust am Schaft an, um ruhig zielen zu können, drücke sie an deine Schulter.","Abys mohl v klidu zacílit, opři si kuši o rameno.","","","GRD_205_Scorpio_CROSSBOW_OK_13_03","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:213","In den ersten paar Tagen wirst du ein Gefühl haben, als ob dir die Schulter abfällt.","V prvních dnech budeš mít pocit, jakoby ti to rameno mělo upadnout.","","","GRD_205_Scorpio_CROSSBOW_OK_13_04","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:214","Aber schon nach einer Woche hast du eine Schulter wie aus Stein!","Ale už po týdnu budeš mít rameno jako z kamene!","","","GRD_205_Scorpio_CROSSBOW_OK_13_05","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:215","Visier dein Ziel an und zieh durch. Der Bolzen bekommt mehr Kraft als ein Pfeil durch einen gespannten Bogen, von daher richtest du mehr Schaden an!","Zamiř přímo na cíl , a vystřel. Šipka z kuše má daleko větší sílu, než šíp z nataženého luku, takže způsobí větší škody!","","","GRD_205_Scorpio_CROSSBOW_OK_13_06","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:222","ZWEIHUNDERT ERZ. Jeder einzelne Brocken in meine Hand. Wenn du das Erz nicht hast, dann besorge es dir!","DVĚ STĚ nugetů pěkně sem, na ruku. Jestli nemáš dost nugetů, tak si je sežeň!","","","GRD_205_Scorpio_CROSSBOW_OK_13_07","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:236","Zeige mir mehr über den Umgang mit der Armbrust","Nauč mě víc o zacházení s kuší.","","","GRD_205_Scorpio_CROSSBOW2.description","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:249","Zeige mir mehr über den Umgang mit der Armbrust","Nauč mě víc o zacházení s kuší.","","","GRD_205_Scorpio_CROSSBOW2_Info_15_01","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:250","Kostet dich 300 Erz.","To tě bude stát 300 nugetů.","","","GRD_205_Scorpio_CROSSBOW2_Info_13_02","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:264","Lass uns direkt anfangen.","Tak začněme.","","","GRD_205_Scorpio_CROSSBOW2_OK_15_01","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:269","Gut. Du bekommst mehr Treffsicherheit und Ruhe, wenn du beim Schuss in die Knie gehst","Dobře. Pokud si při střelbě klekneš, budeš víc v klidu, a tvé střely budou přesnější.","","","GRD_205_Scorpio_CROSSBOW2_OK_13_02","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:270","Lerne die Geschwindigkeit von beweglichen Zielen einzuschätzen.","Musíš se naučit odhadnout, jakou rychlostí se pohybuje tvůj protivník.","","","GRD_205_Scorpio_CROSSBOW2_OK_13_03","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:271","Schieß in die Laufbahn des Zieles, dann wirst du es treffen und es dadurch auch in seiner Bewegung aufhalten.","Pak vystřel šipku do jeho dráhy tak, abys ho zasáhnul a zpomalil jeho pohyb.","","","GRD_205_Scorpio_CROSSBOW2_OK_13_04","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:272","Wenn du mehrere Ziele hast, dann verschwende keine Zeit, sondern nagel' alle Ziele mit gezielten Schüssen fest und strecke sie abwechselnd nieder.","Pokud máš více než jednoho protivníka, neztrácej čas se střílením po všech. Sundej je jednoho po druhém a nestřídej cíle.","","","GRD_205_Scorpio_CROSSBOW2_OK_13_05","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:273","Du hast jetzt alles gelernt, was ich dir beibringen kann.","Už ses naučil všechno, co jsem ti mohl předat.","","","GRD_205_Scorpio_CROSSBOW2_OK_13_06","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:280","Junge, sieh erst mal zu, dass du irgendwo DREIHUNDERT Erz auftreibst.","Chlapče, nejdřív se postarej, abys sehnal TŘI STA nugetů.","","","GRD_205_Scorpio_CROSSBOW2_OK_13_07","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:309","Hey, keine Angst, Mann, komm mal rüber!","Hej, neboj se, chlape. Pojď sem!","","","GRD_205_Scorpio_HeyPC_Info_13_01","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:321","Alles klar bei dir?","Všechno v pořádku?","","","GRD_205_Scorpio_BANISHED.description","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:334","Alles klar bei dir?","Všechno v pořádku?","","","GRD_205_Scorpio_BANISHED_Info_15_01","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:335","Ich habe mich hier her verzogen. Für den Mist, den die Gardisten gerade abziehen, habe ich nichts übrig.","Zašil jsem se tady. To svinstvo, které stráže začaly provádět, jde mimo mě.","","","GRD_205_Scorpio_BANISHED_Info_13_02","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:336","Aber ich habe mir ein paar gute Stücke aus der Waffenkammer mitgenommen. Wenn du eine Waffe brauchst, sag mir Bescheid.","Mám tady ale pár pěkných věciček ze zbrojnice. Když budeš potřebovat nějakou zbraň, dej mi vědět.","","","GRD_205_Scorpio_BANISHED_Info_13_03","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:356","Zeig mir deine Ware","Ukaž, co máš.","","","GRD_205_Scorpio_TRADE.description","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:369","Zeig mir deine Ware.","Ukaž, co máš.","","","GRD_205_Scorpio_TRADE_Info_15_01","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_208_Cutter.d:33","Ihr habt ganz schön viel Platz hier in der Burg.","Máte tady na hradě spoustu místa.","","","DIA_Cutter_Hello.description","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_208_Cutter.d:46","Ihr habt ganz schön viel Platz hier in der Burg.","Máte tady na hradě spoustu místa.","","","DIA_Cutter_Hello_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_208_Cutter.d:47","Ich habe dich hier noch nie gesehen. Wer bist du?","Tebe jsem tu ještě nikdy neviděl. Kdo jsi?","","","DIA_Cutter_Hello_08_01","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_208_Cutter.d:48","Ich bin neu hier. Wollte mich mal ein bisschen umsehen.","Jsem tady nový. Jen jsem se chtěl trochu porozhlídnout.","","","DIA_Cutter_Hello_15_02","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_208_Cutter.d:61","Was kannst du mir über die Burg sagen?","Co mi můžeš říci o hradu?","","","DIA_Cutter_Burg.description","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_208_Cutter.d:74","Was kannst du mir über die Burg sagen?","Co mi můžeš říci o hradu?","","","DIA_Cutter_Burg_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_208_Cutter.d:75","Nach dem großen Aufstand haben sich Gomez und seine Jungs die Burg unter den Nagel gerissen.","Po velkém povstání to tu má pod palcem Gomez a jeho banda.","","","DIA_Cutter_Burg_08_01","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_208_Cutter.d:76","Ich hab' damals schnell gemerkt, dass es besser ist, sich ihm anzuschließen.","Hned jsem věděl, že bude lepší se k němu přidat.","","","DIA_Cutter_Burg_08_02","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_208_Cutter.d:77","Schon als wir damals noch alle im Kerker eingepfercht waren, und in den Minen schuften mussten hatte er unter den Gefangenen am meisten zu sagen.","Už když jsme se mačkali ve vězení a museli otročit v dolech, mělo jeho slovo největší váhu.","","","DIA_Cutter_Burg_08_03","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_208_Cutter.d:78","Es gibt Kerker unter der Burg?","Pod hradem je vězení?","","","DIA_Cutter_Burg_15_04","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_208_Cutter.d:79","Ja, aber sie sind heute leer. Seit dem großen Aufstand will da niemand mehr rein.","Jo, ale je prázdné. Po velkém povstání už tam nikdo nebyl uvězněný.","","","DIA_Cutter_Burg_08_05","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_208_Cutter.d:92","Wie ist das Leben als Gardist?","Jaké to je být strážcem?","","","DIA_Cutter_PERM.description","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_208_Cutter.d:105","Wie ist das Leben als Gardist?","Jaké to je být strážcem?","","","DIA_Cutter_PERM_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_208_Cutter.d:106","Ruhig. Wir sind das größte und stärkste Lager in der Kolonie - mit uns legt sich keiner an.","V pohodě. Jsme největší a nejsilnější tábor v Kolonii. Nikdo si na nás nedovoluje.","","","DIA_Cutter_PERM_08_01","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_208_Cutter.d:107","Verstehe.","Aha.","","","DIA_Cutter_PERM_15_02","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_208_Cutter.d:132","Du hast die richtige Entscheidung getroffen. Das Leben als Gardist wird dir gefallen!","Dobře sis zvolil. Život strážce se ti bude zamlouvat!","","","GRD_208_Cutter_WELCOME_Info_08_01","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_210_Scatty.d:33","Was machst du hier?","Co tady máš na práci?","","","DIA_Scatty_WhatDoYouDo.description","",""
