"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:23","Dem Ziel entgegen!","Pojďme!","","","Info_Lester_EXIT_05_01","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:27","Der Schläfer möge dich behüten!","Kéž tě Spáč ochrání!","","","Info_Lester_EXIT_05_02","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:55","Du hast einen Guru angesprochen!! Tu das nie wieder! Es ist ein Sakrileg! Wenn der Meister es für richtig hält, mit dir zu reden, wird ER dich ansprechen.","Oslovil jsi Guru! Už to nikdy nedělej! Je to svatokrádež! Když bude s tebou chtít mistr mluvit, ON osloví TEBE.","","","DIA_Lester_Sakrileg_05_00","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:67","Wer bist du?","Kdo jsi?","","","DIA_Lester_Hallo.description","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:80","Wer bist du?","Kdo jsi?","","","DIA_Lester_Hallo_15_00","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:81","Ich bin Lester. Ich kümmere mich um die Fremden, die hier ankommen.","Jsem Lester. Starám se o cizince, kteří sem přijdou.","","","DIA_Lester_Hallo_05_01","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:84","Gut, dass du nicht Baal Namib angesprochen hast. Kein Fremder darf die Gurus ansprechen.","Máš štěstí, že jsi nemluvil s Baalem Namibem. Žádný cizinec nesmí mluvit s Guru.","","","DIA_Lester_Hallo_05_02","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:97","Ich will aber mit deinem Meister reden.","Já ale chci mluvit s tvým mistrem.","","","DIA_Lester_WannaTalkToMaster.description","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:112","Ich will aber mit deinem Meister reden.","Já ale chci mluvit s tvým mistrem.","","","DIA_Lester_WannaTalkToMaster_15_00","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:113","Vergiss es! Ich bin sicher, ICH kann dir bei all deinen Problemen weiterhelfen.","Zapomeň na to! Můžu ti pomoci s jakýmkoliv tvým problémem!","","","DIA_Lester_WannaTalkToMaster_05_01","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:126","Erzähl mir was über das Lager.","Řekni mi něco o táboře.","","","DIA_Lester_CampInfo.description","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:140","Erzähl mir was über das Lager.","Řekni mi něco o táboru.","","","DIA_Lester_CampInfo_15_00","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:141","Was willst du wissen?","Co chceš vědět?","","","DIA_Lester_CampInfo_05_01","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:144","Erzähl mir was über die Gilden.","Řekni mi o společenství.","","","DIA_Lester_CampInfo.DIA_Lester_CampInfo_GIL","Info_AddChoice",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:145","Was hat es mit dem Schläfer auf sich?","Co mi můžeš říci o Spáčovi?","","","DIA_Lester_CampInfo.DIA_Lester_CampInfo_SLEEPER","Info_AddChoice",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:146","Was weißt du über das Kraut?","Co víš o droze z bažin?","","","DIA_Lester_CampInfo.DIA_Lester_CampInfo_HERB","Info_AddChoice",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:156","Erzähl mir was über die Gilden.","Řekni mi o společenství.","","","DIA_Lester_CampInfo_GIL_15_00","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:157","Die Gurus bilden die oberste Gilde. Sie sind der Geist des Lagers, denn ihre Macht ist groß. Die Templer benutzen ihre geistige Stärke im Kampf.","Guru tvoří nejvyšší společenství. Jsou duchem tábora a jeho velkou silou. Templáři používají svoji duchovní sílu v boji.","","","DIA_Lester_CampInfo_GIL_05_01","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:158","Sie haben einen unbezwingbaren Willen. Leg dich besser NIE mit ihnen an. Ich selber gehöre zu den Novizen. Wir beten zum Schläfer und verrichten die Arbeiten, die hier im Lager anfallen.","Mají nezkrotnou divokou sílu. NIKDY by ses s nimi neměl dostat do problému. Já osobně patřím k novicům. Modlíme se ke Spáčovi a pracujeme v táboře.","","","DIA_Lester_CampInfo_GIL_05_02","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:159","Einige der Novizen werden als Gurus aufgenommen, aber dazu gehört eine viele Jahre lange Ausbildung.","Někteří novici se smějí přidat ke Guru, ale aby jim to bylo povoleno, musejí dlouhá léta studovat.","","","DIA_Lester_CampInfo_GIL_05_03","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:164","Was hat es mit dem Schläfer auf sich?","Co mi můžeš říci o Spáčovi?","","","DIA_Lester_CampInfo_SLEEPER_15_00","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:165","Der Schläfer ist ein göttliches Wesen. Er schenkt uns Visionen - zumindest den Gurus.","Spáč je duchovní bytost. Vytváří vize - aspoň pro Guru.","","","DIA_Lester_CampInfo_SLEEPER_05_01","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:166","Wir beten zu ihm, denn er wird uns allen die Freiheit schenken.","Modlíme se k němu, aby nám dal svobodu.","","","DIA_Lester_CampInfo_SLEEPER_05_02","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:167","Und daran glaubst du?","A věříte tomu?","","","DIA_Lester_CampInfo_SLEEPER_15_03","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:168","Hey, ich bin seit zwei Jahren in der Barriere. Weißt du überhaupt wie lange ZWEI JAHRE sein können?","Hej, jsem v Bariéře už dva roky. Dokážeš si představit, jak dlouhé můžou DVA ROKY být?","","","DIA_Lester_CampInfo_SLEEPER_05_04","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:169","Du kannst dir nicht vorstellen, was ich alles bereit bin zu glauben und zu machen, damit ich hier wieder raus komme!","Nedokážeš si představit, v co jsem ochotný věřit a co udělat, jen abych se odtud dostal pryč!","","","DIA_Lester_CampInfo_SLEEPER_05_05","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:174","Was weißt du über das Kraut?","Co víš o droze z bažin?","","","DIA_Lester_CampInfo_HERB_15_00","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:175","Nun, das Kraut wächst im Sumpf. Es muss natürlich noch verarbeitet werden, damit man es rauchen kann. Das machen wir Novizen.","No, tahle droga roste v bažinách. Před tím, než se může kouřit, se samozřejmě musí zpracovat. To dělají novici.","","","DIA_Lester_CampInfo_HERB_05_01","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:176","Das Kraut hat eine beruhigende und entspannende Wirkung. Es hilft dir, dich auf das Wesentliche zu konzentrieren und dein Bewusstsein zu öffnen.","Droga má uklidňující a osvěžující účinek. Pomáhá při koncentraci a umocňuje vědomí.","","","DIA_Lester_CampInfo_HERB_05_02","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:177","Wir tauschen es gegen Waren aus den anderen Lagern und benutzen es, um neue Leute anzuwerben.","Vyměňujeme ji za zboží ze Starého tábora a také ji používáme pro získávání nových lidí.","","","DIA_Lester_CampInfo_HERB_05_03","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:178","Das führt natürlich dazu, dass viele Leute nur wegen des Krauts zu uns kommen. Na ja, immerhin helfen sie bei den anfallenden Arbeiten.","Někteří lidé se však k nám přidávají jen kvůli té droze. Ale tak nám aspoň pomáhají s prací v táboře.","","","DIA_Lester_CampInfo_HERB_05_04","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:190","Ich will mich der Bruderschaft anschließen!","Chci se stát členem Bratrstva!","","","DIA_Lester_WannaJoin.description","",""
