"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:26","Ich bin Diego.","Jsem Diego.","","","Info_Diego_Gamestart_11_00","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:27","Ich bin...","Já jsem...","","","Info_Diego_Gamestart_15_01","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:28","Mich interessiert nicht, wer du bist. Du bist neu hier. Ich kümmere mich um die Neuen. Belassen wir es vorerst dabei.","Nezajímá mě, kdo jsi. Právě jsi přišel. Dohlížím na nové příchozí. To je zatím všechno.","","","Info_Diego_Gamestart_11_02","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:29","Wenn du vorhast, länger zu leben, solltest du dich ein bißchen mit mir unterhalten. Ich werde dich allerdings nicht daran hindern, in dein Verderben zu rennen. Also, wie sieht's aus?","Jestli se tu chystáš nějakou chvíli zůstat, možná bychom si mohli trochu důvěřovat. Samozřejmě ti ale nebudu bránit, když se budeš chtít zničit. Tak co si myslíš?","","","Info_Diego_Gamestart_11_03","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:53","Danke für die Hilfe.","Díky za tvou pomoc.","","","Info_Diego_EXIT_Gamestart_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:57","Wie du willst. War nett, dich gekannt zu haben.","Je to tvoje rozhodnutí. Rád jsem tě poznal.","","","Info_Diego_EXIT_Gamestart_11_01","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:61","Wir sehen uns im Alten Lager.","Sejdeme se ve Starém táboře.","","","Info_Diego_EXIT_Gamestart_11_02","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:96","Weiter geht's.","Tak pojďme.","","","Info_Diego_EXIT_11_01","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:100","Mach's gut.","Opatruj se.","","","Info_Diego_EXIT_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:115","Ich habe einen Brief für den obersten Feuermagier.","Mám dopis pro Velkého mága Kruhu ohně.","","","Info_Diego_Brief.description","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:128","Ich habe einen Brief für den obersten Feuermagier.","Mám dopis pro Velkého mága Kruhu ohně.","","","Info_Diego_Brief_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:129","So...?","Opravdu...?","","","Info_Diego_Brief_11_01","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:130","Ein Magier hat ihn mir gegeben, kurz bevor sie mich reingeworfen haben.","Dal mi ho jeden mág krátce předtím, než mě sem vyslal.","","","Info_Diego_Brief_15_02","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:131","Du kannst von Glück sagen, dass ich mich bei den Magiern nicht mehr blicken lassen kann. Jeder andere wird dir mit Freude für diesen Brief die Kehle durchschneiden.","Máš štěstí, že už se před mágy nesmím nikdy ukázat. Kdokoliv jiný by tě kvůli tomu dopisu s chutí podřezal.","","","Info_Diego_Brief_11_03","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:132","Die Magier belohnen ihre Boten immer sehr gut, und die meisten hier haben gar nichts, verstehst du?","To protože mágové své kurýry dobře platí a většina lidí tu nemá nic, chápeš?","","","Info_Diego_Brief_11_04","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:133","Wenn ich du wäre, würde ich die Schnauze halten, bis ich einen der Magier treffe. Obwohl das in deiner Lage nicht allzu wahrscheinlich ist.","Být tebou, byl bych zticha, dokud bych nepotkal některého z mágů. I když to se ti hned tak nepodaří.","","","Info_Diego_Brief_11_05","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:134","Wieso nicht?","Proč ne?","","","Info_Diego_Brief_15_06","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:135","Die Magier sind in der Burg im Alten Lager. Nur Gomez' Leuten ist es erlaubt, die Burg zu betreten.","Mágové jsou na hradě ve Starém táboře. Na hrad smí pouze Gomezovi lidé.","","","Info_Diego_Brief_11_07","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:147","Warum hast du mir geholfen?","Proč jsi mi pomohl?","","","Info_Diego_WarumGeholfen.description","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:161","Warum hast du mir geholfen?","Proč jsi mi pomohl?","","","Info_Diego_WarumGeholfen_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:162","Weil du Hilfe gebraucht hast. Bullit und seine Jungs hätten dich vielleicht kaltgemacht.","Protože jsi potřeboval pomoc, jinak by tě Bullit a jeho chlapi mohli zabít.","","","Info_Diego_WarumGeholfen_11_01","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:163","Und das konnte ich nicht mit ansehen. Schließlich bin ich den ganzen weiten Weg gekommen um dir einen Vorschlag zu machen.","A já bych nemohl stát a přihlížet. Takhle ti mohu udělat nabídku.","","","Info_Diego_WarumGeholfen_11_02","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:164","Einen Vorschlag...","Nabídku...","","","Info_Diego_WarumGeholfen_15_03","",""
