"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/content/Story/Log_Constants.d:11","Baloros Waffe","Balorova zbraň","","","Baloros_Waffe","",""
"Scripts/content/Story/Log_Constants.d:12","Baloro hat versprochen, mir eine verdammt gute Waffe zu geben, wenn ich ihm ein paar Sachen besorge. Er will 5 Äpfel, 2 Flaschen Reisschnaps, 5 Flaschen Bier, 3 Laibe Brot, 2 Käsestücke und 2 Weintraubenreben.","Baloro mi slíbil zatraceně dobrou zbraň, pokud mu obstarám pár věcí. Chce 5 jablek, 2 láhve rýžové pálenky, 5 lahví piva, 3 bochníky chleba, 2 kousky sýra a 2 trsy hroznů.","","","Baloros_Waffe_1","",""
"Scripts/content/Story/Log_Constants.d:13","Hätte ich mir gleich denken können, daß der Typ mich nur verarschen will. Egal! Jetzt bin um eine Erfahrung reicher!","To jsem si mohl myslet, že si ze mě ten chlap dělá srandu! Nevadí, alespoň jsem dostal lekci!","","False","Baloros_Waffe_2","",""
"Scripts/content/Story/Log_Constants.d:16","Der Fremde","Cizinec","","","theriddle_log","",""
"Scripts/content/Story/Log_Constants.d:17","Ich habe dem Skelett Magier im Nebelturm ein sehr seltsames Buch abgenommen. Chromanin! Es scheint sich um ein Rätsel zu handeln, das ein geheimnisvoller Fremder dieser Welt gestellt hat: ...Der Weise verschafft sich großen Überblick, bevor er sich der nächsten Aufgabe widmet... Mmmh! Ich verstehe es noch nicht ganz. aber vielleicht komme ich ja noch dahinter.","V Mlžné věži jsem Kostlivému mágovi sebral prazvláštní rukopis. Chromanin! Vypadá to, že je to hádanka, kterou zadal tajemný cizinec z tohoto světa: …Moudrý člověk si o věci udělá nejdříve přehled, než se rozhodne pro další krok… Hmmm! Moc tomu nerozumím, ale snad na to jednou přijdu.","","False","theriddle_log_1","",""
"Scripts/content/Story/Log_Constants.d:18","Ich habe ein zweites Buch gefunden, das den Namen Chromanin trägt. Und wieder gibt es mir ein Rätsel auf...Was geteilt, wird wieder vereint, wenn auch nur kurz massiv voneinander getrennt....","Našel jsem druhou knihu jména Chromanin. A znovu mi to vrtá hlavou… Vše, co bylo rozděleno, se po krátkém, avšak krutém roztržení, znovu sjednotí…","","False","theriddle_log_2","",""
"Scripts/content/Story/Log_Constants.d:19","Ich habe das dritte Buch gefunden. Ich glaube so langsam verstehe ich, wie das abläuft....Der kluge Fischer, versucht sein Glück auch mal auf der anderen Seite des Sees...","Našel jsem třetí knihu. Mám pocit, že už tomu začínám rozumnět! …Moudrý rybář občas zkouší štěstí na druhé straně jezera…","","False","theriddle_log_3","",""
"Scripts/content/Story/Log_Constants.d:20","Nummer vier. Ich frag mich langsam, warum ich mich von diesem Typ an der Nase herumführen lasse....Vergessen sind die Taten jener, die sich einst an Bord befanden...","Číslo čtyři. Začínám se sám sebe ptát, proč se nechávám takhle vodit za nos …Dlouho již je tomu, co činy těch, kteří kdysi stáli na palubě, upadly v zapomnění…","","False","theriddle_log_4","",""
"Scripts/content/Story/Log_Constants.d:21","Dies scheint das letzte zu sein. Bin gespannt zu erfahren, wem ich gegenüber stehen werde ...Dort, wo alles begann, sollst du mich finden...","Tento se zdá být poslední. Jsem zvědav, s kým se mám utkat! …Najdeš mě tam, kde to všechno začalo…","","False","theriddle_log_5","",""
"Scripts/content/Story/Log_Constants.d:22","Der geheimnisvolle Fremde ist tot. Diese Dämonen haben ihn getötet. Irgendetwas scheint ihn mit diesen Geschöpfen der Hölle verbunden zu haben. Sonst wäre er sicher nicht an diesen gottverlassenen Ort zurückgekehrt. Das Geheimnis, das er mit mir teilen wollte, hat er mit ins Grab genommen.","Záhadný cizinec je mrtev. Zabili jej tihle démoni. Zdá se, že mezi ním a těmi pekelnými stvůrami bylo nějaké pouto, jinak by se na toto bohy opuštěné místo nevrátil. Tajmeství, které znal, si vzal do hrobu.","","False","theriddle_log_6","",""
