"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/content/Story/svm.d:244","Hör auf mit dieser Magie-Scheiße!","Přestaň s těmi čáry!","","","SVM_1_StopMagic","",""
"Scripts/content/Story/svm.d:245","Willst du Schläge? Hör sofort damit auf!!!","Chceš jednu koupit? Okamžitě toho nech!","","","SVM_1_ISaidStopMagic","",""
"Scripts/content/Story/svm.d:246","Steck die Waffe weg!","Dej pryč tu zbraň!","","","SVM_1_WeaponDown","",""
"Scripts/content/Story/svm.d:247","Steck endlich die Scheißwaffe weg!!","Dej tu zatracenou zbraň pryč!","","","SVM_1_ISaidWeaponDown","",""
"Scripts/content/Story/svm.d:248","Nimm das Ding runter!!","Pryč s ní!","","","SVM_1_WatchYourAim","",""
"Scripts/content/Story/svm.d:249","Wenn du eine aufs Maul willst, ziel ruhig weiter auf mich!","Jestli chceš pořádnou do zubů, tak na mě zkus ještě zamířit!","","","SVM_1_WatchYourAimAngry","",""
"Scripts/content/Story/svm.d:250","Pass auf! Noch mal und ich verpass dir eine.","Dej si pozor! Ještě jednou a máš ji!","","","SVM_1_WhatAreYouDoing","",""
"Scripts/content/Story/svm.d:251","Lass uns den kleinen Streit vergessen, okay?","Zapomeneme na tohle malé nedorozumění, oukej?","","","SVM_1_LetsForgetOurLittleFight","",""
"Scripts/content/Story/svm.d:252","Komm raus, du Dreckskerl!","Odpal, ty bastarde!","","","SVM_1_Strange","",""
"Scripts/content/Story/svm.d:253","Verdammtes Drecksvieh!","Ty proklatej čubčí synu!","","","SVM_1_DieMonster","",""
"Scripts/content/Story/svm.d:254","Jetzt musst du dran glauben!","Teď si to odneseš!","","","SVM_1_DieMortalEnemy","",""
"Scripts/content/Story/svm.d:255","Jetzt gibt's was aufs Maul ...","Napálím ti jí takovou...","","","SVM_1_NowWait","",""
"Scripts/content/Story/svm.d:256","Du willst wohl noch eine aufs Maul!","Vypadáš, jako kdybys chtěl jednu na tlamu!","","","SVM_1_YouStillNotHaveEnough","",""
"Scripts/content/Story/svm.d:257","Du wolltest so es so haben!","Říkáš si o to!","","","SVM_1_YouAskedForIt","",""
"Scripts/content/Story/svm.d:258","Jetzt sorg ich dafür, dass du in Einzelteilen hier weggeschafft wirst!","Mám pocit, že tě odtud odnesou po kouskách.","","","SVM_1_NowWaitIntruder","",""
"Scripts/content/Story/svm.d:259","Ich habe dich gewarnt, die Drecksfinger von meinen Sachen zu lassen!","Varoval jsem tě, abys dal pracky pryč od mých věcí!","","","SVM_1_IWillTeachYouRespectForForeignProperty","",""
