"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:33","Ich bin gekommen, um dir meine Dienste anzubieten.","Ich bin gekommen, um dir meine Dienste anzubieten.","","","DIA_Gomez_Fault.description","",""
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:46","Ich bin gekommen, um dir meine Dienste anzubieten.","Ich bin gekommen, um dir meine Dienste anzubieten.","","","DIA_Gomez_Fault_15_00","",""
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:47","Du platzt hier einfach rein und erwartest, dass ich mich mit dir befasse, du Wurm? WACHE!","Du platzt hier einfach rein und erwartest, dass ich mich mit dir befasse, du Wurm? WACHE!","","","DIA_Gomez_Fault_11_01","",""
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:67","Ich bin gekommen, um dir meine Dienste anzubieten.","Ich bin gekommen, um dir meine Dienste anzubieten.","","","DIA_Gomez_Hello.description","",""
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:80","Ich bin gekommen, um dir meine Dienste anzubieten.","Ich bin gekommen, um dir meine Dienste anzubieten.","","","DIA_Gomez_Hello_15_00","",""
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:81","Warum denkst du, dass wir an deinen Diensten interessiert sind?","Warum denkst du, dass wir an deinen Diensten interessiert sind?","","","DIA_Gomez_Hello_11_01","",""
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:84","Ich hoffe ich muss dir nicht erst den Kopf abhacken, um mich zu beweisen.","Ich hoffe ich muss dir nicht erst den Kopf abhacken, um mich zu beweisen.","","","DIA_Gomez_Hello.DIA_Gomez_Hello_KopfAb","Info_AddChoice",""
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:85","Weil hier nur Schwachköpfe rumrennen.","Weil hier nur Schwachköpfe rumrennen.","","","DIA_Gomez_Hello.DIA_Gomez_Hello_Spinner","Info_AddChoice",""
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:86","Ich bin viel rumgekommen und habe gute Kontakte in allen Lagern.","Ich bin viel rumgekommen und habe gute Kontakte in allen Lagern.","","","DIA_Gomez_Hello.DIA_Gomez_Hello_Kontakte","Info_AddChoice",""
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:87","Ich habe die Prüfung des Vertrauens bestanden.","Ich habe die Prüfung des Vertrauens bestanden.","","","DIA_Gomez_Hello.DIA_Gomez_Hello_ThorusSays","Info_AddChoice",""
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:92","Ich habe die Prüfung des Vertrauens bestanden und Thorus sagt, ich bin ein guter Mann.","Ich habe die Prüfung des Vertrauens bestanden und Thorus sagt, ich bin ein guter Mann.","","","DIA_Gomez_Hello_ThorusSays_15_00","",""
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:93","Du wärst hier nicht lebend reingekommen, wenn das nicht so wäre. Ich hoffe, das war nicht schon alles.","Du wärst hier nicht lebend reingekommen, wenn das nicht so wäre. Ich hoffe, das war nicht schon alles.","","","DIA_Gomez_Hello_ThorusSays_11_01","",""
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:99","Ich bin viel in der Kolonie rumgekommen und habe gute Kontakte in allen Lagern.","Ich bin viel in der Kolonie rumgekommen und habe gute Kontakte in allen Lagern.","","","DIA_Gomez_Hello_Kontakte_15_00","",""
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:100","Das ist tatsächlich ein guter Grund. Zu wem hast du Kontakte?","Das ist tatsächlich ein guter Grund. Zu wem hast du Kontakte?","","","DIA_Gomez_Hello_Kontakte_11_01","",""
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:102","Das waren alle wichtigen.","Das waren alle wichtigen.","","","DIA_Gomez_Hello.DIA_Gomez_Hello_Kontakte_ThatsAll","Info_AddChoice",""
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:103","Zu einigen Hehlern im Neuen Lager.","Zu einigen Hehlern im Neuen Lager.","","","DIA_Gomez_Hello.DIA_Gomez_Hello_Kontakte_NLHehler","Info_AddChoice",""
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:104","Zu Lares.","Zu Lares.","","","DIA_Gomez_Hello.DIA_Gomez_Hello_Kontakte_Lares","Info_AddChoice",""
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:106","Zu einigen Baals aus dem Lager der Bruderschaft.","Zu einigen Baals aus dem Lager der Bruderschaft.","","","DIA_Gomez_Hello.DIA_Gomez_Hello_Kontakte_Baals","Info_AddChoice",""
