"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:33","Hi! Ich bin neu hier!","Hi! Ich bin neu hier!","","","DIA_Caine_Hallo.description","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:43","Hi! Ich bin neu hier!","Hi! Ich bin neu hier!","","","DIA_Caine_Hallo_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:44","Ich bin Caine. Schüler von Cor Kalom. Du hast sicher schon von ihm gehört, richtig?","Ich bin Caine. Schüler von Cor Kalom. Du hast sicher schon von ihm gehört, richtig?","","","DIA_Caine_Hallo_13_01","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:47","Nein.","Nein.","","","DIA_Caine_Hallo.DIA_Caine_Hallo_Nein","Info_AddChoice",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:48","Ja.","Ja.","","","DIA_Caine_Hallo.DIA_Caine_Hallo_Ja","Info_AddChoice",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:53","Ja.","Ja.","","","DIA_Caine_Hallo_Ja_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:54","Dann weißt du ja, dass er hier der zweitwichtigste Mann nach Y'Berion ist.","Dann weißt du ja, dass er hier der zweitwichtigste Mann nach Y'Berion ist.","","","DIA_Caine_Hallo_Ja_13_01","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:60","Nein.","Nein.","","","DIA_Caine_Hallo_Nein_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:61","Nicht?! Du bist wohl wirklich noch nicht lange hier, was?","Nicht?! Du bist wohl wirklich noch nicht lange hier, was?","","","DIA_Caine_Hallo_Nein_13_01","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:62","Cor Kalom ist der zweitwichtigste Mann nach Y'Berion. Er entscheidet, wer als Novize bei uns aufgenommen wird.","Cor Kalom ist der zweitwichtigste Mann nach Y'Berion. Er entscheidet, wer als Novize bei uns aufgenommen wird.","","","DIA_Caine_Hallo_Nein_13_02","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:132","Und was tust du?","Und was tust du?","","","DIA_Caine_Job.description","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:145","Und was tust du?","Und was tust du?","","","DIA_Caine_Job_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:146","Ich helfe meinem Meister bei der Aufbereitung der alchimistischen Substanzen.","Ich helfe meinem Meister bei der Aufbereitung der alchimistischen Substanzen.","","","DIA_Caine_Job_13_01","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:147","Im wesentlichen Sumpfkraut und Minecrawlersekret. Vor allem das Sekret braucht er dringend.","Im wesentlichen Sumpfkraut und Minecrawlersekret. Vor allem das Sekret braucht er dringend.","","","DIA_Caine_Job_13_02","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:159","Wo bekomme ich das Sekret der Minecrawler?","Wo bekomme ich das Sekret der Minecrawler?","","","DIA_Caine_WoSekret.description","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:172","Wo bekomme ich das Sekret der Minecrawler?","Wo bekomme ich das Sekret der Minecrawler?","","","DIA_Caine_WoSekret_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:173","Crawler findest du in der Alten Mine. Aber du musst wissen wie du ihnen das Sekret abzapfst.","Crawler findest du in der Alten Mine. Aber du musst wissen wie du ihnen das Sekret abzapfst.","","","DIA_Caine_WoSekret_13_01","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:174","Falls du wirklich vorhast, dich mit den Biestern anzulegen, sprich besser vorher mit einem der Templer, der Erfahrung hat. Zum Beispiel Gor Na Drak.","Falls du wirklich vorhast, dich mit den Biestern anzulegen, sprich besser vorher mit einem der Templer, der Erfahrung hat. Zum Beispiel Gor Na Drak.","","","DIA_Caine_WoSekret_13_02","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:175","Er ist jeden Tag zwischen unserem Lager und der Alten Mine unterwegs. Morgens triffst du ihn unten am Labor.","Er ist jeden Tag zwischen unserem Lager und der Alten Mine unterwegs. Morgens triffst du ihn unten am Labor.","","","DIA_Caine_WoSekret_13_03","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:187","Was kannst du mir noch über deinen Meister erzählen?","Was kannst du mir noch über deinen Meister erzählen?","","","DIA_Caine_AddInfoKalom.description","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:200","Was kannst du mir noch über deinen Meister erzählen?","Was kannst du mir noch über deinen Meister erzählen?","","","DIA_Caine_AddInfoKalom_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:201","Er ist nicht wie die anderen Gurus. Er getattet jedem, ihn anzusprechen, aber NIEMANDEM seine kostbare Zeit zu verschwenden.","Er ist nicht wie die anderen Gurus. Er getattet jedem, ihn anzusprechen, aber NIEMANDEM seine kostbare Zeit zu verschwenden.","","","DIA_Caine_AddInfoKalom_13_01","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:243","Wie komme ich an das Rezept von Kalom?","Wie komme ich an das Rezept von Kalom?","","","Nov_1301_Caine_CHEST.description","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:256","Wie komme ich an das Rezept von Kalom?","Wie komme ich an das Rezept von Kalom?","","","Nov_1301_Caine_CHEST_Info_15_01","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:257","Gar nicht. Er hält es in seiner Truhe verschlossen. Das rückt er niemals raus.","Gar nicht. Er hält es in seiner Truhe verschlossen. Das rückt er niemals raus.","","","Nov_1301_Caine_CHEST_Info_13_02","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1356_Shrat.d:33","Was machst du denn hier?","Was machst du denn hier?","","","DIA_Shrat_WhyHere.description","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1356_Shrat.d:43","Was machst du denn hier?","Was machst du denn hier?","","","DIA_Shrat_WhyHere_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1356_Shrat.d:44","Habe ich dir erlaubt, mich anzusprechen?","Habe ich dir erlaubt, mich anzusprechen?","","","DIA_Shrat_WhyHere_02_01","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1356_Shrat.d:45","War nur'n Witz! Diese verdammten Spinner gehen mir gehörig auf den Sack, deswegen bin ich hier!","War nur'n Witz! Diese verdammten Spinner gehen mir gehörig auf den Sack, deswegen bin ich hier!","","","DIA_Shrat_WhyHere_02_02","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1356_Shrat.d:46","'Sprich mich nicht an!' - 'Bitte den Schläfer um Vergebung!' - 'Deine Mission ist von äußerster Dringlichkeit!'","'Sprich mich nicht an!' - 'Bitte den Schläfer um Vergebung!' - 'Deine Mission ist von äußerster Dringlichkeit!'","","","DIA_Shrat_WhyHere_02_03","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1356_Shrat.d:47","Das hält man ja im Kopf nicht aus - kein Wunder, dass die hier alle gaga sind.","Das hält man ja im Kopf nicht aus - kein Wunder, dass die hier alle gaga sind.","","","DIA_Shrat_WhyHere_02_04","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1356_Shrat.d:48","Ich bin Shrat. Novize ersten Ranges - und das werde ich auch bleiben!","Ich bin Shrat. Novize ersten Ranges - und das werde ich auch bleiben!","","","DIA_Shrat_WhyHere_02_05","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1356_Shrat.d:60","Ich will der Bruderschaft beitreten - kannst du mir helfen?","Ich will der Bruderschaft beitreten - kannst du mir helfen?","","","DIA_Shrat_JoinPSI.description","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1356_Shrat.d:73","Ich will der Bruderschaft beitreten - kannst du mir helfen?","Ich will der Bruderschaft beitreten - kannst du mir helfen?","","","DIA_Shrat_JoinPSI_15_00","",""
