"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"_work/Data/Scripts/content/Items/Amulette.d:16","Zeichen der Bruderschaft","Zeichen der Bruderschaft","","","ItMi_Amulet_Psi_01.description","",""
"_work/Data/Scripts/content/Items/Amulette.d:42","Amulett der Flammen","Amulett der Flammen","","","Schutzamulett_Feuer.description","",""
"_work/Data/Scripts/content/Items/Amulette.d:78","Harnischamulett","Harnischamulett","","","Schutzamulett_Waffen.description","",""
"_work/Data/Scripts/content/Items/Amulette.d:116","Amulett der Eichenhaut","Amulett der Eichenhaut","","","Schutzamulett_Geschosse.description","",""
"_work/Data/Scripts/content/Items/Amulette.d:152","Amulett der Geisteskraft","Amulett der Geisteskraft","","","Schutzamulett_Magie.description","",""
"_work/Data/Scripts/content/Items/Amulette.d:188","Amulett der Läuterung","Amulett der Läuterung","","","Schutzamulett_Magie_Feuer.description","",""
"_work/Data/Scripts/content/Items/Amulette.d:226","Amulett der Steinhaut","Amulett der Steinhaut","","","Schutzamulett_Waffen_Geschosse.description","",""
"_work/Data/Scripts/content/Items/Amulette.d:266","Amulett der Erzhaut","Amulett der Erzhaut","","","Schutzamulett_Total.description","",""
"_work/Data/Scripts/content/Items/Amulette.d:310","Amulett der Wendigkeit","Amulett der Wendigkeit","","","Gewandtheitsamulett.description","",""
"_work/Data/Scripts/content/Items/Amulette.d:346","Amulett der Geschicklichkeit","Amulett der Geschicklichkeit","","","Gewandtheitsamulett2.description","",""
"_work/Data/Scripts/content/Items/Amulette.d:382","Amulett der Kraft","Amulett der Kraft","","","Staerkeamulett.description","",""
"_work/Data/Scripts/content/Items/Amulette.d:418","Amulett der Stärke","Amulett der Stärke","","","Staerkeamulett2.description","",""
"_work/Data/Scripts/content/Items/Amulette.d:454","Amulett der Lebenskraft","Amulett der Lebenskraft","","","Lebensamulett.description","",""
"_work/Data/Scripts/content/Items/Amulette.d:499","Amulett der Magie","Amulett der Magie","","","Amulett_der_Magie.description","",""
"_work/Data/Scripts/content/Items/Amulette.d:523","Amulett der Macht","Amulett der Macht","","","Amulett_der_Macht.name","",""
"_work/Data/Scripts/content/Items/Amulette.d:561","Amulett der Erleuchtung","Amulett der Erleuchtung","","","Amulett_der_Erleuchtung.name","",""
"_work/Data/Scripts/content/Items/Animaltrophy.d:95","Zähne","Zähne","","","ItAt_Teeth_01.name","",""
"_work/Data/Scripts/content/Items/Animaltrophy.d:116","Wolfsfell","Wolfsfell","","","ItAt_Wolf_01.name","",""
"_work/Data/Scripts/content/Items/Animaltrophy.d:137","Orkhundfell","Orkhundfell","","","ItAt_Wolf_02.name","",""
"_work/Data/Scripts/content/Items/Animaltrophy.d:158","Flammenzunge","Flammenzunge","","","ItAt_Waran_01.name","",""
"_work/Data/Scripts/content/Items/Animaltrophy.d:179","Krallen","Krallen","","","ItAt_Claws_01.name","",""
"_work/Data/Scripts/content/Items/Animaltrophy.d:200","Panzerplatte","Panzerplatte","","","ItAt_Crawler_02.name","",""
"_work/Data/Scripts/content/Items/Animaltrophy.d:210","Die Panzerplatte eines Minecrawler Kriegers","Die Panzerplatte eines Minecrawler Kriegers","","","ItAt_Crawler_02.description","",""
"_work/Data/Scripts/content/Items/Animaltrophy.d:221","Crawlerzangen","Crawlerzangen","","","ItAt_Crawler_01.name","",""
"_work/Data/Scripts/content/Items/Animaltrophy.d:242","Fell","Fell","","","ItAt_Shadow_01.name","",""
"_work/Data/Scripts/content/Items/Animaltrophy.d:252","Fell eines Schattenläufers","Fell eines Schattenläufers","","","ItAt_Shadow_01.description","",""
"_work/Data/Scripts/content/Items/Animaltrophy.d:263","Horn","Horn","","","ItAt_Shadow_02.name","",""
"_work/Data/Scripts/content/Items/Animaltrophy.d:273","Horn eines Schattenläufers","Horn eines Schattenläufers","","","ItAt_Shadow_02.description","",""
"_work/Data/Scripts/content/Items/Animaltrophy.d:284","Lurkerklaue","Lurkerklaue","","","ItAt_Lurker_01.name","",""
"_work/Data/Scripts/content/Items/Animaltrophy.d:305","Lurkerhaut","Lurkerhaut","","","ItAt_Lurker_02.name","",""
"_work/Data/Scripts/content/Items/Animaltrophy.d:326","Trollhauer","Trollhauer","","","ItAt_Troll_02.name","",""
"_work/Data/Scripts/content/Items/Animaltrophy.d:347","Trollfell","Trollfell","","","ItAt_Troll_01.name","",""
"_work/Data/Scripts/content/Items/Animaltrophy.d:368","Sumpfhaihaut","Sumpfhaihaut","","","ItAt_Swampshark_01.name","",""
"_work/Data/Scripts/content/Items/Animaltrophy.d:389","Sumpfhaizähne","Sumpfhaizähne","","","ItAt_Swampshark_02.name","",""
"_work/Data/Scripts/content/Items/Animaltrophy.d:410","Flügel","Flügel","","","ItAt_Bloodfly_01.name","",""
"_work/Data/Scripts/content/Items/Animaltrophy.d:431","Blutfliegenstachel","Blutfliegenstachel","","","ItAt_Bloodfly_02.name","",""
"_work/Data/Scripts/content/Items/Animaltrophy.d:452","Herz eines Steingolems","Herz eines Steingolems","","","ItAt_StoneGolem_01.name","",""
"_work/Data/Scripts/content/Items/Animaltrophy.d:465","Dieses Herz stammt aus den Überresten","Dieses Herz stammt aus den Überresten","","","ItAt_StoneGolem_01.text[0]","",""
"_work/Data/Scripts/content/Items/Animaltrophy.d:466","eines besiegten Steingolems.","eines besiegten Steingolems.","","","ItAt_StoneGolem_01.text[1]","",""
"_work/Data/Scripts/content/Items/Animaltrophy.d:467","Es hat die Kraft, einen Gegner","Es hat die Kraft, einen Gegner","","","ItAt_StoneGolem_01.text[2]","",""
