"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"_work/Data/Scripts/content/Story/Text.d:6","Kiste","Kiste","","","MOBNAME_CRATE","",""
"_work/Data/Scripts/content/Story/Text.d:7","Truhe","Truhe","","","MOBNAME_CHEST","",""
"_work/Data/Scripts/content/Story/Text.d:8","Bett","Bett","","","MOBNAME_BED","",""
"_work/Data/Scripts/content/Story/Text.d:9","Tür","Tür","","","MOBNAME_DOOR","",""
"_work/Data/Scripts/content/Story/Text.d:16","Amboss","Amboss","","","MOBNAME_ANVIL","",""
"_work/Data/Scripts/content/Story/Text.d:17","Wasser-Eimer","Wasser-Eimer","","","MOBNAME_BUCKET","",""
"_work/Data/Scripts/content/Story/Text.d:18","Schmiede-Feuer","Schmiede-Feuer","","","MOBNAME_FORGE","",""
"_work/Data/Scripts/content/Story/Text.d:19","Schleifstein","Schleifstein","","","MOBNAME_GRINDSTONE","",""
"_work/Data/Scripts/content/Story/Text.d:20","Winde","Winde","","","MOBNAME_WHEEL","",""
"_work/Data/Scripts/content/Story/Text.d:24","Kessel","Kessel","","","MOBNAME_CAULDRON","",""
"_work/Data/Scripts/content/Story/Text.d:26","Pfanne","Pfanne","","","MOBNAME_PAN","",""
"_work/Data/Scripts/content/Story/Text.d:28","Wasserpfeife","Wasserpfeife","","","MOBNAME_WATERPIPE","",""
"_work/Data/Scripts/content/Story/Text.d:29","Leiter","Leiter","","","MOBNAME_LADDER","",""
"_work/Data/Scripts/content/Story/Text.d:30","Schalter","Schalter","","","MOBNAME_SWITCH","",""
"_work/Data/Scripts/content/Story/Text.d:32","Erzklumpen","Erzklumpen","","","MOBNAME_ORE","",""
"_work/Data/Scripts/content/Story/Text.d:35","Blasebalg","Blasebalg","","","MOBNAME_BELLOW","",""
"_work/Data/Scripts/content/Story/Text.d:37","Mumie","Mumie","","","MOBNAME_ORC_MUMMY","",""
"_work/Data/Scripts/content/Story/Text.d:38","Säule","Säule","","","MOBNAME_PILLAR","",""
"_work/Data/Scripts/content/Story/Text.d:42","Krautstampfer","Krautstampfer","","","MOBNAME_HERB_PSI","",""
"_work/Data/Scripts/content/Story/Text.d:43","Statuette","Statuette","","","MOBNAME_IDOL","",""
"_work/Data/Scripts/content/Story/Text.d:46","Zielscheibe","Zielscheibe","","","MOBNAME_TARGETSTONE","",""
"_work/Data/Scripts/content/Story/Text.d:47","Orkischer Herzschrein","Orkischer Herzschrein","","","MOBNAME_SHRINE","",""
"_work/Data/Scripts/content/Story/Text.d:48","Sonderbarer Stein","Sonderbarer Stein","","","MOBNAME_SWORDSTONE","",""
"_work/Data/Scripts/content/Story/Text.d:57","(keine)","(keine)","","","TXT_GUILDS[0]","",""
"_work/Data/Scripts/content/Story/Text.d:58","Erzbaron","Erzbaron","","","TXT_GUILDS[1]","",""
"_work/Data/Scripts/content/Story/Text.d:59","Gardist","Gardist","","","TXT_GUILDS[2]","",""
"_work/Data/Scripts/content/Story/Text.d:60","Schatten","Schatten","","","TXT_GUILDS[3]","",""
"_work/Data/Scripts/content/Story/Text.d:61","Feuermagier","Feuermagier","","","TXT_GUILDS[4]","",""
"_work/Data/Scripts/content/Story/Text.d:62","Buddler","Buddler","","","TXT_GUILDS[5]","",""
"_work/Data/Scripts/content/Story/Text.d:63","Wassermagier","Wassermagier","","","TXT_GUILDS[6]","",""
