"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:33","Du kümmerst dich um die Reisfelder, richtig?","You take care of the rice fields, don't you?","","","DIA_Ricelord_Hello.description","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:43","Du kümmerst dich um die Reisfelder, richtig?","You take care of the rice fields, don't you?","","","DIA_Ricelord_Hello_15_00","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:44","Warum? Suchst du Arbeit?","Why? You looking for work?","","","DIA_Ricelord_Hello_12_01","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:56","Hast du Arbeit für mich?","Have you got work for me?","","","DIA_Ricelord_Arbeit.description","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:71","Hast du Arbeit für mich?","Have you got work for me?","","","DIA_Ricelord_Arbeit_15_00","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:72","Geh zu Lefty. Er ist meistens hier vorne rechts neben der Scheune.","Go and see Lefty. He's usually to the right of the shed.","","","DIA_Ricelord_Arbeit_12_01","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:86","Wir könnten handeln...","We could make a deal...","","","DIA_Ricelord_TRADE.description","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:99","Wir könnten handeln ...","We could make a deal...","","","DIA_Ricelord_TRADE_15_00","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:100","Was hast du denn zu bieten?","What have you got to offer?","","","DIA_Ricelord_TRADE_12_01","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:113","Lefty schickt mich.","Lefty sent me.","","","DIA_Ricelord_LeftySentMe.description","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:129","Lefty schickt mich.","Lefty sent me.","","","DIA_Ricelord_LeftySentMe_15_00","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:130","Ach so. Was hat er gesagt?","Oh yeah. What did he say?","","","DIA_Ricelord_LeftySentMe_12_01","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:144","Ich soll den Bauern Wasser bringen.","I'm to bring the peasants some water.","","","DIA_Ricelord_GetWater.description","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:157","Ich soll den Bauern Wasser bringen.","I'm to bring the peasants some water.","","","DIA_Ricelord_GetWater_15_00","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:161","Gut. Hier sind ein Dutzend Flaschen Wasser.","Right. Here's a dozen bottles of water.","","","DIA_Ricelord_GetWater_12_01","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:162","Es gibt etwa doppelt so viele Bauern, also verteil sie gleichmäßig.","There's about twice that amount of peasants, so make sure you share it out evenly.","","","DIA_Ricelord_GetWater_12_02","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:174","Das war gestern, Bursche! Geh besser zu ihm. Er hat dir was zu sagen.","That was yesterday, lad! You'd better go to him. He has something to tell you.","","","DIA_Ricelord_GetWater_TooLate_12_00","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:179","Das war vor einigen Tagen, Bursche! Geh besser zu ihm. Er hat dir was zu sagen.","That was a few days ago, lad! You'd better go to him. He has something to tell you.","","","DIA_Ricelord_GetWater_TooLate_12_01","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Bau_901_Horatio.d:34","Lefty schickt mich. Ich hab' Wasser für dich.","Lefty sent me. I've brought you some water.","","","Info_Horatio_Wasser.description","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Bau_901_Horatio.d:48","Lefty schickt mich. Ich hab' Wasser für dich.","Lefty sent me. I've brought you some water.","","","Info_Horatio_Wasser_15_00","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Bau_901_Horatio.d:51","Danke, Mann! Ich war schon kurz davor, den Schlamm zu saufen.","Thanks, man! I was just about to start drinking the mud.","","","Info_Horatio_Wasser_09_01","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Bau_901_Horatio.d:70","Du hast nichts mehr. Ich hol mir von den anderen was.","You've run out. I'll get some from the others.","","","Info_Horatio_Wasser_NOWATER_09_00","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Bau_901_Horatio.d:97","Was machst du hier? Willst du Ärger haben?","What are you doing here? You looking for trouble?","","","DIA_Horatio_Hello_09_00","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Bau_901_Horatio.d:100","Ärger? Von wem? Von einem Bauern?","Trouble? Who with? A peasant?","","","DIA_Horatio_Hello.DIA_Horatio_Hello_PissOff","Info_AddChoice",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Bau_901_Horatio.d:101","Entspann dich! Ich bin neu hier.","Hey, relax! I'm a newcomer.","","","DIA_Horatio_Hello.DIA_Horatio_Hello_BeCool","Info_AddChoice",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Bau_901_Horatio.d:106","Entspann dich! Ich bin neu hier.","Hey, relax! I'm a newcomer.","","","DIA_Horatio_Hello_BeCool_15_00","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Bau_901_Horatio.d:107","Hm ... siehst mir ganz in Ordnung aus - hier weiß man nie. Da kommt jeden Tag ein neuer Mistkerl, der's wissen will.","Huh... You look okay though. You never know. You get new guys come along thinking they're it every day.","","","DIA_Horatio_Hello_BeCool_09_01","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Bau_901_Horatio.d:113","Ärger? Von wem? Von einem Bauern?","Trouble? Who with? A peasant?","","","DIA_Horatio_Hello_PissOff_15_00","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Bau_901_Horatio.d:114","Nur weil ich auf den Feldern arbeite, heißt das nicht, dass ich mich nicht gegen Typen wie dich wehren kann.","Just because I work in the fields, doesn't mean I can't defend myself against guys like you.","","","DIA_Horatio_Hello_PissOff_09_01","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Bau_901_Horatio.d:115","Also komm nur her, wenn du Ärger willst!","So come here if you want trouble!","","","DIA_Horatio_Hello_PissOff_09_02","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Bau_901_Horatio.d:132","Tut mir leid, der Spruch mit dem Bauern.","I'm sorry I said what I did about the peasants.","","","DIA_Horatio_SORRY.description","",""
