"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"_work/Data/Scripts/content/Story/NPC/BAU_900_Ricelord.d:4","Der Reislord","The Rice Lord","","","BAU_900_Ricelord.name","",""
"_work/Data/Scripts/content/Story/NPC/BAU_901_Horatio.d:4","Horatio","Horatio","","","BAU_901_Horatio.name","",""
"_work/Data/Scripts/content/Story/NPC/BAU_902_Pock.d:4","Pock","Pock","","","BAU_902_Pock.name","",""
"_work/Data/Scripts/content/Story/NPC/BAU_903_Rufus.d:4","Rufus","Rufus","","","BAU_903_Rufus.name","",""
"_work/Data/Scripts/content/Story/NPC/BAU_912_Jeremiah.d:4","Jeremiah","Jeremiah","","","BAU_912_Jeremiah.name","",""
"_work/Data/Scripts/content/Story/NPC/BAU_935_Homer.d:4","Homer","Homer","","","BAU_935_Homer.name","",""
"_work/Data/Scripts/content/Story/NPC/BAU_940_Riddler.d:6","Leiche","Corpse","","","Bau_940_Riddler.name","",""
"_work/Data/Scripts/content/Story/NPC/CS_Eskorte1.d:4","Eskorte1","Eskorte1","","","CS_Eskorte1.name","",""
"_work/Data/Scripts/content/Story/NPC/CS_Eskorte2.d:4","Eskorte2","Eskorte2","","","CS_Eskorte2.name","",""
"_work/Data/Scripts/content/Story/NPC/CS_Eskorte3.d:4","Eskorte3","Eskorte3","","","CS_Eskorte3.name","",""
"_work/Data/Scripts/content/Story/NPC/CS_Eskorte4.d:4","Eskorte4","Eskorte4","","","CS_Eskorte4.name","",""
"_work/Data/Scripts/content/Story/NPC/CS_Eskorte5.d:4","Eskorte5","Eskorte5","","","CS_Eskorte5.name","",""
"_work/Data/Scripts/content/Story/NPC/CS_Eskorte6.d:4","Eskorte6","Eskorte6","","","CS_Eskorte6.name","",""
"_work/Data/Scripts/content/Story/NPC/CS_Richter.d:4","Richter","Judge","","","CS_Richter.name","",""
"_work/Data/Scripts/content/Story/NPC/EBR_102_Arto.d:4","Arto","Arto","","","EBR_102_Arto.name","",""
"_work/Data/Scripts/content/Story/NPC/EBR_105_Raven.d:4","Raven","Raven","","","EBR_105_Raven.name","",""
"_work/Data/Scripts/content/Story/NPC/EBR_106_Bartholo.d:4","Bartholo","Bartholo","","","EBR_106_Bartholo.name","",""
"_work/Data/Scripts/content/Story/NPC/EBR_108_Velaya.d:4","Velaya","Velaya","","","EBR_108_Velaya.name","",""
"_work/Data/Scripts/content/Story/NPC/EBR_109_Syra.d:4","Syra","Syra","","","EBR_109_Syra.name","",""
"_work/Data/Scripts/content/Story/NPC/EBR_110_Seraphia.d:4","Seraphia","Seraphia","","","EBR_110_Seraphia.name","",""
"_work/Data/Scripts/content/Story/NPC/Ebr_100_Gomez.d:4","Gomez","Gomez","","","EBR_100_Gomez.name","",""
"_work/Data/Scripts/content/Story/NPC/Ebr_101_Scar.d:4","Scar","Scar","","","EBR_101_Scar.name","",""
"_work/Data/Scripts/content/Story/NPC/GUR_1212_MadCorKalom.d:6","verrückter Cor Kalom","Mad Cor Kalom","","","GUR_1212_MadCorKalom.name","",""
"_work/Data/Scripts/content/Story/NPC/Grd_200_Thorus.d:4","Thorus","Thorus","","","Grd_200_Thorus.name","",""
"_work/Data/Scripts/content/Story/NPC/Grd_201_Jackal.d:4","Jackal","Jackal","","","GRD_201_Jackal.name","",""
"_work/Data/Scripts/content/Story/NPC/Grd_203_Bullit.d:4","Bullit","Bullit","","","GRD_203_Bullit.name","",""
"_work/Data/Scripts/content/Story/NPC/Grd_205_Scorpio.d:4","Scorpio","Scorpio","","","Grd_205_Scorpio.name","",""
"_work/Data/Scripts/content/Story/NPC/Grd_208_Cutter.d:4","Cutter","Cutter","","","GRD_208_Cutter.name","",""
"_work/Data/Scripts/content/Story/NPC/Grd_210_Scatty.d:4","Scatty","Scatty","","","GRD_210_Scatty.name","",""
"_work/Data/Scripts/content/Story/NPC/Grd_211_Skip.d:4","Skip","Skip","","","GRD_211_Skip.name","",""
"_work/Data/Scripts/content/Story/NPC/Grd_219_Stone.d:4","Stone","Stone","","","GRD_219_Stone.name","",""
"_work/Data/Scripts/content/Story/NPC/Grd_224_Pacho.d:4","Pacho","Pacho","","","GRD_224_Pacho.name","",""
"_work/Data/Scripts/content/Story/NPC/Grd_233_Bloodwyn.d:4","Bloodwyn","Bloodwyn","","","GRD_233_Bloodwyn.name","",""
"_work/Data/Scripts/content/Story/NPC/Grd_251_Kirgo.d:4","Kirgo","Kirgo","","","GRD_251_Kirgo.name","",""
"_work/Data/Scripts/content/Story/NPC/Grd_254_Orry.d:4","Orry","Orry","","","GRD_254_Orry.name","",""
"_work/Data/Scripts/content/Story/NPC/Grd_255_Fletcher.d:4","Fletcher","Fletcher","","","GRD_255_Fletcher.name","",""
"_work/Data/Scripts/content/Story/NPC/Grd_260_Drake.d:4","Drake","Drake","","","GRD_260_Drake.name","",""
"_work/Data/Scripts/content/Story/NPC/Grd_261_Brandick.d:4","Brandick","Brandick","","","GRD_261_Brandick.name","",""
"_work/Data/Scripts/content/Story/NPC/Grd_262_Aaron.d:4","Aaron","Aaron","","","GRD_262_Aaron.name","",""
"_work/Data/Scripts/content/Story/NPC/Grd_263_Asghan.d:4","Asghan","Asghan","","","GRD_263_Asghan.name","",""
"_work/Data/Scripts/content/Story/NPC/Grd_271_Ulbert.d:4","Ulbert","Ulbert","","","GRD_271_Ulbert.name","",""
"_work/Data/Scripts/content/Story/NPC/Grd_282_Nek.d:4","Toter Gardist","Dead Guard","","","GRD_282_Nek.name","",""
"_work/Data/Scripts/content/Story/NPC/Gur_1200_YBerion.d:4","Y'Berion","Y'Berion","","","GUR_1200_YBerion.name","",""
"_work/Data/Scripts/content/Story/NPC/Gur_1201_CorKalom.d:4","Cor Kalom","Cor Kalom","","","GUR_1201_CorKalom.name","",""
"_work/Data/Scripts/content/Story/NPC/Gur_1202_CorAngar.d:4","Cor Angar","Cor Angar","","","GUR_1202_CorAngar.name","",""
"_work/Data/Scripts/content/Story/NPC/Gur_1203_BaalTondral.d:4","Baal Tondral","Baal Tondral","","","GUR_1203_BaalTondral.name","",""
"_work/Data/Scripts/content/Story/NPC/Gur_1204_BaalNamib.d:4","Baal Namib","Baal Namib","","","GUR_1204_BaalNamib.name","",""
"_work/Data/Scripts/content/Story/NPC/Gur_1205_Chani.d:4","Chani","Chani","","","Gur_1205_Chani.name","",""
"_work/Data/Scripts/content/Story/NPC/Gur_1207_Natalia.d:4","Natalia","Natalia","","","Gur_1207_Natalia.name","",""
"_work/Data/Scripts/content/Story/NPC/Gur_1208_BaalCadar.d:4","Baal Cadar","Baal Cadar","","","GUR_1208_BaalCadar.name","",""
"_work/Data/Scripts/content/Story/NPC/Gur_1209_BaalOrun.d:4","Baal Orun","Baal Orun","","","GUR_1209_BaalOrun.name","",""
"_work/Data/Scripts/content/Story/NPC/Gur_1210_BaalTyon.d:4","Baal Tyon","Baal Tyon","","","GUR_1210_BaalTyon.name","",""
"_work/Data/Scripts/content/Story/NPC/Gur_1211_BaalLukor.d:4","Baal Lukor","Baal Lukor","","","GUR_1211_BaalLukor.name","",""
"_work/Data/Scripts/content/Story/NPC/InExtremo.d:7","Dr. Pymonte","Dr. Pymonte","","","InExtremo_DrPymonte.name","",""
"_work/Data/Scripts/content/Story/NPC/InExtremo.d:63","The Flail","The Flail","","","InExtremo_TheFlail.name","",""
"_work/Data/Scripts/content/Story/NPC/InExtremo.d:120","Thomas the forger","Thomas the Forger","","","InExtremo_ThomasTheForger.name","",""
"_work/Data/Scripts/content/Story/NPC/InExtremo.d:179","Unicorn","Unicorn","","","InExtremo_Unicorn.name","",""
"_work/Data/Scripts/content/Story/NPC/InExtremo.d:236","Yellow Pfeiffer","Yellow Pfeiffer","","","InExtremo_YellowPfeiffer.name","",""
"_work/Data/Scripts/content/Story/NPC/InExtremo.d:293","Lutter","Lutter","","","InExtremo_Lutter.name","",""
"_work/Data/Scripts/content/Story/NPC/InExtremo.d:350","Flex","Flex","","","InExtremo_Flex.name","",""
"_work/Data/Scripts/content/Story/NPC/InExtremo.d:410","Steve","Steve","","","IE_397_Announcer.name","",""
"_work/Data/Scripts/content/Story/NPC/InExtremo.d:473","Charlotte","Charlotte","","","Charlotte.name","",""
"_work/Data/Scripts/content/Story/NPC/KDF_400_Rodriguez.d:4","Rodriguez","Rodriguez","","","KDF_400_Rodriguez.name","",""
"_work/Data/Scripts/content/Story/NPC/KDF_401_Damarok.d:4","Damarok","Damarok","","","KDF_401_Damarok.name","",""
"_work/Data/Scripts/content/Story/NPC/KDF_402_Corristo.d:4","Corristo","Corristo","","","KDF_402_Corristo.name","",""
"_work/Data/Scripts/content/Story/NPC/KDF_403_Drago.d:4","Drago","Drago","","","KDF_403_Drago.name","",""
"_work/Data/Scripts/content/Story/NPC/KDF_404_Xardas.d:4","Xardas","Xardas","","","KDF_404_Xardas.name","",""
"_work/Data/Scripts/content/Story/NPC/KDF_405_Torrez.d:4","Torrez","Torrez","","","KDF_405_Torrez.name","",""
"_work/Data/Scripts/content/Story/NPC/KDF_406_OTXardas.d:6","Xardas","Xardas","","","KDF_406_OTXardas.name","",""
"_work/Data/Scripts/content/Story/NPC/KDW_600_Saturas.d:4","Saturas","Saturas","","","KDW_600_Saturas.name","",""
"_work/Data/Scripts/content/Story/NPC/KDW_601_Myxir.d:4","Myxir","Myxir","","","KDW_601_Myxir.name","",""
"_work/Data/Scripts/content/Story/NPC/KDW_602_Merdarion.d:4","Merdarion","Merdarion","","","KDW_602_Merdarion.name","",""
