"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
Scripts/content/Story/MISSIONS/DIA_Non_1500_Gilbert.d:46","Was machst du denn hier? Hab nicht oft Besuch hier oben, hehe!","What are you doing here? Don't often get visitors up here, he he!","","","DIA_Gilbert_First_04_00","",""
Scripts/content/Story/MISSIONS/DIA_Non_1500_Gilbert.d:47","War ne gute Leistung von dir, mein Versteck zu finden.","Very clever of you to find my hiding place.","","","DIA_Gilbert_First_04_01","",""
Scripts/content/Story/MISSIONS/DIA_Non_1500_Gilbert.d:62","Was machst du hier?","What are you doing here?","","","DIA_Gilbert_Hallo.description","",""
Scripts/content/Story/MISSIONS/DIA_Non_1500_Gilbert.d:72","Was machst du hier?","What are you doing here?","","","DIA_Gilbert_Hallo_15_00","",""
Scripts/content/Story/MISSIONS/DIA_Non_1500_Gilbert.d:73","Ich hatte die Schnauze voll vom alten Lager. Hatte Ärger mit Gomez Leuten. Ist aber schon ne Weile her.","Oh, I'm fed up with the Old Camp. I had trouble with Gomez' folks. That was some time ago.","","","DIA_Gilbert_Hallo_04_01","",""
Scripts/content/Story/MISSIONS/DIA_Non_1500_Gilbert.d:74","Schätze, jetzt kräht kein Hahn mehr danach. Aber ich bleibe hier. Im alten Lager rennen mir zu viele Schwachköpfe rum.","I guess nobody remembers that now. But I'm staying here. There's too many blockheads running about in the Old Camp for my liking.","","","DIA_Gilbert_Hallo_04_02","",""
Scripts/content/Story/MISSIONS/DIA_SfB_1000_Senyan.d:33","Du kommst aus der Freien Mine, richtig?","You're from the Free Mine, right?","","","DIA_Senyan_Hello.description","",""
Scripts/content/Story/MISSIONS/DIA_SfB_1000_Senyan.d:43","Du kommst aus der Freien Mine, richtig?","You're from the Free Mine, right?","","","DIA_Senyan_Hello_15_00","",""
Scripts/content/Story/MISSIONS/DIA_SfB_1000_Senyan.d:44","Richtig. Wie hast du das bloß rausgefunden?","Right. How did you find that out?","","","DIA_Senyan_Hello_01_01","",""
Scripts/content/Story/MISSIONS/DIA_SfB_1000_Senyan.d:58","Ich will nur mit dir reden.","I just want to talk to you.","","","DIA_Senyan_JustTalk.description","",""
Scripts/content/Story/MISSIONS/DIA_SfB_1000_Senyan.d:71","Ich will nur mit dir reden.","I just want to talk to you.","","","DIA_Senyan_JustTalk_15_00","",""
Scripts/content/Story/MISSIONS/DIA_SfB_1000_Senyan.d:72","Ich bin nicht zum Reden hier.","I'm not here to talk.","","","DIA_Senyan_JustTalk_01_01","",""
Scripts/content/Story/MISSIONS/DIA_SfB_1001_Schuerfer.d:34","Na, wie steht's in der Mine?","Well, how's the mine going on?","","","DIA_Sfb_1001_Hello.description","",""
Scripts/content/Story/MISSIONS/DIA_SfB_1001_Schuerfer.d:44","Na, wie steht's in der Mine?","Well, how's the mine going on?","","","DIA_Sfb_1001_Hello_15_00","",""
Scripts/content/Story/MISSIONS/DIA_SfB_1001_Schuerfer.d:45","Wir haben das Meiste hinter uns. Nur noch wenige Wochen, dann haben wir genug.","We've done most of it. Just a few more weeks and we'll have enough.","","","DIA_Sfb_1001_Hello_02_01","",""
Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:33","Wer bist du?","Who are you?","","","Info_Swiney_Hello.description","",""
Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:43","Wer bist du?","Who are you?","","","Info_Swiney_Hello_15_00","",""
Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:44","Ich bin der beste Bergbauer, den diese verdammte Kolonie jemals gesehen hat, mein Junge.","I'm the best mining engineer this damn colony has ever seen, my boy.","","","Info_Swiney_Hello_09_01","",""
Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:45","Ich passe auf, dass nicht die Hälfte unserer Jungs von Steinen erschlagen werden, weil sie zu dumm sind, an der richtigen Stelle zu schürfen.","I make sure half our boys don't go getting themselves killed by falling rocks, just because they're too stupid to scrape the right places.","","","Info_Swiney_Hello_09_02","",""
Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:57","Ich will bei euch als Schürfer mitmachen!","I'd like to join you as a scraper!","","","Info_Swiney_Schuerfer.description","",""
Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:70","Ich will bei euch als Schürfer mitmachen!","I'd like to join you as a scraper!","","","Info_Swiney_Schuerfer_15_00","",""
Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:71","So? Denk bloß nicht, du kannst hier viel erwarten. Jeden Tag gibt's 3 Portionen Reis und für den Rest musst du selber sorgen.","Oh yeah? Well, just don't think you're going to get anything much out of it. There's three portions of rice a day, any extra you'll have to see to yourself.","","","Info_Swiney_Schuerfer_09_01","",""
Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:72","Du weißt, warum wir das hier machen? Wir machen die Arbeit, damit alle hier eines Tages wieder rausspazieren können.","D'you know why we're doin' this? We're doin' this job so one day we can all walk out of here to freedom.","","","Info_Swiney_Schuerfer_09_02","",""
Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:73","Das heißt, alles Erz wird abgegeben und kommt auf den großen Haufen. Und einmal im Monat kriegt jeder, der hier hart gearbeitet hat, 50 Brocken Erz zum Versaufen.","That means all the ore's to be handed in, then it goes on the big ore mound. And once a month everybody who's been working here gets 50 ore to get stoned on.","","","Info_Swiney_Schuerfer_09_03","",""
Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:74","Das waren auch schon die wichtigsten Sachen, die du wissen musst.","That's the most important things you ought to know.","","","Info_Swiney_Schuerfer_09_04","",""
Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:75","Kennst du dich wenigstens mit der Arbeit aus?","Do you at least have any experience on the job?","","","Info_Swiney_Schuerfer_09_05","",""
Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:78","Nein.","No.","","","Info_Swiney_Schuerfer.Info_Swiney_Schuerfer_Nein","Info_AddChoice",""
Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:79","Ja.","Yes.","","","Info_Swiney_Schuerfer.Info_Swiney_Schuerfer_Ja","Info_AddChoice",""
Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:84","Ja.","Yes.","","","Info_Swiney_Schuerfer_Ja_15_00","",""
