"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
Scripts/content/AI/Monster/Mst_BlackGobbo.d:8","schwarzer Goblin","Black Goblin","","","Mst_Default_BlackGobbo.name","",""
Scripts/content/AI/Monster/Mst_BlackGobbo.d:105","Goblin Krieger","Goblin Warrior","","","BlackGobboWarrior.name","",""
Scripts/content/AI/Monster/Mst_Bloodfly.d:8","Blutfliege","Bloodfly","","","Mst_Default_Bloodfly.name","",""
Scripts/content/AI/Monster/Mst_Bloodfly.d:105","aggressive Blutfliege","Aggressive Bloodfly","","","HelpBrothers_Bloodfly.name","",""
Scripts/content/AI/Monster/Mst_Bloodhound.d:8","Bluthund","Bloodhound","","","Mst_Default_Bloodhound.name","",""
Scripts/content/AI/Monster/Mst_Demon.d:8","Flammendämon","Fire Demon","","","Mst_Default_Demon.name","",""
Scripts/content/AI/Monster/Mst_Demon.d:191","niederer Dämon","Lesser Demon","","","OTDemon.name","",""
Scripts/content/AI/Monster/Mst_DemonLord.d:8","Dämonenlord","Demon Lord","","","Mst_Default_DemonLord.name","",""
Scripts/content/AI/Monster/Mst_FireWaran.d:8","Feuerwaran","Fire Lizard","","","Mst_Default_FireWaran.name","",""
Scripts/content/AI/Monster/Mst_Gobbo.d:8","Goblin","Goblin","","","Mst_Default_GreenGobbo.name","",""
Scripts/content/AI/Monster/Mst_Golem.d:8","Golem","Golem","","","Mst_Default_Golem.name","",""
Scripts/content/AI/Monster/Mst_Golem.d:96","Stein Golem","Stone Golem","","","StoneGolem.name","",""
Scripts/content/AI/Monster/Mst_Golem.d:127","Golem","Golem","","","SummonedByPC_StoneGolem.name","",""
Scripts/content/AI/Monster/Mst_Golem.d:159","Stein Golem","Stone Golem","","","SummonedByNPC_StoneGolem.name","",""
Scripts/content/AI/Monster/Mst_Golem.d:189","Feuer Golem","Fire Golem","","","FireGolem.name","",""
Scripts/content/AI/Monster/Mst_Golem.d:225","Eis Golem","Ice Golem","","","IceGolem.name","",""
Scripts/content/AI/Monster/Mst_Golem.d:266","Brücken Golem","Bridge Golem","","","BridgeGolem.name","",""
Scripts/content/AI/Monster/Mst_Harpie.d:8","Harpie","Harpy","","","Mst_Default_Harpie.name","",""
Scripts/content/AI/Monster/Mst_Lurker.d:8","Lurker","Lurker","","","Mst_Default_Lurker.name","",""
Scripts/content/AI/Monster/Mst_Lurker.d:104","Dammlurker","Dam Lurker","","","DamLurker.name","",""
Scripts/content/AI/Monster/Mst_Meatbug.d:8","Fleischwanze","Meatbug","","","Mst_Default_Meatbug.name","",""
Scripts/content/AI/Monster/Mst_Minecrawler.d:8","Minecrawler","Minecrawler","","","Mst_Default_Minecrawler.name","",""
Scripts/content/AI/Monster/Mst_MinecrawlerQueen.d:8","Minecrawler Königin","Minecrawler Queen","","","Mst_Default_MinecrawlerQueen.name","",""
Scripts/content/AI/Monster/Mst_MinecrawlerWarrior.d:8","Minecrawler Warrior","Minecrawler Warrior","","","Mst_Default_MinecrawlerWarrior.name","",""
Scripts/content/AI/Monster/Mst_MinecrawlerWarrior.d:103","Tempel Minecrawler","Temple Minecrawler","","","OTMinecrawler.name","",""
Scripts/content/AI/Monster/Mst_Molerat.d:8","Molerat","Molerat","","","Mst_Default_Molerat.name","",""
Scripts/content/AI/Monster/Mst_Molerat.d:105","junge Molerat","Juvenile Molerat","","","YMolerat.name","",""
Scripts/content/AI/Monster/Mst_OrcBiter.d:8","Beisser","Biter","","","Mst_Default_OrcBiter.name","",""
Scripts/content/AI/Monster/Mst_OrcDog.d:8","Orc-Hund","Orc Dog","","","Mst_Default_OrcDog.name","",""
Scripts/content/AI/Monster/Mst_OrcScout.d:8","Orc Jäger","Orc Hunter","","","Mst_Default_OrcScout.name","",""
Scripts/content/AI/Monster/Mst_OrcScout.d:109","Ork","Orc","","","OrcPeasantEatAndDrink.name","",""
Scripts/content/AI/Monster/Mst_OrcScout.d:140","Orc Späher","Orc Scout","","","OrcScoutGYD.name","",""
Scripts/content/AI/Monster/Mst_OrcShaman.d:8","Ork Schamane","Orc Shaman","","","Mst_Default_OrcShaman.name","",""
Scripts/content/AI/Monster/Mst_OrcSlave.d:8","Orc Sklave","Orc Slave","","","Mst_Default_OrcSlave.name","",""
Scripts/content/AI/Monster/Mst_OrcSlave.d:105","Ork","Orc","","","OrcPeasantDance.name","",""
Scripts/content/AI/Monster/Mst_OrcSlave.d:133","Ork","Orc","","","OrcPeasantDrum.name","",""
Scripts/content/AI/Monster/Mst_OrcWarrior.d:8","Ork Krieger","Orc Warrior","","","Mst_Default_OrcWarrior.name","",""
Scripts/content/AI/Monster/Mst_OrcWarrior.d:78","Ork Kämpfer","Orc Fighter","","","OrcWarrior1.name","",""
Scripts/content/AI/Monster/Mst_OrcWarrior.d:112","Ork Krieger","Orc Warrior","","","OrcWarrior2.name","",""
Scripts/content/AI/Monster/Mst_OrcWarrior.d:146","Ork Klankrieger","Orc Clan Warrior","","","OrcWarrior3.name","",""
Scripts/content/AI/Monster/Mst_OrcWarrior.d:180","Ork Tempelkrieger","Orc Temple Warrior","","","OrcWarrior4.name","",""
Scripts/content/AI/Monster/Mst_Razor.d:8","Razor","Razor","","","Mst_Default_Razor.name","",""
Scripts/content/AI/Monster/Mst_Scavenger.d:8","Scavenger","Scavenger","","","Mst_Default_Scavenger.name","",""
Scripts/content/AI/Monster/Mst_Scavenger.d:110","junger Scavenger","Juvenile Scavenger","","","YScavenger.name","",""
Scripts/content/AI/Monster/Mst_Shadowbeast.d:8","Schattenläufer","Shadowbeast","","","Mst_Default_Shadowbeast.name","",""
Scripts/content/AI/Monster/Mst_Skeleton.d:8","Skelett","Skeleton","","","Mst_Default_Skeleton.name","",""
Scripts/content/AI/Monster/Mst_Skeleton.d:175","Skelett Späher","Skeleton Scout","","","SkeletonScout.name","",""
Scripts/content/AI/Monster/Mst_Skeleton.d:205","Skelett Krieger","Skeleton Warrior","","","SkeletonWarrior.name","",""
Scripts/content/AI/Monster/Mst_Skeleton.d:237","Skelett Magier","Skeleton Mage","","","SkeletonMage.name","",""
Scripts/content/AI/Monster/Mst_Skeleton.d:276","Skelett Magier des Nebelturms","Skeleton Mage of the Fog Tower","","","SkeletonMage_fogtower.name","",""
Scripts/content/AI/Monster/Mst_Skeleton.d:376","Skelett Krieger","Skeleton Warrior","","","SummonedByPC_SkeletonWarrior.name","",""
Scripts/content/AI/Monster/Mst_Skeleton.d:409","Skelett Krieger","Skeleton Warrior","","","SummonedByNPC_SkeletonWarrior.name","",""
Scripts/content/AI/Monster/Mst_Sleeper.d:8","Der Schläfer","The Sleeper","","","Mst_Default_Sleeper.name","",""
Scripts/content/AI/Monster/Mst_Snapper.d:8","Snapper","Snapper","","","Mst_Default_Snapper.name","",""
Scripts/content/AI/Monster/Mst_Swampshark.d:8","Sumpfhai","Swampshark","","","Mst_Default_Swampshark.name","",""
Scripts/content/AI/Monster/Mst_Swampshark.d:104","verletzter Sumpfhai","Injured Swampshark","","","HurtSwampshark.name","",""
Scripts/content/AI/Monster/Mst_Troll.d:8","Troll","Troll","","","Mst_Default_Troll.name","",""
Scripts/content/AI/Monster/Mst_Troll.d:104","junger Troll","Juvenile Troll","","","YoungTroll.name","",""
Scripts/content/AI/Monster/Mst_UndeadOrcShaman.d:8","Hohepriester","High Priest","","","Mst_Default_UndeadOrcShaman.name","",""
Scripts/content/AI/Monster/Mst_UndeadOrcWarrior.d:8","Tempelwächter","Temple Guard","","","Mst_Default_UndeadOrcWarrior.name","",""
Scripts/content/AI/Monster/Mst_UndeadOrcWarrior.d:103","Hoher Tempelwächter","High Temple Guard","","","UndeadOWH.name","",""
Scripts/content/AI/Monster/Mst_Waran.d:8","Waran","Lizard","","","Mst_Default_Waran.name","",""
Scripts/content/AI/Monster/Mst_Wolf.d:8","Wolf","Wolf","","","Mst_Default_Wolf.name","",""
Scripts/content/AI/Monster/Mst_Zombie.d:8","Zombie","Zombie","","","Mst_Default_Zombie.name","",""
Scripts/content/AI/Monster/Mst_Zombie.d:208","Der Wächter","The Guardian","","","ZombieTheKeeper.name","",""
