"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","Das Königreich Myrtana, wiedervereint durch die Hand König Rhobars II.","El Reino de Myrtana, unificado por el Rey Rhobar II.","","False","INTRO_PROLOG_14_00","",""
"","In den langen Jahren seiner Herrschaft war es ihm gelungen, alle Widersacher des Reiches zu bezwingen...","Durante los muchos años de su reinado logró vencer a todos los enemigos de su reino...","","False","INTRO_PROLOG_14_01","",""
"","... Bis auf einen.","...Menos a uno.","","False","INTRO_PROLOG_14_02","",""
"","(ruft) Feuer!","¡Fuego!","","False","INTRO_PROLOG_08_03","",""
"","Aaaargh! (diverse)","","","False","INTRO_PROLOG_06_04","",""
"","Aaaargh! (diverse)","","","False","INTRO_PROLOG_07_05","",""
"","Der Krieg mit den Orks forderte seinen Tribut ...","La guerra contra los orcos se cobraba su tributo...","","False","INTRO_PROLOG_14_06","",""
"","... und die Gefangenen des Reiches sollten ihn bezahlen.","...y los prisioneros del reino iban a pagar el precio.","","False","INTRO_PROLOG_14_07","",""
"","Der König brauchte Schwerter für seine Armeen und jeder, der sich eines auch noch so geringen Verbrechens schuldig gemacht hatte, wurde zur Arbeit in den Erzminen von Khorinis gezwungen.","El rey necesitaba espadas para su ejército y todo hombre culpable de un delito por insignificante que fuese, se vio obligado a trabajar en las minas de khorinis.","","False","INTRO_PROLOG_14_08","",""
"","(gecancelt) Aus allen Teilen des Landes wurden Gefangene gebracht.","","","False","INTRO_PROLOG_14_09","",""
"","Um jede Flucht unmöglich zu machen, sandte der König die mächtigsten Magier des Reiches aus, eine magische Barriere um das gesamte Tal zu errichten.","Para que les resultase imposible escapar el rey envió a los mejores magos del reino para que crearan una barrera mágica alrededor de todo el valle.","","False","INTRO_PROLOG_14_10","",""
"","ICH war einer der Magier.","Yo fui uno de ellos.","","False","INTRO_PROLOG_14_11","",""
"","(gecancelt) Wir mussten all unsere Macht bündeln, um die Barriere zu erschaffen, (ungecancelt) aber etwas störte das gebrechliche Gefüge der Magie.","Pero algo perturbó la delicada estructura mágica.","","False","INTRO_PROLOG_14_12","",""
"","Wir waren nun selbst Gefangene der Barriere.","Nos quedamos atrapados dentro de nuestra creación.","","False","INTRO_PROLOG_14_13","",""
"","Mehr als eine Sekunde der Unachtsamkeit brauchten die Gefangenen nicht - (gecancelt) als wir zur Festung kamen, war keiner der Wärter mehr am Leben.","Un segundo de negligencia bastó para los prisioneros.","","False","INTRO_PROLOG_14_14","",""
"","(gecancelt) Und obwohl die Aufsässigen nicht wagten uns anzugreifen, waren wir machtlos.","Y aunque los Rebeldes no se atrevían a tocarnos no pudimos hacer nada.","","False","INTRO_PROLOG_14_15","",""
"","Khorinis, (gecancelt) mit all seinen Minen, (ungecancelt) war nun in den Händen der Gefangenen.","","","False","INTRO_PROLOG_14_16","",""
"","Der König hatte keine Wahl.","El rey no tuvo opción.","","False","INTRO_PROLOG_14_17","",""
"","Er musste verhandeln, er brauchte das Erz.","Tuvo que negociar, necesitaba el mineral.","","False","INTRO_PROLOG_14_18","",""
"","(gecancelt) Aber seine einstigen Sklaven verlangten nun einen hohen Preis.","Pero sus antiguos esclavos exigían un alto precio.","","False","INTRO_PROLOG_14_19","",""
"","Monat für Monat lieferte der König den Gefangenen alles, was sie verlangten, Monat für Monat brachten sie dafür das Erz an den Rand der Barriere.","Durante meses el rey proporcionó todo lo que necesitaban los prisioneros, durante meses a cambio ellos llevaban el mineral al borde de la Barrera.","","False","INTRO_PROLOG_14_20","",""
"","In all den Jahren wurden viele Versuche unternommen, die magische Barriere zu öffnen, aber keiner hatte Erfolg.","A lo largo de los años se ha intentado abrir la Barrera mágica en varias ocasiones pero no ha sido posible.","","False","INTRO_PROLOG_14_21","",""
"","(gecancelt) Bis heute!","Hasta hoy.","","False","INTRO_PROLOG_14_22","",""
"","(gecancelt) Ein weiterer Verurteilter wurde zur Klippe gebracht.","","","False","INTRO_PROLOG_14_23","",""
"","Er wusste noch nichts von seinem Schicksal, aber ER sollte alles ändern.","","","False","INTRO_PROLOG_14_24","",""
"","(zitiert) Im Namen König Rhobar II, Träger des Zepters von Varant, Vereiniger der vier Reiche am Myrth… (gecancelt) …anischen Meer, verurteile ich diesen Gefangenen…","En el nombre del Rey Rhobar II portador del Cetro de Varant, sentencio a este recluso a…","","False","INTRO_CONDEMNATION_12_00","",""
"","(befiehlt) Halt!","¡Alto!","","False","INTRO_CONDEMNATION_10_01","",""
"","Gefangener, ich habe dir ein Angebot zu machen: Dieser Brief MUSS den Führer der Feuermagier erreichen.","Recluso, tengo que hacerte una oferta. Esta carta debe llegar al líder de los magos del fuego.","","False","INTRO_CONDEMNATION_10_02","",""
"","Du verschwendest deine Zeit.","Pierdes el tiempo.","","False","INTRO_CONDEMNATION_15_03","",""
"","Deine Belohnung könntest du selbst wählen. Man wird dir alles geben, was du verlangst.","Podrías escoger la recompensa que quisieras, te darán todo lo que pidas.","","False","INTRO_CONDEMNATION_10_04","",""
"","(grinst) Gut, ich werde deinen Brief nehmen.","Muy bien llevaré la carta.","","False","INTRO_CONDEMNATION_15_05","",""
"","Unter EINER Bedingung:","Con una condición.","","False","INTRO_CONDEMNATION_15_06","",""
"","Erspart mir den Rest von seinem Gefasel!","Ahórrame el resto de sus chorradas.","","False","INTRO_CONDEMNATION_15_07","",""
"","Du wag…","¡Cómo osas!","","False","INTRO_CONDEMNATION_12_08","",""
"","(befiehlt) Schweig!","¡Silencio!","","False","INTRO_CONDEMNATION_10_09","",""
"","Gut! Hinein mit ihm!","De acuerdo, metedle dentro.","","False","INTRO_CONDEMNATION_10_10","",""
"","(langgezogener Schrei) Uaaaaaaargh!","","","False","INTRO_CONDEMNATION_15_11","",""
"","Willkommen in der Kolonie, Baby!","Bienvenido a la colonia.","","False","INTRO_WELCOME_06_00","",""
"","(ruft) Das reicht! Lasst ihn in Ruhe!","Dejadle en paz.","","False","INTRO_WELCOME_11_00","",""
"","Macht, dass ihr wegkommt!","Largaos de aquí.","","False","INTRO_WELCOME_11_01","",""
"","Steh auf!","Levántate.","","False","INTRO_WELCOME_11_02","",""
"","Steh auf!","Levántate.","","False","INTRO_WELCOME_11_03","",""
"","Die lange Zeit des Wartens ist nun endlich vorbei.","La larga espera ha llegado a su fin.","","False","FINALPRAYER_SPEECH_12_00","",""
"","Durch seine unermessliche Macht hat uns der Schläfer an diesen Ort geführt, um sein Erwachen zu bezeugen.","Por medio de sus poderes inconmensurables el Durmiente nos ha traído este lugar, para que podamos presenciar su despertar.","","False","FINALPRAYER_SPEECH_12_01","",""
"","Das Artefakt, das er uns in einer Vision zeigte, wird unsere geistige Kraft bündeln.","El artefacto que nos mostró en una visión concentrará nuestros poderes espirituales.","","False","FINALPRAYER_SPEECH_12_02","",""
"","Ihr habt euch lange auf diesen Moment vorbereitet.","Lleváis mucho tiempo preparándoos para este momento.","","False","FINALPRAYER_SPEECH_12_03","",""
"","Vereinigt eure Gedanken, auf dass der Schläfer uns erhört. Denn sein Weg ist der Weg der Freiheit. Und wir - sind seine Auserwählten.","Unid vuestros pensamientos para que el Durmiente escuche vuestras oraciones. Suya es la senda que lleva hacia la libertad y nosotros somos su pueblo elegido.","","False","FINALPRAYER_SPEECH_12_04","",""
"","Der Schläfer erwache!","¡Que despierte el Durmiente!","","False","FINALPRAYER_SPEECH_12_05","",""
"","Aaaargh!","","","False","FINALPRAYER_SPEECH_12_06","",""
"","Meister, was ist passiert?","Maestro, ¿qué ha pasado?","","False","FINALPRAYER_SPEECH_08_07","",""
"","Ja, Meister, was ist geschehen? Was hast du gesehen? War DAS der Weg in die Freiheit?","Sí maestro, ¿qué habéis visto? ¿era la senda hacia la libertad?","","False","FINALPRAYER_SPEECH_10_08","",""
"","Genau! Er wollte uns den Weg in die Freiheit zeigen!","Sí ¿qué pasa? ¿Era la senda hacia la libertad?","","False","FINALPRAYER_SPEECH_03_09","",""
"","Ja, was ist damit?","¡Exacto!","","False","FINALPRAYER_SPEECH_02_10","",""
"","Ruhe!","¡Silencio!","","False","FINALPRAYER_SPEECH_08_11","",""
"","Klar ist, der Weg in die Freiheit führt über die Orks! Der Schläfer hat uns einen Ort gezeigt und den müssen wir finden!","Resulta evidente, la senda hacia la libertad pasa entre los orcos. ¡El Durmiente nos ha mostrado un lugar debemos encontrarlo!","","False","FINALPRAYER_SPEECH_08_12","",""
"","Nicht weit von hier ist der Eingang zu einer Orkhöhle. Dort fangen wir an zu suchen. Der Schläfer ist mit uns!","No muy lejos de aquí hay una entrada a una cueva orca. Empezaremos a buscar allí. ¡El Durmiente estará con nosotros!","","False","FINALPRAYER_SPEECH_08_13","",""
"","Was soll das heißen? Sollen wir gegen diese Monster kämpfen?","¿Qué es lo que significa?, ¿combatiremos contra estos monstruos?","","False","FINALPRAYER_SPEECH_02_14","",""
"","Euch hat der Schläfer nicht zum Kämpfen berufen. Ich wurde mit dem Templer gehen. Ihr Novizen könnt für uns beten.","El Durmiente nos exigió que lucharáis. Iré con los templarios los novicios rezaréis por nosotros.","","False","FINALPRAYER_SPEECH_08_15","",""
"","Jeder Mann der eine Waffe führen kann soll mir folgen.","Que me sigan todos los hombres que empuñan un arma.","","False","FINALPRAYER_SPEECH_08_16","",""
"","Mmpf.","","","False","FINALPRAYER_SPEECH_10_17","",""
"","Nachdem der Schläfer wieder in seine Dimension verbannt wurde, begab ich mich zurück ans Tageslicht. Die magische Barriere war gefallen. Doch für mich fing das Abenteuer damit erst an.","Cuando el Durmiente fue desterrado a su dimensión, yo volví a la luz del día. La barrera mágica había caído, pero para mí la aventura acababa de empezar.","","False","OUTRO_PLAYER_CLIFFHANGER_15_00","",""
"","Aber das ist eine andere Geschichte.","Pero esa es otra historia.","","False","OUTRO_PLAYER_CLIFFHANGER_15_01","",""
