"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:33","Hi! Ich bin neu hier!","Salut ! Je suis nouveau ici !","","","DIA_Caine_Hallo.description","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:43","Hi! Ich bin neu hier!","Salut ! Je suis nouveau ici !","","","DIA_Caine_Hallo_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:44","Ich bin Caine. Schüler von Cor Kalom. Du hast sicher schon von ihm gehört, richtig?","Je... je... je m'appelle Caine, un élève de Cor Kalom. Tu as dû entendre parler de lui, non ?","","","DIA_Caine_Hallo_13_01","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:47","Nein.","Non.","","","DIA_Caine_Hallo.DIA_Caine_Hallo_Nein","Info_AddChoice",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:48","Ja.","Oui.","","","DIA_Caine_Hallo.DIA_Caine_Hallo_Ja","Info_AddChoice",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:53","Ja.","Ouais.","","","DIA_Caine_Hallo_Ja_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:54","Dann weißt du ja, dass er hier der zweitwichtigste Mann nach Y'Berion ist.","Alors tu sais que c'est le deuxième homme dans ce camp... après Y'Bérion.","","","DIA_Caine_Hallo_Ja_13_01","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:60","Nein.","Non.","","","DIA_Caine_Hallo_Nein_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:61","Nicht?! Du bist wohl wirklich noch nicht lange hier, was?","Non ? ! Tu n'as pas vécu ici longtemps, n'est-ce pas ?","","","DIA_Caine_Hallo_Nein_13_01","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:62","Cor Kalom ist der zweitwichtigste Mann nach Y'Berion. Er entscheidet, wer als Novize bei uns aufgenommen wird.","Cor Kalom vient en second après Y'Bérion. Il décide qui peut nous rejoindre comme novice.","","","DIA_Caine_Hallo_Nein_13_02","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:132","Und was tust du?","Et quel est ton travail ?.","","","DIA_Caine_Job.description","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:145","Und was tust du?","Et quel est ton travail ?.","","","DIA_Caine_Job_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:146","Ich helfe meinem Meister bei der Aufbereitung der alchimistischen Substanzen.","Je... je... j'aide mon maître à préparer ses potions alchimiques.","","","DIA_Caine_Job_13_01","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:147","Im wesentlichen Sumpfkraut und Minecrawlersekret. Vor allem das Sekret braucht er dringend.","La plupart du temps Herbe des marais et sécrétion de Chenille des mines. ... la sécrétion est un besoin très urgent.","","","DIA_Caine_Job_13_02","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:159","Wo bekomme ich das Sekret der Minecrawler?","Où obtenir de la sécrétion de Chenille des cavernes ?","","","DIA_Caine_WoSekret.description","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:172","Wo bekomme ich das Sekret der Minecrawler?","Où obtenir de la sécrétion de Chenille des cavernes ?","","","DIA_Caine_WoSekret_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:173","Crawler findest du in der Alten Mine. Aber du musst wissen wie du ihnen das Sekret abzapfst.","Tu peux trouver des Chenilles dans la vieille mine. Mais tu dois savoir prendre leur sécrétion.","","","DIA_Caine_WoSekret_13_01","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:174","Falls du wirklich vorhast, dich mit den Biestern anzulegen, sprich besser vorher mit einem der Templer, der Erfahrung hat. Zum Beispiel Gor Na Drak.","Si tu veux vraiment combattre ces monstres, tu ferais mieux d'en parler avant à un templier expérimenté. Comme Gor Na Drak.","","","DIA_Caine_WoSekret_13_02","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:175","Er ist jeden Tag zwischen unserem Lager und der Alten Mine unterwegs. Morgens triffst du ihn unten am Labor.","Il voyage entre notre camp et... et la vieille mine tous les jours. L-Le matin tu le trouveras au laboratoire.","","","DIA_Caine_WoSekret_13_03","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:187","Was kannst du mir noch über deinen Meister erzählen?","Qui mieux que toi peut m'informer sur ton maître ?","","","DIA_Caine_AddInfoKalom.description","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:200","Was kannst du mir noch über deinen Meister erzählen?","Qui mieux que toi peut m'informer sur ton maître ?","","","DIA_Caine_AddInfoKalom_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:201","Er ist nicht wie die anderen Gurus. Er getattet jedem, ihn anzusprechen, aber NIEMANDEM seine kostbare Zeit zu verschwenden.","Il... il n'est pas comme... les autres Sages. Tout le monde peut s'adresser à lui, mais... mais PERSONNE n'a la permission de lui faire perdre son temps précieux.","","","DIA_Caine_AddInfoKalom_13_01","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:243","Wie komme ich an das Rezept von Kalom?","Comment puis-je obtenir la recette de Kalom ?","","","Nov_1301_Caine_CHEST.description","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:256","Wie komme ich an das Rezept von Kalom?","Comment puis-je obtenir la recette de Kalom ?","","","Nov_1301_Caine_CHEST_Info_15_01","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:257","Gar nicht. Er hält es in seiner Truhe verschlossen. Das rückt er niemals raus.","Pas toi. Il le garde dans un coffre verrouillé et ne le donnerait à personne.","","","Nov_1301_Caine_CHEST_Info_13_02","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1356_Shrat.d:33","Was machst du denn hier?","Que fais-tu ici ?","","","DIA_Shrat_WhyHere.description","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1356_Shrat.d:43","Was machst du denn hier?","Que fais-tu ici ?","","","DIA_Shrat_WhyHere_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1356_Shrat.d:44","Habe ich dir erlaubt, mich anzusprechen?","Est-ce que je t'ai donné l'autorisation de me parler ?","","","DIA_Shrat_WhyHere_02_01","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1356_Shrat.d:45","War nur'n Witz! Diese verdammten Spinner gehen mir gehörig auf den Sack, deswegen bin ich hier!","Je plaisantais ! Ces farfelus me tapent sur les nerfs, c'est pourquoi je suis ici !","","","DIA_Shrat_WhyHere_02_02","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1356_Shrat.d:46","'Sprich mich nicht an!' - 'Bitte den Schläfer um Vergebung!' - 'Deine Mission ist von äußerster Dringlichkeit!'","Ne me parle pas! - 'prie pour la rédemption du Dormeur!' - 'ta mission est d'une importance capitale!'","","","DIA_Shrat_WhyHere_02_03","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1356_Shrat.d:47","Das hält man ja im Kopf nicht aus - kein Wunder, dass die hier alle gaga sind.","C'est suffisant pour qu'un homme devienne fou - pas étonnant qu'ils le soit tous ici.","","","DIA_Shrat_WhyHere_02_04","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1356_Shrat.d:48","Ich bin Shrat. Novize ersten Ranges - und das werde ich auch bleiben!","Je suis Shrat, novice du premier rang - et c'est ce que  je serais pour toujours !","","","DIA_Shrat_WhyHere_02_05","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1356_Shrat.d:60","Ich will der Bruderschaft beitreten - kannst du mir helfen?","Je veux rejoindre la Confrérie - peux-tu m'aider ?","","","DIA_Shrat_JoinPSI.description","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1356_Shrat.d:73","Ich will der Bruderschaft beitreten - kannst du mir helfen?","Je veux rejoindre la Confrérie - peux-tu m'aider ?","","","DIA_Shrat_JoinPSI_15_00","",""
