"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/content/Story/Text.d:6","Kiste","Boite","","","MOBNAME_CRATE","",""
"Scripts/content/Story/Text.d:7","Truhe","Coffre","","","MOBNAME_CHEST","",""
"Scripts/content/Story/Text.d:8","Bett","Lit","","","MOBNAME_BED","",""
"Scripts/content/Story/Text.d:9","Tür","Porte","","","MOBNAME_DOOR","",""
"Scripts/content/Story/Text.d:16","Amboss","Enclume","","","MOBNAME_ANVIL","",""
"Scripts/content/Story/Text.d:17","Wasser-Eimer","Seau d'eau","","","MOBNAME_BUCKET","",""
"Scripts/content/Story/Text.d:18","Schmiede-Feuer","Forge","","","MOBNAME_FORGE","",""
"Scripts/content/Story/Text.d:19","Schleifstein","Meule","","","MOBNAME_GRINDSTONE","",""
"Scripts/content/Story/Text.d:20","Winde","Treuil","","","MOBNAME_WHEEL","",""
"Scripts/content/Story/Text.d:24","Kessel","Marmitte","","","MOBNAME_CAULDRON","",""
"Scripts/content/Story/Text.d:26","Pfanne","Casserole","","","MOBNAME_PAN","",""
"Scripts/content/Story/Text.d:28","Wasserpfeife","Narghilé","","","MOBNAME_WATERPIPE","",""
"Scripts/content/Story/Text.d:29","Leiter","Échelle","","","MOBNAME_LADDER","",""
"Scripts/content/Story/Text.d:30","Schalter","Interrupteur","","","MOBNAME_SWITCH","",""
"Scripts/content/Story/Text.d:32","Erzklumpen","Pépite minérale","","","MOBNAME_ORE","",""
"Scripts/content/Story/Text.d:35","Blasebalg","Soufflet","","","MOBNAME_BELLOW","",""
"Scripts/content/Story/Text.d:37","Mumie","Momie","","","MOBNAME_ORC_MUMMY","",""
"Scripts/content/Story/Text.d:38","Säule","Colonne","","","MOBNAME_PILLAR","",""
"Scripts/content/Story/Text.d:42","Krautstampfer","Broyeur d'Herbe","","","MOBNAME_HERB_PSI","",""
"Scripts/content/Story/Text.d:43","Statuette","Figurine","","","MOBNAME_IDOL","",""
"Scripts/content/Story/Text.d:46","Zielscheibe","Cible","","","MOBNAME_TARGETSTONE","",""
"Scripts/content/Story/Text.d:47","Orkischer Herzschrein","Sanctuaire du Coeur des Orcs","","","MOBNAME_SHRINE","",""
"Scripts/content/Story/Text.d:48","Sonderbarer Stein","Étrange Sanctuaire","","","MOBNAME_SWORDSTONE","",""
"Scripts/content/Story/Text.d:57","(keine)","(aucune)","","","TXT_GUILDS[0]","",""
"Scripts/content/Story/Text.d:58","Erzbaron","Baron du minerai","","","TXT_GUILDS[1]","",""
"Scripts/content/Story/Text.d:59","Gardist","Garde","","","TXT_GUILDS[2]","",""
"Scripts/content/Story/Text.d:60","Schatten","Ombre","","","TXT_GUILDS[3]","",""
"Scripts/content/Story/Text.d:61","Feuermagier","Magicien du Feu","","","TXT_GUILDS[4]","",""
"Scripts/content/Story/Text.d:62","Buddler","Mineur","","","TXT_GUILDS[5]","",""
"Scripts/content/Story/Text.d:63","Wassermagier","Magicien de l'Eau","","","TXT_GUILDS[6]","",""
"Scripts/content/Story/Text.d:64","Söldner","Mercenaire","","","TXT_GUILDS[7]","",""
"Scripts/content/Story/Text.d:65","Bandit","Crapule","","","TXT_GUILDS[8]","",""
"Scripts/content/Story/Text.d:66","Bauer","Paysan","","","TXT_GUILDS[9]","",""
"Scripts/content/Story/Text.d:67","Schürfer","Grattoir","","","TXT_GUILDS[10]","",""
"Scripts/content/Story/Text.d:68","Guru","Sage","","","TXT_GUILDS[11]","",""
"Scripts/content/Story/Text.d:69","Novize","Disciple","","","TXT_GUILDS[12]","",""
"Scripts/content/Story/Text.d:70","Templer","Templier","","","TXT_GUILDS[13]","",""
"Scripts/content/Story/Text.d:71","Dämonenbeschw.","Nécromancien","","","TXT_GUILDS[14]","",""
"Scripts/content/Story/Text.d:72","Babe","Fille","","","TXT_GUILDS[15]","",""
"Scripts/content/Story/Text.d:74","Waran","Lézard","","","TXT_GUILDS[17]","",""
"Scripts/content/Story/Text.d:75","Sleeper","Dormeur","","","TXT_GUILDS[18]","",""
"Scripts/content/Story/Text.d:76","Goblin","Gobelin","","","TXT_GUILDS[19]","",""
"Scripts/content/Story/Text.d:77","Troll","Troll","","","TXT_GUILDS[20]","",""
"Scripts/content/Story/Text.d:78","Snapper","Claque-Machoire","","","TXT_GUILDS[21]","",""
"Scripts/content/Story/Text.d:79","Minecrawler","Chenille des Mines","","","TXT_GUILDS[22]","",""
"Scripts/content/Story/Text.d:80","Fleischwanze","Insecte","","","TXT_GUILDS[23]","",""
"Scripts/content/Story/Text.d:81","Scavenger","Charognard","","","TXT_GUILDS[24]","",""
"Scripts/content/Story/Text.d:82","Dämon","Démon","","","TXT_GUILDS[25]","",""
"Scripts/content/Story/Text.d:83","Wolf","Loup","","","TXT_GUILDS[26]","",""
"Scripts/content/Story/Text.d:84","Schattenläufer","Bête de l'ombre","","","TXT_GUILDS[27]","",""
"Scripts/content/Story/Text.d:85","Bloodfly","Mouche de Sang","","","TXT_GUILDS[28]","",""
"Scripts/content/Story/Text.d:86","Sumpfhai","Requin des Marais","","","TXT_GUILDS[29]","",""
"Scripts/content/Story/Text.d:87","Zombie","Zombi","","","TXT_GUILDS[30]","",""
"Scripts/content/Story/Text.d:88","Zombie	Orc","Orc Zombi","","False","TXT_GUILDS[31]","",""
"Scripts/content/Story/Text.d:89","Skelett","Squelette","","","TXT_GUILDS[32]","",""
"Scripts/content/Story/Text.d:90","Ork-Hund","Chien Orc","","","TXT_GUILDS[33]","",""
"Scripts/content/Story/Text.d:91","Molerat","Molerat","","","TXT_GUILDS[34]","",""
"Scripts/content/Story/Text.d:92","Golem","Golem","","","TXT_GUILDS[35]","",""
"Scripts/content/Story/Text.d:93","Lurker","Charognard","","","TXT_GUILDS[36]","",""
