"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/content/Story/MISSIONS/DIA_Kdw_600_Saturas.d:19","Mögest du in einem Stück zurückkehren!","Térj vissza egy darabban!","","","Info_Saturas_EXIT_14_01","",""
"Scripts/content/Story/MISSIONS/DIA_Kdw_600_Saturas.d:45","Was machst du hier? Du hast hier nichts zu suchen! Verschwinde!","Mit csinálsz itt? Itt semmi dolgod sincs! Tünés!","","","Info_Saturas_Intruder_14_00","",""
"Scripts/content/Story/MISSIONS/DIA_Kdw_600_Saturas.d:67","Ich habe wichtige Neuigkeiten aus dem Lager der Bruderschaft!","Sürgős híreim vannak a Testvériség Táborából!","","","Info_Saturas_NEWS.description","",""
"Scripts/content/Story/MISSIONS/DIA_Kdw_600_Saturas.d:80","Ich habe wichtige Neuigkeiten aus dem Lager der Bruderschaft!","Sürgős híreim vannak a Testvériség Táborából!","","","Info_Saturas_NEWS_15_01","",""
"Scripts/content/Story/MISSIONS/DIA_Kdw_600_Saturas.d:81","Wenn dir Cronos die Erlaubnis gab, mich aufzusuchen, müssen es in der Tat wichtige Nachrichten sein!","Ha Cronos engedélyt adott rá, hogy meglátogass, akkor bizony fontos híreidnek kell lenniük!","","","Info_Saturas_NEWS_14_02","",""
"Scripts/content/Story/MISSIONS/DIA_Kdw_600_Saturas.d:93","Y'Berion ist tot","Y'Berion halott!","","False","Info_Saturas_YBERION.description","",""
"Scripts/content/Story/MISSIONS/DIA_Kdw_600_Saturas.d:106","Y'Berion ist tot! Er starb bei einer großen rituellen Anrufung des Schläfers.","Y'Berion meghalt! Az Alvó megidézési szertartása közben halt meg.","","","Info_Saturas_YBERION_15_01","",""
"Scripts/content/Story/MISSIONS/DIA_Kdw_600_Saturas.d:107","Y'Berion tot? Das sind schlechte Nachrichten, sehr schlechte Nachrichten!","Y'Berion halott? Ez rossz hír, tényleg nagyon rossz hír!","","","Info_Saturas_YBERION_14_02","",""
"Scripts/content/Story/MISSIONS/DIA_Kdw_600_Saturas.d:108","Wer hat die Führung der Bruderschaft übernommen? Dieser machtgierige, verschlagene Cor Kalom?","Ki vezeti most a Testvériséget? Az álnok és hataloméhes Cor Kalom?","","","Info_Saturas_YBERION_14_03","",""
"Scripts/content/Story/MISSIONS/DIA_Kdw_600_Saturas.d:109","Nein! Kalom hat der Bruderschaft den Rücken gekehrt. Er hat einige Templer mitgenommen. Niemand weiß, wohin sie aufgebrochen sind.","Nem! Kalom hátat fordított a Testvériségnek. Magával vitt néhány templomost. Senki nem tudja, hová mentek.","","","Info_Saturas_YBERION_15_04","",""
"Scripts/content/Story/MISSIONS/DIA_Kdw_600_Saturas.d:110","Warum das? Er war doch der zweite Mann nach Y'Berion!","Hogy lehet ez? Ő volt a második ember Y'Berion után!","","","Info_Saturas_YBERION_14_05","",""
"Scripts/content/Story/MISSIONS/DIA_Kdw_600_Saturas.d:111","Gewisse Ereignisse haben die Gurus davon überzeugt, dass der Weg ihres Gottes der falsche ist. Er scheint ein Erzdämon zu sein, der nur Böses im Schilde führt.","Bizonyos események meggyőzték a Gurukat, hogy az út amit járnak, nem helyes. Úgy tűnik, az istenük egy gonosz ősdémon.","","","Info_Saturas_YBERION_15_06","",""
"Scripts/content/Story/MISSIONS/DIA_Kdw_600_Saturas.d:112","Einer der Gurus hat mich unter dem Einfluss des Schläfers fast umgebracht, obwohl ich eben diesem Mann kurz zuvor das Leben gerettet hatte.","Az egyik Guru kis híján megölt az Alvó befolyása alatt, annak ellenére, hogy nem sokkal azelőtt megmentettem az életét.","","","Info_Saturas_YBERION_15_07","",""
"Scripts/content/Story/MISSIONS/DIA_Kdw_600_Saturas.d:113","Cor Kalom war der einzige Guru, der die wahre Natur der Höllenkreatur nicht sehen wollte und hat daher das Lager im Sumpf verlassen.","Cor Kalom volt az egyetlen Guru, aki nem volt hajlandó elismerni a pokoli teremtmény igazi természetét, ezért hagyta el a tábort a mocsárban.","","","Info_Saturas_YBERION_15_08","",""
"Scripts/content/Story/MISSIONS/DIA_Kdw_600_Saturas.d:114","Ich verstehe! Nun, das ist Glück im Unglück, denn Cor Angar ist ein guter Mann. Hart, aber ehrlich.","Értem! Nos, legalább ebben az egy dologban szerencsénk van. Cor Angar jó ember. Kemény, de becsületes.","","","Info_Saturas_YBERION_14_09","",""
"Scripts/content/Story/MISSIONS/DIA_Kdw_600_Saturas.d:115","Wenn jemand den Zerfall der Bruderschaft nach dieser spirituellen Katastrophe verhindern kann, ist er es.","Ha létezik valaki, aki össze tudja tartani a Testvériséget e szellemi katasztrófa után, hát ő az.","","","Info_Saturas_YBERION_14_10","",""
"Scripts/content/Story/MISSIONS/DIA_Kdw_600_Saturas.d:129","Ich habe diesen Almanach hier","Itt ez az évkönyv...","","False","Info_Saturas_BOOK.description","",""
"Scripts/content/Story/MISSIONS/DIA_Kdw_600_Saturas.d:142","Ich habe diesen Almanach hier ...","Itt ez az évkönyv...","","","Info_Saturas_BOOK_15_01","",""
"Scripts/content/Story/MISSIONS/DIA_Kdw_600_Saturas.d:143","Y'Berion hatte ihn benutzt, um den Fokus aufzuladen.","Y'Berion a fókusz feltöltésére használta.","","","Info_Saturas_BOOK_15_02","",""
"Scripts/content/Story/MISSIONS/DIA_Kdw_600_Saturas.d:144","Sehr gut. Wir benötigen das Wissen aus diesem Buch, um alle fünf der ursprünglichen Fokussteine aufzuladen.","Nagyon jó. Szükségünk van e könyv tudására, hogy feltöltsük az öt eredeti fókuszkövet.","","","Info_Saturas_BOOK_14_03","",""
"Scripts/content/Story/MISSIONS/DIA_Kdw_600_Saturas.d:145","Ich werde den Almanach an mich nehmen!","Kérném az évkönyvet!","","","Info_Saturas_BOOK_14_04","",""
"Scripts/content/Story/MISSIONS/DIA_Kdw_600_Saturas.d:161","Ich habe diesen Fokus hier","Itt ez a fókusz...","","False","Info_Saturas_FOCUS.description","",""
"Scripts/content/Story/MISSIONS/DIA_Kdw_600_Saturas.d:174","Ich habe diesen Fokus hier ...","Itt ez a fókusz...","","","Info_Saturas_FOCUS_15_01","",""
"Scripts/content/Story/MISSIONS/DIA_Kdw_600_Saturas.d:175","Du hältst einen der Schlüssel für die Zerstörung unser aller Fesseln in Händen.","A kezedben tartod a láncaink letörésének kulcsát.","","","Info_Saturas_FOCUS_14_02","",""
