"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:23","Weiter geht's.","Haladjunk tovább.","","False","DIA_Milten_EXIT_02_00","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:27","Wir sehen uns.","Később találkozunk.","","False","DIA_Milten_EXIT_02_01","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:56","Du darfst keinen Fuß über diese Schwelle setzen, es sei denn Meister Corristo gestattet es.","Nem lépheted át ezt a küszöböt, ha csak Corristo mester nem engedélyezi.","","False","DIA_Milten_First_02_00","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:68","Ich suche den obersten Magier des Feuers.","A Tűzmágusok Körének Főmágusát keresem.","","False","DIA_Milten_Hello.description","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:81","Ich suche den obersten Magier des Feuers.","A Tűzmágusok Körének Főmágusát keresem.","","False","DIA_Milten_Hello_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:82","Das ist Corristo. Was willst du von ihm?","Ő Corristo. Mit akarsz tőle?","","False","DIA_Milten_Hello_02_01","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:116","Zeig mir den Brief.","Mutasd a levelet.","","False","DIA_Milten_Letter_02_03","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:129","Das ist nicht mehr nötig.","Arra már nem lesz szükség.","","False","Info_Milten_SHSEAL_02_05","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:133","Wir haben von deiner Leistung in der Alten Mine gehört. Ohne die Minecrawler ist der Erzabbau viel sicherer geworden.","Hallottuk mit vittél véghez a Régi Bányában. A tárnarákok nélkül, az érc bányászat sokkal biztonságosabb lett.","","False","DIA_Milten_GotoCorristo_02_01","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:134","Auch Corristo weiß davon. Er wünscht dich zu sprechen. Geh zu ihm.","Corristo is tud az eredményeidről. Beszélni szeretne veled. Menj oda hozzá.","","","DIA_Milten_GotoCorristo_02_02","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:148","Ich habe einen Brief für den obersten Feuermagier.","Van egy levelem a Tűzmágusok Körének Főmágusához.","","","DIA_Milten_Letter.description","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:162","Ich habe einen Brief für den obersten Feuermagier.","Van egy levelem a Tűzmágusok Körének Főmágusához.","","","DIA_Milten_Letter_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:163","Bist du ein Bote aus der Außenwelt?","Hírnök vagy a kinti világból?","","","DIA_Milten_Letter_02_01","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:164","Ja. Ein Magier gab mir den Brief, kurz bevor sie mich in die Kolonie geworfen haben.","Igen. Egy mágus adta nekem a levelet nem sokkal az előtt, hogy belöktek a kolóniába.","","False","DIA_Milten_Letter_15_02","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:167","Erst will ich meine Belohnung.","Először kérem a jutalmamat.","","False","DIA_Milten_Letter.DIA_Milten_Letter_NO","Info_AddChoice",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:168","Hier ist er.","Itt van.","","","DIA_Milten_Letter.DIA_Milten_Letter_Give","Info_AddChoice",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:173","Hier ist er.","Itt van.","","","DIA_Milten_Letter_Give_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:177","Das ist ein Brief an Xardas!","Ezt a levelet Xardasnak címezték!","","","DIA_Milten_Letter_Give_02_03","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:178","Und was ist daran so aufregend?","Miért olyan érdekes ez?","","","DIA_Milten_Letter_Give_15_04","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:179","Xardas ist schon lange kein Diener Innos mehr. Vor einigen Jahren hat er uns verlassen und sich der schwarzen Magie zugewandt.","Xardas már évek óta nem Innos szolgája. Elhagyott minket évekkel ezelőtt és a fekete mágia felé fordult.","","False","DIA_Milten_Letter_Give_02_05","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:180","Er lebt in einem Turm mitten im Orkgebiet und widmet sich dort seinen Studien.","Egy toronyban él az Ork földek közepén és a tanulmányainak szenteli idejét.","","False","DIA_Milten_Letter_Give_02_06","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:181","Er sagte, er wolle auf seine Art herausfinden, was mit der Barriere nicht stimmt.","Azt mondta a saját módszereivel próbálja meg kideríteni mi történt a Kupolával.","","","DIA_Milten_Letter_Give_02_07","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:183","Warte hier. Ich bin gleich wieder da.","Itt várj. Nemsoká visszatérek.","","False","DIA_Milten_Letter_Give_02_08","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:203","Erst will ich meine Belohnung.","Elsőnek a jutalmamat akarom.","","","DIA_Milten_Letter_NO_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:204","Corristo wird Torrez anweisen, sie dir zu geben, sobald er den Brief erhalten hat.","Corristo majd megkéri Torrezt, hogy adja oda neked amint megkapta a levelet.","","False","DIA_Milten_Letter_NO_02_01","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:205","Ich bin ein Diener Innos - ich lüge niemals. Gib mir den Brief jetzt.","Innos szolgája vagyok - sohasem hazudok. Most pedig add ide a levelet.","","False","DIA_Milten_Letter_NO_02_02","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:207","Ich möchte den Brief lieber Torrez direkt geben.","Inkább magának Torreznek adnám a levelet.","","","DIA_Milten_Letter.DIA_Milten_Letter_NO_AGAIN","Info_AddChoice",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:213","Ich möchte den Brief lieber Torrez direkt geben.","Inkább magának Torreznek adnám a levelet.","","","DIA_Milten_Letter_NO_AGAIN_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:214","Du lässt nicht mit dir reden, hm?","Nem foglak tudni lebeszélni róla ugye?","","False","DIA_Milten_Letter_NO_AGAIN_02_01","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:215","Nein. Ich will erst meine Belohnung sehen!","Nem. Először szeretném látni a jutalmamat.","","","DIA_Milten_Letter_NO_AGAIN_15_02","",""
