"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:31","Ich will besser mit Einhandwaffen umgehen können.","Jobbá akarom tenni az egykezes fegyverhasználatomat.","","False","SLD_709_Cord_TRAINOFFER.description","",""
"Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:44","Ich will besser mit Einhandwaffen umgehen können.","Jobbá akarom tenni az egykezes fegyverhasználatomat.","","False","SLD_709_Cord_TRAINOFFER_Info_15_01","",""
"Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:45","Natürlich. Kostet aber 'ne Kleinigkeit. 30 Erz will ich sehen.","Természetesen. De fizetned kell érte. 30 ércet kérek.","","False","SLD_709_Cord_TRAINOFFER_Info_14_02","",""
"Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:75","Ich will besser mit Einhandwaffen umgehen können.","Jobbá akarom tenni az egykezes fegyverhasználatomat.","","False","SLD_709_Cord_TRAIN_Info_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:81","Gute Entscheidung! Um deine Technik zu verbessern, musst du erst einmal lernen, deine Waffe richtig zu halten.","Jó döntés! Mielőtt fejleszthetnéd a technikádat, meg kell tanulnod, hogy hogyan kell rendesen tartani a fegyvert.","","False","SLD_709_Cord_TRAIN_14_01","",""
"Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:82","Anfänger neigen dazu, Einhandwaffen mit beiden Händen zu halten. Mit so was fängst du am besten gar nicht erst an, das behindert dich nur.","Kezdők gyakorta akarják egykezes fegyverüket mindkét kézben tartani. Jobb, ha erre nem szoksz rá, mert csak károdra lesz.","","False","SLD_709_Cord_TRAIN_14_02","",""
"Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:83","Halt die Waffe mit einer Hand, Klinge nach oben, und dann immer schön schwingen lassen.","Tartsd a fegyvert csak az egyik kezedben, a penge nézzen az égbe, aztán suhints vele.","","False","SLD_709_Cord_TRAIN_14_03","",""
"Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:84","Du musst lernen, den Schwung deiner Waffe mit deinen Bewegungen in Einklang zu bringen, dann kannst du schneller zuschlagen.","Meg kell tanulnod harmonizálni a kard csapásait és a tested mozgását. Ez gyorsabbá fog tenni támadás közben.","","False","SLD_709_Cord_TRAIN_14_04","",""
"Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:85","Wenn du dich an meine Anweisungen hältst, wirst du in Zukunft eleganter und vor allem schneller kämpfen.","Ha észben tartod amit tanítottam neked, a harcaid elegánsabbak és gyorsabbak lesznek a jövőben.","","False","SLD_709_Cord_TRAIN_14_05","",""
"Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:87","Ach, und noch was: Manche Treffer richten mehr Schaden an als andere! Als Anfänger hast du nur eine geringe Chance, solche kritischen Treffer zu landen.","Ja és még valami: Néhány ütésed nagyobbat fog sebezni a többinél! Kezdőként még nincs túl nagy esélyed kritikusakat sebezni.","","False","SLD_709_Cord_TRAIN_14_06","",""
"Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:88","Aber je weiter du fortschreitest, desto besser wird diese Fähigkeit.","De minél tovább fejlődsz annál jobbá válsz benne.","","False","SLD_709_Cord_TRAIN_14_07","",""
"Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:123","Zeig mir, wie ich im Umgang mit Waffen noch besser werden kann.","Taníts meg, hogy még ügyesebben tudjak egykezes fegyvereket forgatni.","","False","SLD_709_Cord_TRAINAGAIN_Info_15_01","",""
"Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:129","Na gut, die Grundkenntnisse hast du ja schon. Wenn du die Waffe gesenkt hältst, dann kannst du direkt mehr Wucht in deinen ersten Schlag legen.","Na az alapokat már tudod. Ha lejjebb fogod a fegyvert, nagyobb erőt tudsz belerakni az első csapásba.","","False","SLD_709_Cord_TRAINAGAIN_Info_14_02","",""
"Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:130","Nutze den Schwung, weißt du noch? Gut, der nächste Schritt ist, dass du deinen Körper mehr einsetzt. Wenn du zweimal geschlagen hast, drehe dich um die eigene Achse, damit überrascht du den Gegner und bist in einer optimalen Position.","Suhogtass, emlékszel? Aztán, többet kell használnod a tested. Ha már kétszer ütöttél, akkor forogj egyet. Ez megzavarja az ellenfeled és előnyösebb helyzetbe hoz.","","False","SLD_709_Cord_TRAINAGAIN_Info_14_03","",""
"Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:131","Dann ziehst du deine Klinge noch einmal quer von rechts nach links.","Ezután suhints jobbról balra újból.","","False","SLD_709_Cord_TRAINAGAIN_Info_14_04","",""
"Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:133","Und wieder von vorne. Vergiss nicht, Übung macht den Meister. Also, geh jetzt und werde ein wahrer Meister des einhändigen Kampfes.","Aztán vissza előre. Ne felejtsd: Gyakorlat teszi a mestert. Tehát, menj és válj az egykezes harc művészetének igazi mesterévé.","","False","SLD_709_Cord_TRAINAGAIN_Info_14_05","",""
"Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:33","Du bist der Chef der Söldner, richtig?","Te vagy a Zsoldosok főnöke, nem igaz?","","False","Sld_700_Lee_Greet.description","",""
"Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:43","Du bist der Chef der Söldner, richtig?","Te vagy a Zsoldosok főnöke, nem igaz?","","False","DIA_Lee_Greet_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:44","Das ist richtig, mein Junge!","Ez így igaz kölyök!","","False","DIA_Lee_Greet_08_01","",""
"Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:56","Was sind die Aufgaben eines Söldners der Magier?","Milyen feladatokat végeznek a Mágusok Zsoldosai?","","False","Sld_700_Lee_Define.description","",""
"Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:69","Was sind die Aufgaben eines Söldners der Magier?","Milyen feladatokat végeznek a Mágusok Zsoldosai?","","False","DIA_Lee_Define_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:70","Ganz einfach: Beschütze das Erz - beschütze die Magier.","Nagyon egyszerű: Védeni az ércet - óvni a mágusokat.","","False","DIA_Lee_Define_08_01","",""
"Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:71","Manchmal haben die Magier aber auch eine besondere Aufgabe für einen von uns.","Van, hogy a mágusok különleges feladatot bíznak valamelyikünkre.","","False","DIA_Lee_Define_08_02","",""
"Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:83","Ich will bei euch mitmachen!","Csatlakozni szeretnék hozzád!","","False","Sld_700_Lee_Mitmachen.description","",""
