"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/content/Story/Log_Constants.d:11","Baloros Waffe","Baloro Fegyvere","","","Baloros_Waffe","",""
"Scripts/content/Story/Log_Constants.d:12","Baloro hat versprochen, mir eine verdammt gute Waffe zu geben, wenn ich ihm ein paar Sachen besorge. Er will 5 Äpfel, 2 Flaschen Reisschnaps, 5 Flaschen Bier, 3 Laibe Brot, 2 Käsestücke und 2 Weintraubenreben.","Baloro megigérte, hogy ad nekem egy nagyszerű fegyvert, hogyha hozok neki 5 almát, 2 üveg rizspálinkát, 5 üveg sört, 3 kenyeret, 2 darab sajtot és 2 fürt szőlőt. ","","","Baloros_Waffe_1","",""
"Scripts/content/Story/Log_Constants.d:13","Hätte ich mir gleich denken können, daß der Typ mich nur verarschen will. Egal! Jetzt bin um eine Erfahrung reicher!","Jobban tettem volna, hogyha nem bízok meg ebben a pofában! Soha többé, megtanultam a leckét! ","","","Baloros_Waffe_2","",""
"Scripts/content/Story/Log_Constants.d:16","Der Fremde","A Jövevény","","","theriddle_log","",""
"Scripts/content/Story/Log_Constants.d:17","Ich habe dem Skelett Magier im Nebelturm ein sehr seltsames Buch abgenommen. Chromanin! Es scheint sich um ein Rätsel zu handeln, das ein geheimnisvoller Fremder dieser Welt gestellt hat: ...Der Weise verschafft sich großen Überblick, bevor er sich der nächsten Aufgabe widmet... Mmmh! Ich verstehe es noch nicht ganz. aber vielleicht komme ich ja noch dahinter.","A Ködtoronyban elvettem egy érdekes könyvet a Csontváz Mágustól. Chromanin! Ez egy rejtély amit egy különös idegen hagyott ezen a földön: ...A Bölcs Ember mindent átgondol mielőtt nekikezd a következő feladatnak... Hmm! Nem egészen értem, de talán idővel majd megértem. ","","","theriddle_log_1","",""
"Scripts/content/Story/Log_Constants.d:18","Ich habe ein zweites Buch gefunden, das den Namen Chromanin trägt. Und wieder gibt es mir ein Rätsel auf...Was geteilt, wird wieder vereint, wenn auch nur kurz massiv voneinander getrennt....","Találtam egy második könyvet Chromanintól. Ismét feladta nekem a leckét ... Mi széthullott, újra egyesülni fog, ha csak rövid ideig volt úgy...  ","","","theriddle_log_2","",""
"Scripts/content/Story/Log_Constants.d:19","Ich habe das dritte Buch gefunden. Ich glaube so langsam verstehe ich, wie das abläuft....Der kluge Fischer, versucht sein Glück auch mal auf der anderen Seite des Sees...","Megtaláltam a harmadik könyvet. Azt hiszem kezdem megérteni a könyvek útját! ...A bölcs halász időnként a tó másik oldalán próbál szerencsét... ","","","theriddle_log_3","",""
"Scripts/content/Story/Log_Constants.d:20","Nummer vier. Ich frag mich langsam, warum ich mich von diesem Typ an der Nase herumführen lasse....Vergessen sind die Taten jener, die sich einst an Bord befanden...","Négyes szám. Gyakran kérdezem magamtól, hogy vajon csak a bolondját járatja-e velem ...Rég elfeledettek a tettei azoknak kik egykoron ott voltak... ","","","theriddle_log_4","",""
"Scripts/content/Story/Log_Constants.d:21","Dies scheint das letzte zu sein. Bin gespannt zu erfahren, wem ich gegenüber stehen werde ...Dort, wo alles begann, sollst du mich finden...","Azt hiszem ez az utolsó. Kíváncsi vagyok kivel vagy mivel fogok találkozni... Megtalálsz ott hol minden elkezdődött... ","","","theriddle_log_5","",""
"Scripts/content/Story/Log_Constants.d:22","Der geheimnisvolle Fremde ist tot. Diese Dämonen haben ihn getötet. Irgendetwas scheint ihn mit diesen Geschöpfen der Hölle verbunden zu haben. Sonst wäre er sicher nicht an diesen gottverlassenen Ort zurückgekehrt. Das Geheimnis, das er mit mir teilen wollte, hat er mit ins Grab genommen.","A különös idegen halott. Azok a démonok végeztek vele. Úgy tűnik, valamiféle béklyók kötötték azokhoz a pokoli lényekhez. Máskülönben, nem jött volna vissza erre a helyre. Úgy tűnik magával vitte a titkot. ","","","theriddle_log_6","",""
"Scripts/content/Story/Log_Constants.d:24","Orktempel","Ork templom","","","OrcTemple_Note","",""
"Scripts/content/Story/Log_Constants.d:25","GorBoba hat sich mir in den Weg gestellt um micht auf zu halten. Ich habe noch von ihm erfahren, dass Kalom und seine Anhänger von dem Hohenpriester Macht verliehen bekommen haben, so dass sie nicht mehr mit menschlichen Waffen verletzt werden können.","Gor Boba meg akar állítani. Azt mondta Kalom és a segítői olyan erőt kaptak a legmagasabb paptól amely sebezhetetlenné teszi őket emberi fegyverrel szemben.","","","OrcTemple_Note_1","",""
"Scripts/content/Story/Log_Constants.d:30","Ernennung zum Schatten","Csatlakozás az Árnyakhoz","","","GE_BecomeShadow","",""
"Scripts/content/Story/Log_Constants.d:32","Beförderung zum Templer","Csatlakozás a Templomosokhoz","","","GE_BecomeTemplar","",""
"Scripts/content/Story/Log_Constants.d:33","Heute hat mich Cor Angar zu einem Templer ernannt. Gor Na Toth soll mir meine neue Rüstung überreichen. Er hält sich normalerweise am Übungsplatz auf.","Ma Cor Angar Templomossá nevezett ki. Gor Na Toth odaadja az új páncélomat. Rendszerint a gyakorlótéren van. ","","","GE_BecomeTemplar_1","",""
"Scripts/content/Story/Log_Constants.d:34","Wenn ich die Eier zurückgebracht habe, sollte ich mal mit Cor Angar reden. Vielleicht nimmt er mich in die Reihen der Templer auf.","Miután kihozom a tojásokat, beszélnem kell Cor Angarral. Talán enged csatlakozni a templomosokhoz. ","","","GE_BecomeTemplar_2","",""
"Scripts/content/Story/Log_Constants.d:35","Ich sollte mal mit Cor Angar reden. Vielleicht nimmt er mich in die Reihen der Templer auf.","Beszélnem kell Cor Angarral. Talán ő engedi, hogy csatlakozzak a Templomosokhoz. ","","","GE_BecomeTemplar_3","",""
"Scripts/content/Story/Log_Constants.d:36","Gor Na Toth überreichte mir meine erste Templer-Rüstung. Nun bin ich ein vollwertiges Mitglied dieser Kriegergemeinschaft!","Gor Na Toth odaadta az első ÍTemplomos páncélomat. Mostmár tagja vagyok a harcos klánnak! ","","","GE_BecomeTemplar_4","",""
"Scripts/content/Story/Log_Constants.d:39","Beförderung zum Gardisten","Csatlakozás az Őrökhöz","","","GE_BecomeGuard","",""
"Scripts/content/Story/Log_Constants.d:40","Wenn ich die Eier zurückgebracht habe, sollte ich mal mit Thorus reden. Vielleicht nimmt er mich in die Reihen der Gardisten auf.","Ha visszatérek a tojásokkal, lesz szavam Thorusnál. Talán engedi, hogy csatlakozzak az Őrökhöz.","","","GE_BecomeGuard_1","",""
"Scripts/content/Story/Log_Constants.d:41","Ich habe meine erste Gardistenrüstung bei Stone dem Schmied abgeholt. Ich kann dort noch bessere Rüstungen kaufen, was er sich allerdings teuer bezahlen lässt.","Az első Őrpáncélomat a kovácsnál, Stone-nál kaptam. Mindig tudok majd jobb páncélt venni itt, de elég magasak az árak. ","","","GE_BecomeGuard_2","",""
"Scripts/content/Story/Log_Constants.d:42","Heute hat mich Thorus in die Reihen der Gardisten aufgenommen. Ich kann mir bei dem Schmied Stone in der Burg meine neue Rüstung abholen.","Ma Thorus felvett az Őrök közé. El kell hoznom az új páncélomat a kastélybeli kovácstól, Stone-tól. ","","","GE_BecomeGuard_3","",""
"Scripts/content/Story/Log_Constants.d:44","Der Kreis der Feuermagier","Tűzmágusok Köre","","","GE_BecomeFiremage","",""
"Scripts/content/Story/Log_Constants.d:45","Corristo hat sich bereit erklärt, mich in den Kreis der Feuermagier aufzunehmen. Er will mich allerdings vorher auf die Probe stellen.","Corristo elmondta enged belépni a Tűzmágusok Körébe. De csak azután, hogy letesztelt. ","","","GE_BecomeFiremage_1","",""
"Scripts/content/Story/Log_Constants.d:46","Ich habe die Probe bestanden und den Schwur des Feuers abgelegt. Fortan trage ich die rote Robe des Feuerkreises!","Átmentem a vizsgán és letettem a Tűz esküjét. Mostantól viselhetem a Tűzkör vörös köpenyét! ","","","GE_BecomeFiremage_2","",""
"Scripts/content/Story/Log_Constants.d:48","Beförderung zum Söldner","Csatlakozás a Zsoldosokhoz","","","GE_BecomeMercenary","",""
"Scripts/content/Story/Log_Constants.d:49","Ich sollte mal mit Lee reden. Vielleicht nimmt er mich in die Reihen der Söldner auf.","Beszélnem kell Leevel. Talán ő engedi, hogy csatlakozzak a zsoldosokhoz. ","","","GE_BecomeMercenary_1","",""
"Scripts/content/Story/Log_Constants.d:50","Lee hat mich bei den Söldnern aufgenommen.","Lee engedi, hogy csatlakozzak a zsoldosokhoz. ","","","GE_BecomeMercenary_2","",""
"Scripts/content/Story/Log_Constants.d:56","Händler im Alten Lager","Kereskedelem a Régi Táborban","","","GE_TraderOC","",""
"Scripts/content/Story/Log_Constants.d:57","Diego verteilt bessere RÜSTUNGEN für Gomez' Schatten. Er hängt vor dem Eingang zur Burg herum.","Diegonál jobb PÁNCÉL van Gomez Árnyainak. A kastély bejáratánál van. ","","","GE_TraderOC_1","",""
"Scripts/content/Story/Log_Constants.d:58","Der Gardist Skip auf dem hinteren Burginnenhof verkauft WAFFEN. Aber nur an Gomez' Leute.","Az Őrkapitány az udvar hátsó részén ad el FEGYVERT. De csak Gomez embereinek. ","","","GE_TraderOC_2","",""
"Scripts/content/Story/Log_Constants.d:59","Torrez verkauft SPRUCHROLLEN und RUNEN. Er hält sich tagsüber im Burghof auf.","Torrez árul VARÁZSLATTEKERCSET és RÚNÁT. Egész nap az udvaron áll. ","","","GE_TraderOC_3","",""
"Scripts/content/Story/Log_Constants.d:60","Der Bandit Mordrag verkauft im Alten Lager Waren aller Art zu günstigen Preisen.","A zsivány Mordrag áruk egész sorát adja el ésszerűbb áron mint a Régi Táborban. ","","","GE_TraderOC_4","",""
"Scripts/content/Story/Log_Constants.d:61","Bandit Mordrag verhökert am Marktplatz Diebesgut","A zsivány Mordrag lopott árukat ad el a piacon.","","False","GE_TraderOC_5","",""
"Scripts/content/Story/Log_Constants.d:62","Fisk, der Schatten handelt mit Waren aller Art, vor allem WAFFEN. Er hält sich am Marktplatz auf.","Fisk, az Árny, mindenfélével kereskedi, kiváltképp FEGYVERREL. Rendszerint a piacon van. ","","","GE_TraderOC_6","",""
"Scripts/content/Story/Log_Constants.d:63","Der Schatten Dexter am Marktplatz handelt mit Sumpfkraut und TRÄNKEN aus dem Sektenlager.","Dexter, az Árny, a Mocsári Táborból való kenderrel és ITALOKKAL kereskedik.","","False","GE_TraderOC_7","",""
"Scripts/content/Story/Log_Constants.d:64","Cavalorn handelt mit BÖGEN und PFEILEN. Er hält sich in der Schlucht westlich des Alten Lagers auf dem Weg ins Neue Lager auf.","Cavalorn kereskedik ÍJJAL és NYÍLLAL. Az Új Tábor felé vezető úton találom, a Régi Tábortól nyugatra lévő szurdokban. ","","","GE_TraderOC_8","",""
"Scripts/content/Story/Log_Constants.d:65","Graham der Buddler verkauft Karten links vom Haupptor.","A bányász Graham a főkaputól balra térképeket árul. ","","","GE_TraderOC_9","",""
"Scripts/content/Story/Log_Constants.d:66","Der Buddler Gravo verkauft eine Dienstleistung besonderer Art. Wenn ich es mir bei wichtigen Leuten im Alten Lager verscherzt habe, kann ich ihn bezahlen, um den Streit beizulegen.","A bányász Gravo különleges szolgáltatást árul. Ha bajba kerülök a Táborban egy fontos emberrel, fizetek neki, hogy békénhagyjon. ","","","GE_TraderOC_10","",""
"Scripts/content/Story/Log_Constants.d:67","Dexter und Fisk handeln mit verschiedenen Waren am Marktplatz.","Dexter és Fisk különböző dolgokkal kereskednek a piacon. ","","","GE_TraderOC_11","",""
"Scripts/content/Story/Log_Constants.d:70","Händler im Neuen Lager","Kereskedelem az Új Táborban","","","GE_TraderNC","",""
"Scripts/content/Story/Log_Constants.d:71","Riordian der Wassermagier handelt mit TRÄNKEN. Er ist im Alchemielabor auf der obersten Ebene zu finden.","Riordian, a Vízmágus, ITALOKKAL kereskedik. A felső szint alkimista laborjában található. ","","","GE_TraderNC_1","",""
"Scripts/content/Story/Log_Constants.d:72","Cronos verkauft magische Utensilien wie RUNEN, SPRUCHROLLEN und RINGE. Er ist Tag und Nacht am Gitter über dem großen Erzhaufen zu finden.","Cronos mágikus tárgyakat árul, úgymint RÚNÁK, TEKERCSEK és GYŰRŰK. A nagy érchalom feletti rácsnál találom éjjel-nappal. ","","","GE_TraderNC_2","",""
"Scripts/content/Story/Log_Constants.d:73","Cipher kauft und verkauft Waren aller Art in der Kneipe auf dem See. Er ist besonders an größeren Lieferungen Sumpfkraut interessiert.","Cipher áruk egész sorát veszi és adja el a tavi kocsmájában. Különösképp a nagy mennyiségű mocsári kender szállítmányok érdeklik.","","False","GE_TraderNC_3","",""
"Scripts/content/Story/Log_Constants.d:74","Baal Kagan verkauft Krautstengel an die Banditen und Söldner im Neuen Lager.","Baal Kagan szálanként teríti, Zsiványoknak és a Zsoldosoknak a kendert, az Új Táborban.","","False","GE_TraderNC_4","",""
"Scripts/content/Story/Log_Constants.d:75","Sharky der Bandit, handelt mit WAFFEN und anderen Waren. Er hält sich meistens irgendwo im Neuen Lager auf.","Sharky, a zsivány, FEGYVERT és egyéb árukkal kereskedik. Rendszerint valahol az Új Táborban van. ","","","GE_TraderNC_5","",""
"Scripts/content/Story/Log_Constants.d:76","Wolf versorgt die Banditen mit RÜSTUNGEN. Er ist normalerweise vor seiner Hütte in der Großen Wohnhöhle zu finden.","Wolf látja el a zsiványokat PÁNCÉLLAL. Rendszerint a nagy lakóbarlangban van a kunyhója előtt. ","","","GE_TraderNC_6","",""
"Scripts/content/Story/Log_Constants.d:77","Wolf, der Bandit, handelt mit BÖGEN.","Wolf, a zsivány, árul ÍJJAT. ","","","GE_TraderNC_7","",""
"Scripts/content/Story/Log_Constants.d:80","Händler im Sumpflager","Kereskedelem a Mocsári Táborban","","","GE_TraderPSI","",""
"Scripts/content/Story/Log_Constants.d:81","Der Guru Baal Cadar verkauft RUNEN, SPRUCHROLLEN, TRÄNKE, AMULETTE und RINGE.","Guru Baal Cadar árul RÚNÁT, MÁGIA TEKERCSET, ITALOKAT, AMULETTET és GYŰRŰKET. ","","","GE_TraderPSI_1","",""
"Scripts/content/Story/Log_Constants.d:82","Bessere NOVIZENRÜSTUNGEN bekomme ich von Baal Namib.","Kapok jobb ÚJONC PÁNCÉLT Baal Namibtól. ","","","GE_TraderPSI_2","",""
"Scripts/content/Story/Log_Constants.d:83","Der Novize Darrion handelt mit WAFFEN. Er hält sich die meiste Zeit in der Schmiede auf.","A tanonc Darrion FEGYVERREL kereskedik. A legtöbb idejét a kovácsműhelyben tölti. ","","","GE_TraderPSI_3","",""
