"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/content/AI/Monster/Mst_BlackGobbo.d:8","schwarzer Goblin","Fekete Goblin","","False","Mst_Default_BlackGobbo.name","",""
"Scripts/content/AI/Monster/Mst_BlackGobbo.d:105","Goblin Krieger","Goblin Harcos","","False","BlackGobboWarrior.name","",""
"Scripts/content/AI/Monster/Mst_Bloodfly.d:8","Blutfliege","Vérszívó","","False","Mst_Default_Bloodfly.name","",""
"Scripts/content/AI/Monster/Mst_Bloodfly.d:105","aggressive Blutfliege","Agresszív Vérszívó","","False","HelpBrothers_Bloodfly.name","",""
"Scripts/content/AI/Monster/Mst_Bloodhound.d:8","Bluthund","Véreb","","False","Mst_Default_Bloodhound.name","",""
"Scripts/content/AI/Monster/Mst_Demon.d:8","Flammendämon","Tűz Démon","","False","Mst_Default_Demon.name","",""
"Scripts/content/AI/Monster/Mst_Demon.d:191","niederer Dämon","Alantas Démon","","False","OTDemon.name","",""
"Scripts/content/AI/Monster/Mst_DemonLord.d:8","Dämonenlord","Démonlord","","False","Mst_Default_DemonLord.name","",""
"Scripts/content/AI/Monster/Mst_FireWaran.d:8","Feuerwaran","Tűzvarán","","False","Mst_Default_FireWaran.name","",""
"Scripts/content/AI/Monster/Mst_Gobbo.d:8","Goblin","Goblin","","False","Mst_Default_GreenGobbo.name","",""
"Scripts/content/AI/Monster/Mst_Golem.d:8","Golem","Gólem","","False","Mst_Default_Golem.name","",""
"Scripts/content/AI/Monster/Mst_Golem.d:96","Stein Golem","Kőgólem","","False","StoneGolem.name","",""
"Scripts/content/AI/Monster/Mst_Golem.d:127","Golem","Gólem","","False","SummonedByPC_StoneGolem.name","",""
"Scripts/content/AI/Monster/Mst_Golem.d:159","Stein Golem","Kőgólem","","False","SummonedByNPC_StoneGolem.name","",""
"Scripts/content/AI/Monster/Mst_Golem.d:189","Feuer Golem","Tűzgólem","","False","FireGolem.name","",""
"Scripts/content/AI/Monster/Mst_Golem.d:225","Eis Golem","Jéggólem","","False","IceGolem.name","",""
"Scripts/content/AI/Monster/Mst_Golem.d:266","Brücken Golem","Hídi Gólem","","False","BridgeGolem.name","",""
"Scripts/content/AI/Monster/Mst_Harpie.d:8","Harpie","Hárpia","","False","Mst_Default_Harpie.name","",""
"Scripts/content/AI/Monster/Mst_Lurker.d:8","Lurker","Lopakodó","","False","Mst_Default_Lurker.name","",""
"Scripts/content/AI/Monster/Mst_Lurker.d:104","Dammlurker","Gáti Lopakodó","","False","DamLurker.name","",""
"Scripts/content/AI/Monster/Mst_Meatbug.d:8","Fleischwanze","Húsbogár","","False","Mst_Default_Meatbug.name","",""
"Scripts/content/AI/Monster/Mst_Minecrawler.d:8","Minecrawler","Tárnarák","","False","Mst_Default_Minecrawler.name","",""
"Scripts/content/AI/Monster/Mst_MinecrawlerQueen.d:8","Minecrawler Königin","Tárnarák Királynő","","False","Mst_Default_MinecrawlerQueen.name","",""
"Scripts/content/AI/Monster/Mst_MinecrawlerWarrior.d:8","Minecrawler Warrior","Tárnarák Harcos","","False","Mst_Default_MinecrawlerWarrior.name","",""
"Scripts/content/AI/Monster/Mst_MinecrawlerWarrior.d:103","Tempel Minecrawler","Templomi Tárnarák","","False","OTMinecrawler.name","",""
"Scripts/content/AI/Monster/Mst_Molerat.d:8","Molerat","Disznópatkány","","False","Mst_Default_Molerat.name","",""
"Scripts/content/AI/Monster/Mst_Molerat.d:105","junge Molerat","Fiatal Disznópatkány","","False","YMolerat.name","",""
"Scripts/content/AI/Monster/Mst_OrcBiter.d:8","Beisser","Harapó","","False","Mst_Default_OrcBiter.name","",""
"Scripts/content/AI/Monster/Mst_OrcDog.d:8","Orc-Hund","Ork Kutya","","False","Mst_Default_OrcDog.name","",""
"Scripts/content/AI/Monster/Mst_OrcScout.d:8","Orc Jäger","Ork Vadász","","False","Mst_Default_OrcScout.name","",""
"Scripts/content/AI/Monster/Mst_OrcScout.d:109","Ork","Ork","","False","OrcPeasantEatAndDrink.name","",""
"Scripts/content/AI/Monster/Mst_OrcScout.d:140","Orc Späher","Ork Felderítő","","False","OrcScoutGYD.name","",""
"Scripts/content/AI/Monster/Mst_OrcShaman.d:8","Ork Schamane","Ork Sámán","","False","Mst_Default_OrcShaman.name","",""
"Scripts/content/AI/Monster/Mst_OrcSlave.d:8","Orc Sklave","Ork Rabszolga","","False","Mst_Default_OrcSlave.name","",""
"Scripts/content/AI/Monster/Mst_OrcSlave.d:105","Ork","Ork","","False","OrcPeasantDance.name","",""
"Scripts/content/AI/Monster/Mst_OrcSlave.d:133","Ork","Ork","","False","OrcPeasantDrum.name","",""
"Scripts/content/AI/Monster/Mst_OrcWarrior.d:8","Ork Krieger","Ork Harcos","","False","Mst_Default_OrcWarrior.name","",""
"Scripts/content/AI/Monster/Mst_OrcWarrior.d:78","Ork Kämpfer","Ork Harcos","","False","OrcWarrior1.name","",""
"Scripts/content/AI/Monster/Mst_OrcWarrior.d:112","Ork Krieger","Ork Harcos","","False","OrcWarrior2.name","",""
"Scripts/content/AI/Monster/Mst_OrcWarrior.d:146","Ork Klankrieger","Ork Klánharcos","","False","OrcWarrior3.name","",""
"Scripts/content/AI/Monster/Mst_OrcWarrior.d:180","Ork Tempelkrieger","Ork Templomos Harcos","","False","OrcWarrior4.name","",""
"Scripts/content/AI/Monster/Mst_Razor.d:8","Razor","Pengefogú","","False","Mst_Default_Razor.name","",""
"Scripts/content/AI/Monster/Mst_Scavenger.d:8","Scavenger","Dögevő","","False","Mst_Default_Scavenger.name","",""
"Scripts/content/AI/Monster/Mst_Scavenger.d:110","junger Scavenger","Fiatal Dögevő","","False","YScavenger.name","",""
"Scripts/content/AI/Monster/Mst_Shadowbeast.d:8","Schattenläufer","Árnybestia","","False","Mst_Default_Shadowbeast.name","",""
"Scripts/content/AI/Monster/Mst_Skeleton.d:8","Skelett","Csontváz","","False","Mst_Default_Skeleton.name","",""
"Scripts/content/AI/Monster/Mst_Skeleton.d:175","Skelett Späher","Csontváz Felderítő","","False","SkeletonScout.name","",""
"Scripts/content/AI/Monster/Mst_Skeleton.d:205","Skelett Krieger","Csontváz Harcos","","False","SkeletonWarrior.name","",""
"Scripts/content/AI/Monster/Mst_Skeleton.d:237","Skelett Magier","Csontváz Mágus","","False","SkeletonMage.name","",""
"Scripts/content/AI/Monster/Mst_Skeleton.d:276","Skelett Magier des Nebelturms","Ködtorony Csontvázmágusa","","False","SkeletonMage_fogtower.name","",""
"Scripts/content/AI/Monster/Mst_Skeleton.d:376","Skelett Krieger","Csontváz Harcos","","False","SummonedByPC_SkeletonWarrior.name","",""
