"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/content/Story/Text.d:6","Kiste","Láda","","","MOBNAME_CRATE","",""
"Scripts/content/Story/Text.d:7","Truhe","Láda","","","MOBNAME_CHEST","",""
"Scripts/content/Story/Text.d:8","Bett","Ágy","","","MOBNAME_BED","",""
"Scripts/content/Story/Text.d:9","Tür","Ajtó","","","MOBNAME_DOOR","",""
"Scripts/content/Story/Text.d:16","Amboss","Üllő","","","MOBNAME_ANVIL","",""
"Scripts/content/Story/Text.d:17","Wasser-Eimer","Vödör","","","MOBNAME_BUCKET","",""
"Scripts/content/Story/Text.d:18","Schmiede-Feuer","Kovácstűz","","","MOBNAME_FORGE","",""
"Scripts/content/Story/Text.d:19","Schleifstein","Köszörűkő","","","MOBNAME_GRINDSTONE","",""
"Scripts/content/Story/Text.d:20","Winde","Csörlő","","","MOBNAME_WHEEL","",""
"Scripts/content/Story/Text.d:24","Kessel","Üst","","","MOBNAME_CAULDRON","",""
"Scripts/content/Story/Text.d:26","Pfanne","Serpenyő","","","MOBNAME_PAN","",""
"Scripts/content/Story/Text.d:28","Wasserpfeife","Vízipipa","","","MOBNAME_WATERPIPE","",""
"Scripts/content/Story/Text.d:29","Leiter","Létra","","","MOBNAME_LADDER","",""
"Scripts/content/Story/Text.d:30","Schalter","Kapcsoló","","","MOBNAME_SWITCH","",""
"Scripts/content/Story/Text.d:32","Erzklumpen","Ércrög","","","MOBNAME_ORE","",""
"Scripts/content/Story/Text.d:35","Blasebalg","Fújtató","","","MOBNAME_BELLOW","",""
"Scripts/content/Story/Text.d:37","Mumie","Múmia","","","MOBNAME_ORC_MUMMY","",""
"Scripts/content/Story/Text.d:38","Säule","Oszlop","","","MOBNAME_PILLAR","",""
"Scripts/content/Story/Text.d:42","Krautstampfer","Fűkeverő","","","MOBNAME_HERB_PSI","",""
"Scripts/content/Story/Text.d:43","Statuette","Szobrocska","","","MOBNAME_IDOL","",""
"Scripts/content/Story/Text.d:46","Zielscheibe","Kis Pajzs","","","MOBNAME_TARGETSTONE","",""
"Scripts/content/Story/Text.d:47","Orkischer Herzschrein","Az Orkok Belső Szentélye","","","MOBNAME_SHRINE","",""
"Scripts/content/Story/Text.d:48","Sonderbarer Stein","Különös ereklyetartó","","","MOBNAME_SWORDSTONE","",""
"Scripts/content/Story/Text.d:57","(keine)","(semmi)","","","TXT_GUILDS[0]","",""
"Scripts/content/Story/Text.d:58","Erzbaron","Ércbáró","","","TXT_GUILDS[1]","",""
"Scripts/content/Story/Text.d:59","Gardist","Őr","","","TXT_GUILDS[2]","",""
"Scripts/content/Story/Text.d:60","Schatten","Árny","","","TXT_GUILDS[3]","",""
"Scripts/content/Story/Text.d:61","Feuermagier","Tűzmágus","","","TXT_GUILDS[4]","",""
"Scripts/content/Story/Text.d:62","Buddler","Bányász","","","TXT_GUILDS[5]","",""
"Scripts/content/Story/Text.d:63","Wassermagier","Vízmágus","","","TXT_GUILDS[6]","",""
"Scripts/content/Story/Text.d:64","Söldner","Zsoldos","","","TXT_GUILDS[7]","",""
"Scripts/content/Story/Text.d:65","Bandit","Zsivány","","","TXT_GUILDS[8]","",""
"Scripts/content/Story/Text.d:66","Bauer","Paraszt","","","TXT_GUILDS[9]","",""
"Scripts/content/Story/Text.d:67","Schürfer","Csákányos","","","TXT_GUILDS[10]","",""
"Scripts/content/Story/Text.d:68","Guru","Guru","","","TXT_GUILDS[11]","",""
"Scripts/content/Story/Text.d:69","Novize","Tanonc","","","TXT_GUILDS[12]","",""
"Scripts/content/Story/Text.d:70","Templer","Templomos","","","TXT_GUILDS[13]","",""
"Scripts/content/Story/Text.d:71","Dämonenbeschw.","Nekromanta","","","TXT_GUILDS[14]","",""
"Scripts/content/Story/Text.d:72","Babe","Csajszi","","False","TXT_GUILDS[15]","",""
"Scripts/content/Story/Text.d:74","Waran","Varán","","False","TXT_GUILDS[17]","",""
"Scripts/content/Story/Text.d:75","Sleeper","Alvó","","","TXT_GUILDS[18]","",""
