"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:31","Ich will besser mit Einhandwaffen umgehen können.","Voglio migliorare la mia abilità con le armi a una sola mano.","","","SLD_709_Cord_TRAINOFFER.description","",""
Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:44","Ich will besser mit Einhandwaffen umgehen können.","Voglio migliorare la mia abilità con le armi a una sola mano.","","","SLD_709_Cord_TRAINOFFER_Info_15_01","",""
Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:45","Natürlich. Kostet aber 'ne Kleinigkeit. 30 Erz will ich sehen.","Ovviamente, ti costerà qualcosa. Voglio 30 pezzi di metallo.","","","SLD_709_Cord_TRAINOFFER_Info_14_02","",""
Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:75","Ich will besser mit Einhandwaffen umgehen können.","Voglio migliorare la mia abilità con le armi a una sola mano.","","","SLD_709_Cord_TRAIN_Info_15_00","",""
Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:81","Gute Entscheidung! Um deine Technik zu verbessern, musst du erst einmal lernen, deine Waffe richtig zu halten.","Ottima decisione! Prima di migliorare la tecnica, devi imparare a tenere l'arma.","","","SLD_709_Cord_TRAIN_14_01","",""
Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:82","Anfänger neigen dazu, Einhandwaffen mit beiden Händen zu halten. Mit so was fängst du am besten gar nicht erst an, das behindert dich nur.","Spesso i principianti tendono a tenere queste armi con entrambe le mani. Non prendere quest'abitudine, non ti aiuterà.","","","SLD_709_Cord_TRAIN_14_02","",""
Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:83","Halt die Waffe mit einer Hand, Klinge nach oben, und dann immer schön schwingen lassen.","Afferra l'arma con una mano, con la lama rivolta verso l'alto, e falla oscillare.","","","SLD_709_Cord_TRAIN_14_03","",""
Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:84","Du musst lernen, den Schwung deiner Waffe mit deinen Bewegungen in Einklang zu bringen, dann kannst du schneller zuschlagen.","Devi imparare a coordinare il movimento dell'arma con quello del corpo, per colpire più velocemente.","","","SLD_709_Cord_TRAIN_14_04","",""
Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:85","Wenn du dich an meine Anweisungen hältst, wirst du in Zukunft eleganter und vor allem schneller kämpfen.","Tieni a mente ciò che ti ho insegnato e i tuoi combattimenti saranno più veloci ed eleganti.","","","SLD_709_Cord_TRAIN_14_05","",""
Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:87","Ach, und noch was: Manche Treffer richten mehr Schaden an als andere! Als Anfänger hast du nur eine geringe Chance, solche kritischen Treffer zu landen.","Ah, già! Ancora una cosa: alcuni colpi causano più danni di altri! Come principiante, non hai molte possibilità di sferrare un colpo mortale.","","","SLD_709_Cord_TRAIN_14_06","",""
Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:88","Aber je weiter du fortschreitest, desto besser wird diese Fähigkeit.","Comunque, man mano che progredirai, ti sarà più facile.","","","SLD_709_Cord_TRAIN_14_07","",""
Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:95","Du besitzt nicht genügend Erz.","Non hai abbastanza metallo.","","","KDF_402_Corristo_HEAVYARMOR_Info_14_03","",""
Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:123","Zeig mir, wie ich im Umgang mit Waffen noch besser werden kann.","Insegnami a maneggiare meglio le armi a una mano.","","","SLD_709_Cord_TRAINAGAIN_Info_15_01","",""
Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:129","Na gut, die Grundkenntnisse hast du ja schon. Wenn du die Waffe gesenkt hältst, dann kannst du direkt mehr Wucht in deinen ersten Schlag legen.","Bene. Le basi le conosci già. Tenendo bassa l'arma, il tuo primo colpo sarà più potente.","","","SLD_709_Cord_TRAINAGAIN_Info_14_02","",""
Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:130","Nutze den Schwung, weißt du noch? Gut, der nächste Schritt ist, dass du deinen Körper mehr einsetzt. Wenn du zweimal geschlagen hast, drehe dich um die eigene Achse, damit überrascht du den Gegner und bist in einer optimalen Position.","Ricordi? Sfrutta l'oscillazione! Bene, ora devi usare di più il corpo. Quando hai colpito due volte, gira su te stesso. Ciò confonderà l'avversario e ti metterà in una posizione privilegiata.","","","SLD_709_Cord_TRAINAGAIN_Info_14_03","",""
Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:131","Dann ziehst du deine Klinge noch einmal quer von rechts nach links.","A questo punto, porta nuovamente la lama da destra a sinistra.","","","SLD_709_Cord_TRAINAGAIN_Info_14_04","",""
Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:133","Und wieder von vorne. Vergiss nicht, Übung macht den Meister. Also, geh jetzt und werde ein wahrer Meister des einhändigen Kampfes.","E di nuovo davanti. Non dimenticare: l'esercizio rende perfetti. Quindi continua a fare pratica con le armi a una mano.","","","SLD_709_Cord_TRAINAGAIN_Info_14_05","",""
Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:140","Du besitzt nicht genügend Erz.","Non hai abbastanza metallo.","","","KDF_402_Corristo_HEAVYARMOR_Info_14_03","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:33","Du bist der Chef der Söldner, richtig?","Tu sei il capo dei mercenari, vero?","","","Sld_700_Lee_Greet.description","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:43","Du bist der Chef der Söldner, richtig?","Tu sei il capo dei mercenari, vero?","","","DIA_Lee_Greet_15_00","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:44","Das ist richtig, mein Junge!","Esatto, ragazzo!","","","DIA_Lee_Greet_08_01","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:56","Was sind die Aufgaben eines Söldners der Magier?","Quali sono i compiti dei mercenari dei maghi?","","","Sld_700_Lee_Define.description","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:69","Was sind die Aufgaben eines Söldners der Magier?","Quali sono i compiti dei mercenari dei maghi?","","","DIA_Lee_Define_15_00","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:70","Ganz einfach: Beschütze das Erz - beschütze die Magier.","È molto semplice: proteggere il metallo e i maghi.","","","DIA_Lee_Define_08_01","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:71","Manchmal haben die Magier aber auch eine besondere Aufgabe für einen von uns.","A volte, i maghi hanno un compito speciale per uno di noi.","","","DIA_Lee_Define_08_02","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:83","Ich will bei euch mitmachen!","Voglio unirmi a voi!","","","Sld_700_Lee_Mitmachen.description","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:98","Ich will bei euch mitmachen!","Voglio unirmi a voi!","","","DIA_Lee_Mitmachen_15_00","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:99","Du hast Nerven! Denkst du, ich nehme direkt jeden, der hier reinkommt?","Hai coraggio! Pensi davvero che io accetti tutti quelli che me lo chiedono?","","","DIA_Lee_Mitmachen_08_01","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:100","Erst wenn du einige Zeit hier im Lager bist, kannst du einer von uns werden. Ich werde dich beobachten!","Potrai diventare uno di noi solo dopo aver passato un po' di tempo nel campo. Ti terrò d'occhio!","","","DIA_Lee_Mitmachen_08_02","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:115","Ich will ein Söldner der Magier werden - bin ich jetzt soweit?","Voglio diventare un mercenario dei maghi. Sono pronto, ora?","","","Sld_700_Lee_NowReady.description","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:129","Ich will ein Söldner der Magier werden - bin ich jetzt soweit?","Voglio diventare un mercenario dei maghi. Sono pronto, ora?","","","DIA_Lee_NowReady_15_00","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:133","Deine Taten für die Bruderschaft in der Alten Mine haben gezeigt, das du einiges drauf hast.","Le tue azioni per la gente della vecchia miniera hanno dimostrato che sei un tipo in gamba.","","","Sld_700_Lee_BECOMESLD_Info_08_01","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:134","Ich wäre bereit, dich in die Reihen der Söldner aufzunehmen.","Vorrei davvero accettarti fra i mercenari.","","","Sld_700_Lee_BECOMESLD_Info_08_02","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:138","Aber du bist noch nicht bereit für die Söldner. Sammle erst noch mehr Erfahrung, dann bist du dabei.","Ma non sei ancora pronto. Guadagna un altro po' d'esperienza e sarai a posto.","","","Sld_700_Lee_BECOMESLD_Info_08_03","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:144","Ich gebe dir eine Chance. Wie siehts aus?","I'll give you a chance. How about it?","","","Sld_700_Lee_BECOMESLD_Info_08_04","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:152","Dir fehlt es noch an Erfahrung. Du mußt deine Fähigkeiten noch steigern.","Non hai abbastanza esperienza. Devi migliorare le tue abilità.","","","DIA_Lee_NowReady_08_01","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:157","Ich gebe dir eine Chance. Wie siehts aus?","I'll give you a chance. How about it?","","","Sld_700_Lee_BECOMESLD_Info_08_04","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:172","Ich will Söldner werden","Voglio diventare un mercenario.","","","Sld_700_Lee_BECOMESLDNOW.description","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:186","Ich will Söldner werden.","Voglio diventare un mercenario.","","","Sld_700_Lee_BECOMESLDNOW_Info_15_01","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:187","Eine gute Entscheidung. Du wirst sie nicht bereuen.","Saggia decisione. Non te ne pentirai.","","","Sld_700_Lee_BECOMESLDNOW_Info_08_02","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:188","Sag mir eins, warum? Warum hast du dich uns angeschlossen und nicht dem Alten Lager oder der Bruderschaft?","Dimmi solo una cosa: perché? Perché ti sei unito a noi e non a Campo vecchio o alla Fratellanza?","","","Sld_700_Lee_BECOMESLDNOW_Info_08_03","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:194","Die anderen Lager sind es nicht wert","Gli altri campi non ne valgono la pena.","","","Sld_700_Lee_BECOMESLDNOW.Sld_700_Lee_BECOMESLDNOW_NOOTHER","Info_AddChoice",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:195","Ich wollte von Anfang an die Freiheit","Ho inseguito la libertà sin dall'inizio.","","","Sld_700_Lee_BECOMESLDNOW.Sld_700_Lee_BECOMESLDNOW_FREEDOM","Info_AddChoice",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:196","Es hat sich einfach so ergeben","È stato un caso.","","","Sld_700_Lee_BECOMESLDNOW.Sld_700_Lee_BECOMESLDNOW_JUSTBECAUSE","Info_AddChoice",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:201","Die anderen Lager sind es nicht wert.","Gli altri campi non ne valgono la pena.","","","Sld_700_Lee_BECOMESLDNOW_NOOTHER_15_01","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:202","Das einzige, was hier drin etwas wert ist, ist die Hoffnung auf Freiheit. Willkommen, SÖLDNER!","L'unica cosa che valga la pena, qui dentro, è la speranza di tornare in libertà. Benvenuto, MERCENARIO!","","","Sld_700_Lee_BECOMESLDNOW_NOOTHER_08_02","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:213","Ich wollte von Anfang an die Freiheit.","Ho inseguito la libertà sin dall'inizio.","","","Sld_700_Lee_BECOMESLDNOW_FREEDOM_15_01","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:214","Wir werden uns unsere Freiheit zurückholen. Willkommen, SÖLDNER.","Torneremo a essere liberi. Benvenuto, MERCENARIO!","","","Sld_700_Lee_BECOMESLDNOW_FREEDOM_08_02","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:225","Es hat sich einfach so ergeben.","È stato un caso.","","","Sld_700_Lee_BECOMESLDNOW_JUSTBECAUSE_15_01","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:226","Hauptsache, es ergibt sich nicht, dass uns die Barriere für immer hier drin gefangen hält. Willkommen, SÖLDNER.","Spero che per caso noi non si resti intrappolati qui per sempre. Benvenuto, MERCENARIO!","","","Sld_700_Lee_BECOMESLDNOW_JUSTBECAUSE_08_02","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:265","Einst führte ich ein anderes Leben.","Un tempo, conducevo una vita molto diversa.","","","Sld_700_Lee_DAMNPAST_Info_08_01","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:266","Ich zählte zu den besten Generälen dieses Landes.","Ero uno dei migliori generali di questa nazione.","","","Sld_700_Lee_DAMNPAST_Info_08_02","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:267","Ich habe mein ganzes Leben lang für dieses Land gekämpft.","Ho passato tutta la vita a combattere per la patria.","","","Sld_700_Lee_DAMNPAST_Info_08_03","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:268","Den Adeligen war ich ein Dorn im Auge, denn der König hörte auf meinen Rat. Und sie sahen ihre schmutzigen Geschäfte in Gefahr.","Ma non piacevo ai nobili perché il Re ascoltava i mie consigli. Sapevano che costituivo una minaccia per i loro loschi affari.","","","Sld_700_Lee_DAMNPAST_Info_08_04","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:269","Ich habe nicht mit ihrer Hinterhältigkeit gerechnet. Sie haben des Königs Frau benutzt, um mich zu kriegen.","Ho sottovalutato la loro perfidia. Hanno usato la moglie del Re per incastrarmi.","","","Sld_700_Lee_DAMNPAST_Info_08_05","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:270","Der sinnlose Mord an ihr wurde mir angehängt. König Rhobar blieb keine Wahl.","Sono stato incolpato per il suo omicidio. Re Rhobar non ha avuto scelta.","","","Sld_700_Lee_DAMNPAST_Info_08_06","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:271","Meine Verdienste um das Land retteten mich vor dem Strick. Aber sie haben mir meine Freiheit genommen.","I servizi resi alla patria mi hanno salvato dalla forca, ma non sono bastati a garantirmi la libertà.","","","Sld_700_Lee_DAMNPAST_Info_08_07","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:272","Eines Tages werde ich wieder frei sein. Dann werde ich zurückkehren und ich werde Rache nehmen.","Un giorno sarò di nuovo libero. Allora tornerò per vendicarmi.","","","Sld_700_Lee_DAMNPAST_Info_08_08","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:276","Ich werde mich rächen.","Avrò la mia vendetta.","","","Sld_700_Lee_DAMNPAST_Info_08_09","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:296","Was sagst du zu der Sache mit der Mine?","Cosa ne pensi della miniera?","","","Sld_700_Lee_FMTaken.description","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:309","Was sagst du zu der Sache mit der Mine?","Cosa ne pensi della miniera?","","","DIA_Lee_FMTaken_15_00","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:313","Sie sind zu weit gegangen, dafür werden sie büßen.","Si sono spinti troppo oltre e se ne pentiranno.","","","DIA_Lee_FMTaken_08_01","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:317","Die Bedrohung dürfte beendet sein!","Ora non sono più una minaccia!","","","Info_Lee_now_freeminefree_15_01","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:318","Du hast viel für unser Lager getan. Männer wie dich kann ich gebrauchen.","Hai fatto molto per il nostro campo. Ho bisogno di uomini come te.","","","Sld_700_Lee_CHANGESIDE_Info_08_02","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:319","Ich danke dir. Ich werde mich jetzt wieder auf den Weg machen.","Grazie. Ora riprendo la mia strada.","","","Info_FreemineOrc_EXIT_15_03","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:320","Einen Moment noch!","Un momento!","","","Info_CorAngar_TELEPORT_08_01","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:321","Nimm diese Zauberrune als Zeichen unseres Dankes für deine großen Taten.","Prendi questa runa magica, come segno di gratitudine.","","","Info_CorAngar_TELEPORT_08_03","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:322","Ich danke dir!","Grazie!","","","Info_CorAngar_TELEPORT_15_05","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:323","Wir sehen uns.","Ci vediamo.","","","Info_Exit_Info_15_01","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:342","Das Alte Lager hat mich verbannt, ich möchte mich euch anschließen!","Sono stato bandito da Campo Vecchio e vorrei unirmi a voi!","","","Sld_700_Lee_CHANGESIDE.description","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:355","Das Alte Lager hat mich verbannt, ich möchte mich euch anschließen!","Sono stato bandito da Campo Vecchio e vorrei unirmi a voi!","","","Sld_700_Lee_CHANGESIDE_Info_15_01","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:356","Du hast viel für unser Lager getan. Männer wie dich kann ich gebrauchen.","Hai fatto molto per il nostro campo. Ho bisogno di uomini come te.","","","Sld_700_Lee_CHANGESIDE_Info_08_02","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:357","Machen wir es kurz. Willkommen im Neuen Lager, SÖLDNER!","Tagliamo corto. Benvenuto a Campo Nuovo, MERCENARIO!","","","Sld_700_Lee_CHANGESIDE_Info_08_03","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:358","Hier ist eine von unseren Rüstungen. Gut, dass du bei uns bist.","Prendi un'armatura. Sono contento che tu sia con noi.","","","Sld_700_Lee_CHANGESIDE_Info_08_04","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:387","Ich brauche eine bessere Rüstung","Ho bisogno di un'armatura migliore.","","","Sld_700_Lee_ARMOR.description","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:400","Ich brauche eine bessere Rüstung.","Ho bisogno di un'armatura migliore.","","","Sld_700_Lee_ARMOR_Info_15_01","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:401","Die Rüstungen musst du dir erst verdienen. Außerdem sind sie nicht ganz billig.","Le armature devi meritarle e non costano poco.","","","Sld_700_Lee_ARMOR_Info_08_02","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:416","Ich möchte die mittelschwere Rüstung haben.","Vorrei l'armatura media.","","","Sld_700_Lee_ARMOR_M_Info_08_01","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:419","Du bist noch nicht so weit, eine bessere Rüstung zu tragen. Komm wieder, wenn du erfahrener geworden bist.","Non hai abbastanza esperienza per indossare un'armatura migliore. Torna quando sarai pronto.","","","Sld_700_Lee_ARMOR_M_Info_08_02","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:423","Ohne Erz gibt es auch keine Rüstung.","Senza metallo non puoi avere alcuna armatura.","","","Sld_700_Lee_ARMOR_M_Info_08_03","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:427","Diese Rüstung ist ein ordentliches Stück Arbeit. Sie wird deinen Körper gut schützen.","Quest'armatura è resistente e ti proteggerà bene.","","","Sld_700_Lee_ARMOR_M_Info_08_04","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:439","Gib mir die schwere Rüstung.","Dammi l'armatura pesante.","","","Sld_700_Lee_ARMOR_H_Info_08_01","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:442","Du bist noch nicht so weit, die schwere Rüstung zu tragen. Komm wieder, wenn du erfahrener geworden bist.","Non hai abbastanza esperienza per indossare l'armatura pesante. Torna quando sarai pronto.","","","Sld_700_Lee_ARMOR_H_Info_08_02","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:446","Ohne Erz gibt es auch keine Rüstung.","Senza metallo non puoi avere alcuna armatura.","","","Sld_700_Lee_ARMOR_H_Info_08_03","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:450","Diese Rüstung ist das Beste, was du in der Barriere bekommen kannst. Und, glaub mir, sie ist das Erz wert.","Quest'armatura è il pezzo migliore che tu possa avere. Credimi, vale il suo prezzo.","","","Sld_700_Lee_ARMOR_H_Info_08_04","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:472","Kannst du mir was beibringen?","Puoi insegnarmi qualcosa?","","","Sld_700_Lee_Teach.description","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:485","Kannst du mir was beibringen?","Puoi insegnarmi qualcosa?","","","Sld_700_Lee_Teach_15_00","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:486","Ich kann dir helfen, stärker und geschickter zu werden.","Posso aiutarti ad aumentare forza e destrezza.","","","Sld_700_Lee_Teach_08_01","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:571","Ich möchte den Umgang mit Zweihändern lernen.","Voglio imparare a usare una spada a due mani.","","","Sld_700_Lee_ZWEIHAND1_Info_15_01","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:575","Nun, dann gehen wir zuerst die Grundbegriffe durch.","Va bene, partiamo dalle basi.","","","Sld_700_Lee_ZWEIHAND1_Info_08_02","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:576","Halte das Schwert waagerecht. Um den Gegner mit einer großen Waffe anzugreifen, brauchst du viel Schwung.","Tieni la spada in posizione orizzontale. Avrai bisogno di più forza per colpire un avversario con un'arma così pesante.","","","Sld_700_Lee_ZWEIHAND1_Info_08_03","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:577","Hole mit der Waffe aus und schlage am besten direkt von oben. Meistens reicht das aus, um den Gegner zu Boden zu strecken.","Alza il braccio e abbassalo davanti a te. Di solito, questo è sufficiente per colpire il nemico.","","","Sld_700_Lee_ZWEIHAND1_Info_08_04","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:578","Nutze den Schwung, wenn die Waffe unten ist, um direkt wieder nach oben zu schlagen.","Riporta in alto l'arma, sfruttando la velocità acquisita.","","","Sld_700_Lee_ZWEIHAND1_Info_08_05","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:579","Seitliche Schläge lassen sich ausgezeichnet mit einem Zweihänder koordinieren. Damit hältst du dir die Gegner vom Hals.","Le spade a due mani sono particolarmente indicate per coordinare dei colpi laterali per tenere a distanza gli avversari.","","","Sld_700_Lee_ZWEIHAND1_Info_08_06","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:580","Das sollte erst einmal reichen. Übe das!","Questo dovrebbe bastare, per iniziare. Fai un po' di pratica.","","","Sld_700_Lee_ZWEIHAND1_Info_08_07","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:613","Ich möchte mehr über den zweihändigen Kampf lernen.","Voglio imparare di più sulle spade a due mani.","","","Sld_700_Lee_ZWEIHAND2_Info_15_01","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:617","Ändere zunächst deine Grundhaltung. Halte das Schwert aufrecht, fasse den Griff mit beiden Händen und halte es seitlich am Körper.","Prima di tutto, devi cambiare la posizione iniziale. Tieni la spada in posizione verticale lungo il fianco, afferrando saldamente l'elsa con entrambe le mani.","","","Sld_700_Lee_ZWEIHAND2_Info_08_02","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:618","Schlage schnell von oben und lass die Klinge über deine Schulter gleiten. Nun hast du die Möglichkeit, einen schnellen Schlag nach rechts zu machen.","Abbassala velocemente e fai oscillare la lama sopra la spalla. Ora puoi sferrare un colpo rapido a destra.","","","Sld_700_Lee_ZWEIHAND2_Info_08_03","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:619","Damit bietest du dem Gegner keine Chance, an dich ranzukommen.","Il tuo avversario non avrà il tempo d'avvicinarsi.","","","Sld_700_Lee_ZWEIHAND2_Info_08_04","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:620","Sonst schlage wieder von links oben nach vorne, um so den Gegner zurückzutreiben.","Oppure abbassa la spada, partendo dall'angolo in alto a sinistra e spingendola in avanti per far indietreggiare l'avversario.","","","Sld_700_Lee_ZWEIHAND2_Info_08_05","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:621","Eine schnelle Körperdrehung verleiht deinem nächsten Schlag die nötige Wucht, um den Gegner zu Boden zu zwingen.","Ruota su te stesso per imprimere la giusta velocità al prossimo colpo.","","","Sld_700_Lee_ZWEIHAND2_Info_08_06","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:622","Falls das nicht ausreichen sollte, dann nutze den übrigen Schwung, um die Klinge noch einmal tanzen zu lassen.","Se non è sufficiente, usa l'oscillazione rimanente per brandire nuovamente la spada.","","","Sld_700_Lee_ZWEIHAND2_Info_08_07","",""
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:623","Geh nach deinem Angriff in den Block und suche eine Lücke, damit du erneut zuschlagen kannst.","Quando hai completato l'attacco, blocca il tuo avversario e attendi un'apertura nella sua difesa per colpire ancora.","","","Sld_700_Lee_ZWEIHAND2_Info_08_08","",""
