"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/content/AI/Monster/Mst_BlackGobbo.d:8","schwarzer Goblin","Gobelinus Ater","","False","Mst_Default_BlackGobbo.name","",""
"Scripts/content/AI/Monster/Mst_BlackGobbo.d:105","Goblin Krieger","Gobelinus Pugnator","","False","BlackGobboWarrior.name","",""
"Scripts/content/AI/Monster/Mst_Bloodfly.d:8","Blutfliege","Musca Sanguinaria","","False","Mst_Default_Bloodfly.name","",""
"Scripts/content/AI/Monster/Mst_Bloodfly.d:105","aggressive Blutfliege","Musca Sanguinaria Infesta","","False","HelpBrothers_Bloodfly.name","",""
"Scripts/content/AI/Monster/Mst_Bloodhound.d:8","Bluthund","Canis Indagator","","False","Mst_Default_Bloodhound.name","",""
"Scripts/content/AI/Monster/Mst_Demon.d:8","Flammendämon","Daemon Igneus","","False","Mst_Default_Demon.name","",""
"Scripts/content/AI/Monster/Mst_Demon.d:191","niederer Dämon","Daemon Inferior","","False","OTDemon.name","",""
"Scripts/content/AI/Monster/Mst_DemonLord.d:8","Dämonenlord","Daemon Dominus","","False","Mst_Default_DemonLord.name","",""
"Scripts/content/AI/Monster/Mst_FireWaran.d:8","Feuerwaran","Lacerta Ignea","","False","Mst_Default_FireWaran.name","",""
"Scripts/content/AI/Monster/Mst_Gobbo.d:8","Goblin","Gobelinus","","False","Mst_Default_GreenGobbo.name","",""
"Scripts/content/AI/Monster/Mst_Golem.d:8","Golem","Golem","","False","Mst_Default_Golem.name","",""
"Scripts/content/AI/Monster/Mst_Golem.d:96","Stein Golem","Golem Lapideum","","False","StoneGolem.name","",""
"Scripts/content/AI/Monster/Mst_Golem.d:127","Golem","Golem","","False","SummonedByPC_StoneGolem.name","",""
"Scripts/content/AI/Monster/Mst_Golem.d:159","Stein Golem","Golem Lapideum","","False","SummonedByNPC_StoneGolem.name","",""
"Scripts/content/AI/Monster/Mst_Golem.d:189","Feuer Golem","Golem Igneum","","False","FireGolem.name","",""
"Scripts/content/AI/Monster/Mst_Golem.d:225","Eis Golem","Golem Gelidum","","False","IceGolem.name","",""
"Scripts/content/AI/Monster/Mst_Golem.d:266","Brücken Golem","Golem Pontile","","False","BridgeGolem.name","",""
"Scripts/content/AI/Monster/Mst_Harpie.d:8","Harpie","Harpy","","False","Mst_Default_Harpie.name","",""
"Scripts/content/AI/Monster/Mst_Lurker.d:8","Lurker","Insidiator","","False","Mst_Default_Lurker.name","",""
"Scripts/content/AI/Monster/Mst_Lurker.d:104","Dammlurker","Insidiator Molis","","False","DamLurker.name","",""
