"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/content/Story/MISSIONS/DIA_GRD_203_Bullit.d:43","Wen haben wir denn da? Du bist doch der Typ, den ich getauft habe? Was willst du? Noch mehr Schläge?","Kogo my tu mamy? Czy to nie ta ofiara, którą ochrzciłem wcześniej? Czego chcesz? Przyszedłeś po repetę?","","False","DIA_Bullit_First_06_00","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_203_Bullit.d:55","Ich bin gekommen, um dir dein großes Maul zu stopfen.","Przyszedłem pogruchotać ci szczękę.","","False","DIA_Bullit_AufsMAul.description","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_203_Bullit.d:65","Ich bin gekommen, um dir dein großes Maul zu stopfen.","Przyszedłem pogruchotać ci szczękę.","","False","DIA_Bullit_AufsMAul_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_203_Bullit.d:66","Ja, dann komm mal her, Bürschchen!","Ha! No to chodź tutaj i spróbuj szczęścia, synku!","","False","DIA_Bullit_AufsMAul_06_01","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_203_Bullit.d:98","Du schon wieder. Ich hätte dich schon am ersten Tag im See versenken sollen!","Znowu ty?! Powinienem cię utopić w jeziorze podczas naszego pierwszego spotkania!","","False","DIA_GRD_203_Bullit_Wait4SC_06_01","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_203_Bullit.d:99","Damals hatte ich keine Chance - jetzt ist genau das Gegenteil der Fall.","Wtedy nie miałem szans - teraz karta się odwróciła.","","False","DIA_GRD_203_Bullit_Wait4SC_15_02","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_203_Bullit.d:100","Du Wurm! Ich hoffe, dass du es mir nicht so einfach machst, wie beim ersten Mal!","Ty gnido! Mam tylko nadzieję, że będziesz trudniejszym przeciwnikiem niż ostatnio!","","False","DIA_GRD_203_Bullit_Wait4SC_06_03","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:47","Wer hat DICH denn reingelassen?","Kto cię tu wpuścił?","","False","DIA_Scorpio_Hello_13_00","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:48","Thorus.","Thorus.","","False","DIA_Scorpio_Hello_15_01","",""
"Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:49","Und was willst du hier?","I czego tu szukasz?","","False","DIA_Scorpio_Hello_13_02","",""
