"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/content/Story/MISSIONS/DIA_KDF_400_Rodriguez.d:34","Ich suche den obersten Magier des Feuers!","Szukam Arcymistrza Magów Ognia!","","False","DIA_Rodriguez_Hello.description","",""
"Scripts/content/Story/MISSIONS/DIA_KDF_400_Rodriguez.d:47","Ich suche den obersten Magier des Feuers!","Szukam Arcymistrza Magów Ognia!","","False","DIA_Rodriguez_Hello_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_KDF_400_Rodriguez.d:48","Geh zu Milten. Der gibt sich mit Laufburschen wie dir ab.","Zgłoś się do Miltena. On się zajmuje kurierami.","","False","DIA_Rodriguez_Hello_12_01","",""
"Scripts/content/Story/MISSIONS/DIA_KDF_401_Damarok.d:23","Möge das Feuer dich allzeit beschützen!","Niech ogień rozświetla twe życie.","","False","KDF_401_Damarok_WELCOME_Info_14_01","",""
"Scripts/content/Story/MISSIONS/DIA_KDF_401_Damarok.d:71","Wenn du Schaden nehmen solltest, werde ich dich heilen.","Gdybyś został ranny, uzdrowię cię.","","False","KDF_401_Damarok_HEAL_Info_14_01","",""
"Scripts/content/Story/MISSIONS/DIA_KDF_401_Damarok.d:83","Ich bin verletzt. Kannst du mich heilen?","Jestem ranny. Możesz mi pomóc?","","False","KDF_401_Damarok_HEALINFO.description","",""
"Scripts/content/Story/MISSIONS/DIA_KDF_401_Damarok.d:97","Ich bin verletzt. Kannst du mich heilen?","Jestem ranny. Możesz mi pomóc?","","False","KDF_401_Damarok_HEALINFO_Info_15_01","",""
"Scripts/content/Story/MISSIONS/DIA_KDF_401_Damarok.d:98","Der Körper gesundet, der Geist wird klar.","W zdrowym ciele - zdrowy duch.","","False","KDF_401_Damarok_HEALINFO_Info_14_02","",""
"Scripts/content/Story/MISSIONS/DIA_KDF_402_Corristo.d:57","Erzähl mir, wie ist es, ein Magier zu sein.","Powiedz mi - jak to jest być magiem?","","False","KDF_402_Corristo_EXPLAINMAGE.description","",""
"Scripts/content/Story/MISSIONS/DIA_KDF_402_Corristo.d:71","Erzähl mir, wie ist es, ein Magier zu sein.","Powiedz mi - jak to jest być magiem?","","False","KDF_402_Corristo_EXPLAINMAGE_Info_15_01","",""
"Scripts/content/Story/MISSIONS/DIA_KDF_402_Corristo.d:72","Wir sind die Magier des Feuers. Die Diener von Innos, dem obersten aller Götter.","Jesteśmy Magami Ognia. Służymy Innosowi - najpotężniejszemu z bogów.","","False","KDF_402_Corristo_EXPLAINMAGE_Info_14_02","",""
"Scripts/content/Story/MISSIONS/DIA_KDF_402_Corristo.d:73","Unsere Magie ist ein Geschenk der Götter. Wir sind auserwählt, zugleich Priester, Lehrer und Richter zu sein.","Nasza magia jest darem niebios. Jesteśmy kapłanami, nauczycielami i sędziami jednocześnie.","","False","KDF_402_Corristo_EXPLAINMAGE_Info_14_03","",""
"Scripts/content/Story/MISSIONS/DIA_KDF_402_Corristo.d:74","Ein Geschenk, das zugleich eine Bürde ist. Ein Amt, das unser Leben bestimmt.","Dar, który jest jednocześnie wielkim ciężarem. To zadanie, które określa cel naszego życia.","","False","KDF_402_Corristo_EXPLAINMAGE_Info_14_04","",""
"Scripts/content/Story/MISSIONS/DIA_KDF_402_Corristo.d:87","Ich möchte in den Kreis der Magier aufgenommen werden","Chciałbym przystąpić do magicznego kręgu.","","False","KDF_402_Corristo_WANNBEKDF.description","",""
"Scripts/content/Story/MISSIONS/DIA_KDF_402_Corristo.d:101","Ich möchte in den Kreis der Magier aufgenommen werden.","Chciałbym przystąpić do magicznego kręgu.","","False","KDF_402_Corristo_WANNBEKDF_Info_15_01","",""
"Scripts/content/Story/MISSIONS/DIA_KDF_402_Corristo.d:102","Du willst also ein Magier des Feuers werden? Hm....","A więc chcesz zostać magiem z Kręgu Ognia? Hmmm...","","False","KDF_402_Corristo_WANNBEKDF_Info_14_02","",""
