"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/system/MENU/menu_defines.d:62","Taste ENTF zum Löschen und RETURN zum definieren","DEL - usuwa, ENTER - przypisuje klawisz.","","","CTRL_KEYDEF","",""
"Scripts/system/MENU/menu_defines.d:63","Gewünschte Taste betätigen.","Naciśnij żądany klawisz.","","","CTRL_KEYDEF_INFO","",""
"Scripts/system/MENU/menu_defines.d:64","nein|ja","nie|tak","","","MENU_NO_YES","",""
"Scripts/system/MENU/menu_defines.d:65","aus|an","wył.|wł.","","","MENU_OFF_ON","",""
"Scripts/system/MENU/menu_defines.d:66","Zurück","Wstecz","","","MENU_BACK","",""
"Scripts/system/MENU/menu_defines.d:69","Slot 1 - RETURN zum Speichern in diesem Slot.","Pozycja 1 - naciśnij ENTER, by zapisać tu grę.","","","MENU_SAVE_1","",""
"Scripts/system/MENU/menu_defines.d:70","Slot 2 - RETURN zum Speichern in diesem Slot.","Pozycja 2 - naciśnij ENTER, by zapisać tu grę.","","","MENU_SAVE_2","",""
"Scripts/system/MENU/menu_defines.d:71","Slot 3 - RETURN zum Speichern in diesem Slot.","Pozycja 3 - naciśnij ENTER, by zapisać tu grę.","","","MENU_SAVE_3","",""
"Scripts/system/MENU/menu_defines.d:72","Slot 4 - RETURN zum Speichern in diesem Slot.","Pozycja 4 - naciśnij ENTER, by zapisać tu grę.","","","MENU_SAVE_4","",""
"Scripts/system/MENU/menu_defines.d:73","Slot 5 - RETURN zum Speichern in diesem Slot.","Pozycja 5 - naciśnij ENTER, by zapisać tu grę.","","","MENU_SAVE_5","",""
"Scripts/system/MENU/menu_defines.d:74","Slot 6 - RETURN zum Speichern in diesem Slot.","Pozycja 6 - naciśnij ENTER, by zapisać tu grę.","","","MENU_SAVE_6","",""
"Scripts/system/MENU/menu_defines.d:75","Slot 7 - RETURN zum Speichern in diesem Slot.","Pozycja 7 - naciśnij ENTER, by zapisać tu grę.","","","MENU_SAVE_7","",""
"Scripts/system/MENU/menu_defines.d:76","Slot 8 - RETURN zum Speichern in diesem Slot.","Pozycja 8 - naciśnij ENTER, by zapisać tu grę.","","","MENU_SAVE_8","",""
"Scripts/system/MENU/menu_defines.d:77","Slot 9 - RETURN zum Speichern in diesem Slot.","Pozycja 9 - naciśnij ENTER, by zapisać tu grę.","","","MENU_SAVE_9","",""
"Scripts/system/MENU/menu_defines.d:78","Slot 10 - RETURN zum Speichern in diesem Slot.","Pozycja 10 - naciśnij ENTER, by zapisać tu grę.","","","MENU_SAVE_10","",""
"Scripts/system/MENU/menu_defines.d:79","Slot 11 - RETURN zum Speichern in diesem Slot.","Pozycja 11 - naciśnij ENTER, by zapisać tu grę.","","","MENU_SAVE_11","",""
"Scripts/system/MENU/menu_defines.d:80","Slot 12 - RETURN zum Speichern in diesem Slot.","Pozycja 12 - naciśnij ENTER, by zapisać tu grę.","","","MENU_SAVE_12","",""
"Scripts/system/MENU/menu_defines.d:81","Slot 13 - RETURN zum Speichern in diesem Slot.","Pozycja 13 - naciśnij ENTER, by zapisać tu grę.","","","MENU_SAVE_13","",""
"Scripts/system/MENU/menu_defines.d:82","Slot 14 - RETURN zum Speichern in diesem Slot.","Pozycja 14 - naciśnij ENTER, by zapisać tu grę.","","","MENU_SAVE_14","",""
"Scripts/system/MENU/menu_defines.d:83","Slot 15 - RETURN zum Speichern in diesem Slot.","Pozycja 15 - naciśnij ENTER, by zapisać tu grę.","","","MENU_SAVE_15","",""
"Scripts/system/MENU/menu_defines.d:85","Slot 1 - RETURN zum Laden des gespeicherten Spielstandes.","Pozycja 1 - naciśnij ENTER, by otworzyć tę grę.","","","MENU_LOAD_1","",""
"Scripts/system/MENU/menu_defines.d:86","Slot 2 - RETURN zum Laden des gespeicherten Spielstandes.","Pozycja 2 - naciśnij ENTER, by otworzyć tę grę.","","","MENU_LOAD_2","",""
"Scripts/system/MENU/menu_defines.d:87","Slot 3 - RETURN zum Laden des gespeicherten Spielstandes.","Pozycja 3 - naciśnij ENTER, by otworzyć tę grę.","","","MENU_LOAD_3","",""
"Scripts/system/MENU/menu_defines.d:88","Slot 4 - RETURN zum Laden des gespeicherten Spielstandes.","Pozycja 4 - naciśnij ENTER, by otworzyć tę grę.","","","MENU_LOAD_4","",""
"Scripts/system/MENU/menu_defines.d:89","Slot 5 - RETURN zum Laden des gespeicherten Spielstandes.","Pozycja 5 - naciśnij ENTER, by otworzyć tę grę.","","","MENU_LOAD_5","",""
"Scripts/system/MENU/menu_defines.d:90","Slot 6 - RETURN zum Laden des gespeicherten Spielstandes.","Pozycja 6 - naciśnij ENTER, by otworzyć tę grę.","","","MENU_LOAD_6","",""
"Scripts/system/MENU/menu_defines.d:91","Slot 7 - RETURN zum Laden des gespeicherten Spielstandes.","Pozycja 7 - naciśnij ENTER, by otworzyć tę grę.","","","MENU_LOAD_7","",""
"Scripts/system/MENU/menu_defines.d:92","Slot 8 - RETURN zum Laden des gespeicherten Spielstandes.","Pozycja 8 - naciśnij ENTER, by otworzyć tę grę.","","","MENU_LOAD_8","",""
"Scripts/system/MENU/menu_defines.d:93","Slot 9 - RETURN zum Laden des gespeicherten Spielstandes.","Pozycja 9 - naciśnij ENTER, by otworzyć tę grę.","","","MENU_LOAD_9","",""
"Scripts/system/MENU/menu_defines.d:94","Slot 10 - RETURN zum Laden des gespeicherten Spielstandes.","Pozycja 10 - naciśnij ENTER, by otworzyć tę grę.","","","MENU_LOAD_10","",""
"Scripts/system/MENU/menu_defines.d:95","Slot 11 - RETURN zum Laden des gespeicherten Spielstandes.","Pozycja 11 - naciśnij ENTER, by otworzyć tę grę.","","","MENU_LOAD_11","",""
"Scripts/system/MENU/menu_defines.d:96","Slot 12 - RETURN zum Laden des gespeicherten Spielstandes.","Pozycja 12 - naciśnij ENTER, by otworzyć tę grę.","","","MENU_LOAD_12","",""
"Scripts/system/MENU/menu_defines.d:97","Slot 13 - RETURN zum Laden des gespeicherten Spielstandes.","Pozycja 13 - naciśnij ENTER, by otworzyć tę grę.","","","MENU_LOAD_13","",""
"Scripts/system/MENU/menu_defines.d:98","Slot 14 - RETURN zum Laden des gespeicherten Spielstandes.","Pozycja 14 - naciśnij ENTER, by otworzyć tę grę.","","","MENU_LOAD_14","",""
"Scripts/system/MENU/menu_defines.d:99","Slot 15 - RETURN zum Laden des gespeicherten Spielstandes.","Pozycja 15 - naciśnij ENTER, by otworzyć tę grę.","","","MENU_LOAD_15","",""
"Scripts/system/MENU/menu_log.d:42","Aktuelle\nMissionen","Bieżące\nMisje","","","MENU_ITEM_SEL_MISSIONS_ACT.text[0]","",""
"Scripts/system/MENU/menu_log.d:56","Erfüllte\nMissionen","Zakończone\nMisje","","","MENU_ITEM_SEL_MISSIONS_OLD.text[0]","",""
"Scripts/system/MENU/menu_log.d:72","Gescheiterte\nMissionen","Niezaliczone\nMisje","","","MENU_ITEM_SEL_MISSIONS_FAILED.text[0]","",""
"Scripts/system/MENU/menu_log.d:88","Allgemeine\nInfos","Informacje\nOgólne","","","MENU_ITEM_SEL_LOG.text[0]","",""
"Scripts/system/MENU/menu_log.d:109","Act Missions","Bieżące misje","","","MENU_ITEM_LIST_MISSIONS_ACT.text[0]","",""
"Scripts/system/MENU/menu_log.d:129","Old Missions","Stare misje","","","MENU_ITEM_LIST_MISSIONS_FAILED.text[0]","",""
"Scripts/system/MENU/menu_log.d:149","Failed Missions","Niezaliczone misje","","","MENU_ITEM_LIST_MISSIONS_OLD.text[0]","",""
"Scripts/system/MENU/menu_log.d:169","Log","Dziennik","","","MENU_ITEM_LIST_LOG.text[0]","",""
"Scripts/system/MENU/menu_log.d:192","no content","brak zawartości","","","MENU_ITEM_CONTENT_VIEWER.text[0]","",""
"Scripts/system/MENU/menu_log.d:211","Tag","Dzień","","","MENU_ITEM_DAY_TITLE.text[0]","",""
"Scripts/system/MENU/menu_log.d:220","Zeit:","Czas:","","","MENU_ITEM_TIME_TITLE.text[0]","",""
"Scripts/system/MENU/menu_log.d:229","XX.","XX.","","","MENU_ITEM_DAY.text[0]","",""
"Scripts/system/MENU/menu_log.d:239","XX:XX","XX:XX","","","MENU_ITEM_TIME.text[0]","",""
"Scripts/system/MENU/menu_main.d:38","Neues Spiel","Nowa gra","","","MENUITEM_MAIN_NEWGAME.text[0]","",""
