"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/content/Story/Text.d:6","Kiste","","","False","MOBNAME_CRATE","",""
"Scripts/content/Story/Text.d:7","Truhe","","","False","MOBNAME_CHEST","",""
"Scripts/content/Story/Text.d:8","Bett","","","False","MOBNAME_BED","",""
"Scripts/content/Story/Text.d:9","Tür","","","False","MOBNAME_DOOR","",""
"Scripts/content/Story/Text.d:16","Amboss","","","False","MOBNAME_ANVIL","",""
"Scripts/content/Story/Text.d:17","Wasser-Eimer","","","False","MOBNAME_BUCKET","",""
"Scripts/content/Story/Text.d:18","Schmiede-Feuer","","","False","MOBNAME_FORGE","",""
"Scripts/content/Story/Text.d:19","Schleifstein","","","False","MOBNAME_GRINDSTONE","",""
"Scripts/content/Story/Text.d:20","Winde","","","False","MOBNAME_WHEEL","",""
"Scripts/content/Story/Text.d:24","Kessel","","","False","MOBNAME_CAULDRON","",""
"Scripts/content/Story/Text.d:26","Pfanne","","","False","MOBNAME_PAN","",""
"Scripts/content/Story/Text.d:28","Wasserpfeife","","","False","MOBNAME_WATERPIPE","",""
"Scripts/content/Story/Text.d:29","Leiter","","","False","MOBNAME_LADDER","",""
"Scripts/content/Story/Text.d:30","Schalter","","","False","MOBNAME_SWITCH","",""
"Scripts/content/Story/Text.d:32","Erzklumpen","","","False","MOBNAME_ORE","",""
"Scripts/content/Story/Text.d:35","Blasebalg","","","False","MOBNAME_BELLOW","",""
"Scripts/content/Story/Text.d:37","Mumie","","","False","MOBNAME_ORC_MUMMY","",""
"Scripts/content/Story/Text.d:38","Säule","","","False","MOBNAME_PILLAR","",""
"Scripts/content/Story/Text.d:42","Krautstampfer","","","False","MOBNAME_HERB_PSI","",""
"Scripts/content/Story/Text.d:43","Statuette","","","False","MOBNAME_IDOL","",""
"Scripts/content/Story/Text.d:46","Zielscheibe","","","False","MOBNAME_TARGETSTONE","",""
"Scripts/content/Story/Text.d:47","Orkischer Herzschrein","","","False","MOBNAME_SHRINE","",""
"Scripts/content/Story/Text.d:48","Sonderbarer Stein","","","False","MOBNAME_SWORDSTONE","",""
"Scripts/content/Story/Text.d:57","(keine)","","","False","TXT_GUILDS[0]","",""
"Scripts/content/Story/Text.d:58","Erzbaron","","","False","TXT_GUILDS[1]","",""
"Scripts/content/Story/Text.d:59","Gardist","","","False","TXT_GUILDS[2]","",""
"Scripts/content/Story/Text.d:60","Schatten","","","False","TXT_GUILDS[3]","",""
"Scripts/content/Story/Text.d:61","Feuermagier","","","False","TXT_GUILDS[4]","",""
"Scripts/content/Story/Text.d:62","Buddler","","","False","TXT_GUILDS[5]","",""
"Scripts/content/Story/Text.d:63","Wassermagier","","","False","TXT_GUILDS[6]","",""
"Scripts/content/Story/Text.d:64","Söldner","","","False","TXT_GUILDS[7]","",""
"Scripts/content/Story/Text.d:65","Bandit","","","False","TXT_GUILDS[8]","",""
"Scripts/content/Story/Text.d:66","Bauer","","","False","TXT_GUILDS[9]","",""
"Scripts/content/Story/Text.d:67","Schürfer","","","False","TXT_GUILDS[10]","",""
"Scripts/content/Story/Text.d:68","Guru","","","False","TXT_GUILDS[11]","",""
"Scripts/content/Story/Text.d:69","Novize","","","False","TXT_GUILDS[12]","",""
"Scripts/content/Story/Text.d:70","Templer","","","False","TXT_GUILDS[13]","",""
"Scripts/content/Story/Text.d:71","Dämonenbeschw.","","","False","TXT_GUILDS[14]","",""
"Scripts/content/Story/Text.d:72","Babe","","","False","TXT_GUILDS[15]","",""
"Scripts/content/Story/Text.d:74","Waran","","","False","TXT_GUILDS[17]","",""
"Scripts/content/Story/Text.d:75","Sleeper","","","False","TXT_GUILDS[18]","",""
"Scripts/content/Story/Text.d:76","Goblin","","","False","TXT_GUILDS[19]","",""
"Scripts/content/Story/Text.d:77","Troll","","","False","TXT_GUILDS[20]","",""
"Scripts/content/Story/Text.d:78","Snapper","","","False","TXT_GUILDS[21]","",""
"Scripts/content/Story/Text.d:79","Minecrawler","","","False","TXT_GUILDS[22]","",""
"Scripts/content/Story/Text.d:80","Fleischwanze","","","False","TXT_GUILDS[23]","",""
"Scripts/content/Story/Text.d:81","Scavenger","","","False","TXT_GUILDS[24]","",""
"Scripts/content/Story/Text.d:82","Dämon","","","False","TXT_GUILDS[25]","",""
"Scripts/content/Story/Text.d:83","Wolf","","","False","TXT_GUILDS[26]","",""
"Scripts/content/Story/Text.d:84","Schattenläufer","","","False","TXT_GUILDS[27]","",""
"Scripts/content/Story/Text.d:85","Bloodfly","","","False","TXT_GUILDS[28]","",""
"Scripts/content/Story/Text.d:86","Sumpfhai","","","False","TXT_GUILDS[29]","",""
"Scripts/content/Story/Text.d:87","Zombie","","","False","TXT_GUILDS[30]","",""
"Scripts/content/Story/Text.d:88","Zombie	Orc","","","False","TXT_GUILDS[31]","",""
"Scripts/content/Story/Text.d:89","Skelett","","","False","TXT_GUILDS[32]","",""
"Scripts/content/Story/Text.d:90","Ork-Hund","","","False","TXT_GUILDS[33]","",""
"Scripts/content/Story/Text.d:91","Molerat","","","False","TXT_GUILDS[34]","",""
"Scripts/content/Story/Text.d:92","Golem","","","False","TXT_GUILDS[35]","",""
"Scripts/content/Story/Text.d:93","Lurker","","","False","TXT_GUILDS[36]","",""
"Scripts/content/Story/Text.d:95","Orc Schamane","","","False","TXT_GUILDS[38]","",""
"Scripts/content/Story/Text.d:96","Orc Krieger","","","False","TXT_GUILDS[39]","",""
"Scripts/content/Story/Text.d:97","Orc Späher","","","False","TXT_GUILDS[40]","",""
"Scripts/content/Story/Text.d:98","Orc Sklave","","","False","TXT_GUILDS[41]","",""
"Scripts/content/Story/Text.d:134","Licht","","","False","TXT_SPELLS[0]","",""
"Scripts/content/Story/Text.d:135","Feuerball","","","False","TXT_SPELLS[1]","",""
"Scripts/content/Story/Text.d:137","Angst","","","False","TXT_SPELLS[3]","",""
"Scripts/content/Story/Text.d:138","Heilung","","","False","TXT_SPELLS[4]","",""
"Scripts/content/Story/Text.d:140","Dämon beschwören","","","False","TXT_SPELLS[6]","",""
"Scripts/content/Story/Text.d:141","Skelette beschwören","","","False","TXT_SPELLS[7]","",""
"Scripts/content/Story/Text.d:143","Windfaust","","","False","TXT_SPELLS[9]","",""
"Scripts/content/Story/Text.d:144","Telekinese","","","False","TXT_SPELLS[10]","",""
"Scripts/content/Story/Text.d:145","Charme","","","False","TXT_SPELLS[11]","",""
"Scripts/content/Story/Text.d:146","Schlaf","","","False","TXT_SPELLS[12]","",""
"Scripts/content/Story/Text.d:147","Pyrokinese","","","False","TXT_SPELLS[13]","",""
"Scripts/content/Story/Text.d:148","Todesring","","","False","TXT_SPELLS[14]","",""
"Scripts/content/Story/Text.d:149","Kontrolle","","","False","TXT_SPELLS[15]","",""
"Scripts/content/Story/Text.d:150","Untote vernichten","","","False","TXT_SPELLS[16]","",""
"Scripts/content/Story/Text.d:151","Feuerpfeil","","","False","TXT_SPELLS[17]","",""
"Scripts/content/Story/Text.d:152","Feuersturm","","","False","TXT_SPELLS[18]","",""
"Scripts/content/Story/Text.d:153","Feuerregen","","","False","TXT_SPELLS[19]","",""
"Scripts/content/Story/Text.d:155","Teleport Feuermagier","","","False","TXT_SPELLS[21]","",""
"Scripts/content/Story/Text.d:156","Teleport Wassermagier","","","False","TXT_SPELLS[22]","",""
"Scripts/content/Story/Text.d:157","Teleport Dämonenbeschwörer","","","False","TXT_SPELLS[23]","",""
"Scripts/content/Story/Text.d:158","orkischer Teleport","","","False","TXT_SPELLS[24]","",""
"Scripts/content/Story/Text.d:159","Teleport Sumpflager","","","False","TXT_SPELLS[25]","",""
"Scripts/content/Story/Text.d:160","Verwandlung Blutfliege","","","False","TXT_SPELLS[26]","",""
"Scripts/content/Story/Text.d:162","Verwandlung Minecrawler","","","False","TXT_SPELLS[28]","",""
"Scripts/content/Story/Text.d:163","Verwandlung Lurker","","","False","TXT_SPELLS[29]","",""
"Scripts/content/Story/Text.d:164","Verwandlung Fleischwanze","","","False","TXT_SPELLS[30]","",""
"Scripts/content/Story/Text.d:165","Verwandlung Molerat","","","False","TXT_SPELLS[31]","",""
"Scripts/content/Story/Text.d:166","Verwandlung Orc-Hund","","","False","TXT_SPELLS[32]","",""
"Scripts/content/Story/Text.d:168","Verwandlung Scavenger","","","False","TXT_SPELLS[34]","",""
"Scripts/content/Story/Text.d:170","Verwandlung Schattenläufer","","","False","TXT_SPELLS[36]","",""
"Scripts/content/Story/Text.d:171","Verwandlung Snapper","","","False","TXT_SPELLS[37]","",""
"Scripts/content/Story/Text.d:172","Verwandlung Waran","","","False","TXT_SPELLS[38]","",""
"Scripts/content/Story/Text.d:173","Verwandlung Wolf","","","False","TXT_SPELLS[39]","",""
"Scripts/content/Story/Text.d:174","Blitz","","","False","TXT_SPELLS[40]","",""
"Scripts/content/Story/Text.d:175","Eispfeil","","","False","TXT_SPELLS[41]","",""
"Scripts/content/Story/Text.d:176","Kugelblitz","","","False","TXT_SPELLS[42]","",""
"Scripts/content/Story/Text.d:177","Eisblock","","","False","TXT_SPELLS[43]","",""
"Scripts/content/Story/Text.d:178","Eiswelle","","","False","TXT_SPELLS[44]","",""
"Scripts/content/Story/Text.d:179","Golem beschwören","","","False","TXT_SPELLS[45]","",""
"Scripts/content/Story/Text.d:180","Armee der Finsternis","","","False","TXT_SPELLS[46]","",""
"Scripts/content/Story/Text.d:181","Sturmfaust","","","False","TXT_SPELLS[47]","",""
"Scripts/content/Story/Text.d:183","Todeshauch","","","False","TXT_SPELLS[49]","",""
"Scripts/content/Story/Text.d:184","Schrumpfen","","","False","TXT_SPELLS[50]","",""
"Scripts/content/Story/Text.d:187","Raserei","","","False","TXT_SPELLS[53]","",""
"Scripts/content/Story/Text.d:188","Zorn des URIZIEL","","","False","TXT_SPELLS[54]","",""
"Scripts/content/Story/Text.d:189","New2","","","False","TXT_SPELLS[55]","",""
"Scripts/content/Story/Text.d:190","New3","","","False","TXT_SPELLS[56]","",""
"Scripts/content/Story/Text.d:191","New4","","","False","TXT_SPELLS[57]","",""
"Scripts/content/Story/Text.d:192","New5","","","False","TXT_SPELLS[58]","",""
"Scripts/content/Story/Text.d:266","Einhänder","","","False","TXT_TALENTS[1]","",""
"Scripts/content/Story/Text.d:267","Zweihänder","","","False","TXT_TALENTS[2]","",""
"Scripts/content/Story/Text.d:268","Bogen","","","False","TXT_TALENTS[3]","",""
"Scripts/content/Story/Text.d:269","Armbrust","","","False","TXT_TALENTS[4]","",""
"Scripts/content/Story/Text.d:270","Schlösser öffnen","","","False","TXT_TALENTS[5]","",""
"Scripts/content/Story/Text.d:271","Taschendiebstahl","","","False","TXT_TALENTS[6]","",""
"Scripts/content/Story/Text.d:272","Magie","","","False","TXT_TALENTS[7]","",""
"Scripts/content/Story/Text.d:273","Schleichen","","","False","TXT_TALENTS[8]","",""
"Scripts/content/Story/Text.d:274","Regeneration","","","False","TXT_TALENTS[9]","",""
"Scripts/content/Story/Text.d:275","Meister des Feuers","","","False","TXT_TALENTS[10]","",""
"Scripts/content/Story/Text.d:276","Akrobatik","","","False","TXT_TALENTS[11]","",""
"Scripts/content/Story/Text.d:299","ungeübt|ausgebildet|gemeistert","","","False","TXT_TALENTS_SKILLS[1]","",""
"Scripts/content/Story/Text.d:300","ungeübt|ausgebildet|gemeistert","","","False","TXT_TALENTS_SKILLS[2]","",""
"Scripts/content/Story/Text.d:301","ungeübt|ausgebildet|gemeistert","","","False","TXT_TALENTS_SKILLS[3]","",""
"Scripts/content/Story/Text.d:302","ungeübt|ausgebildet|gemeistert","","","False","TXT_TALENTS_SKILLS[4]","",""
"Scripts/content/Story/Text.d:303","ungeübt|ausgebildet|gemeistert","","","False","TXT_TALENTS_SKILLS[5]","",""
"Scripts/content/Story/Text.d:304","ungeübt|ausgebildet|gemeistert","","","False","TXT_TALENTS_SKILLS[6]","",""
"Scripts/content/Story/Text.d:305","nein|1.Kreis|2.Kreis|3.Kreis|4.Kreis|5.Kreis|6.Kreis","","","False","TXT_TALENTS_SKILLS[7]","",""
"Scripts/content/Story/Text.d:306","nein|ja","","","False","TXT_TALENTS_SKILLS[8]","",""
"Scripts/content/Story/Text.d:309","nein|ja","","","False","TXT_TALENTS_SKILLS[11]","",""
"Scripts/content/Story/Text.d:318","Waffen","","","False","TXT_INV_CAT[1]","",""
"Scripts/content/Story/Text.d:319","Rüstungen","","","False","TXT_INV_CAT[2]","",""
"Scripts/content/Story/Text.d:320","Magie","","","False","TXT_INV_CAT[3]","",""
"Scripts/content/Story/Text.d:321","Artefakte","","","False","TXT_INV_CAT[4]","",""
"Scripts/content/Story/Text.d:322","Nahrung","","","False","TXT_INV_CAT[5]","",""
"Scripts/content/Story/Text.d:323","Tränke","","","False","TXT_INV_CAT[6]","",""
"Scripts/content/Story/Text.d:324","Schriften","","","False","TXT_INV_CAT[7]","",""
"Scripts/content/Story/Text.d:325","Verschiedenes","","","False","TXT_INV_CAT[8]","",""
"Scripts/content/Story/Text.d:332","Buddler","","","False","NAME_Buddler","",""
"Scripts/content/Story/Text.d:333","Schatten","","","False","NAME_Schatten","",""
"Scripts/content/Story/Text.d:334","Konvoi Träger","","","False","NAME_ConvoiTraeger","",""
"Scripts/content/Story/Text.d:335","Konvoi Wache","","","False","NAME_ConvoiWache","",""
"Scripts/content/Story/Text.d:336","Torwache","","","False","NAME_Torwache","",""
"Scripts/content/Story/Text.d:337","Brückenwache","","","False","NAME_Brueckenwache","",""
"Scripts/content/Story/Text.d:338","Gardist","","","False","NAME_Gardist","",""
"Scripts/content/Story/Text.d:339","Bauer","","","False","NAME_Bauer","",""
"Scripts/content/Story/Text.d:340","Schläger","","","False","NAME_Schlaeger","",""
"Scripts/content/Story/Text.d:341","Schürfer","","","False","NAME_Schuerfer","",""
"Scripts/content/Story/Text.d:342","Bandit","","","False","NAME_Organisator","",""
"Scripts/content/Story/Text.d:343","Söldner","","","False","NAME_Soeldner","",""
"Scripts/content/Story/Text.d:344","Novize","","","False","NAME_Novize","",""
"Scripts/content/Story/Text.d:345","Templer","","","False","NAME_Templer","",""
"Scripts/content/Story/Text.d:346","Räuber","","","False","NAME_Raeuber","",""
"Scripts/content/Story/Text.d:347","Rausschmeisser","","","False","NAME_Tuersteher","",""
"Scripts/content/Story/Text.d:349","Bessessener Novize","","","False","NAME_MadNovice","",""
"Scripts/content/Story/Text.d:350","Fanatischer Templer","","","False","NAME_MadTemplar","",""
"Scripts/content/Story/Text.d:351","Apokalyptischer Templer","","","False","NAME_MadTemplar2","",""
"Scripts/content/Story/Text.d:353","Ur-Shak","","","False","NAME_OrcShaman","",""
"Scripts/content/Story/Text.d:354","Tarrok","","","False","NAME_CuredOrc","",""
"Scripts/content/Story/Text.d:361","ENDE","","","False","DIALOG_ENDE","",""
"Scripts/content/Story/Text.d:362","ZURÜCK","","","False","DIALOG_BACK","",""
"Scripts/content/Story/Text.d:363","(Tauschen)","","","False","DIALOG_TRADE","",""
"Scripts/content/Story/Text.d:369","Ring","","","False","NAME_Ring","",""
"Scripts/content/Story/Text.d:370","Amulett","","","False","NAME_Amulett","",""
"Scripts/content/Story/Text.d:371","Trank","","","False","NAME_Trank","",""
"Scripts/content/Story/Text.d:372","Rune","","","False","NAME_Rune","",""
"Scripts/content/Story/Text.d:373","Spruchrolle","","","False","NAME_Spruchrolle","",""
"Scripts/content/Story/Text.d:379","Wert:","","","False","NAME_Value","",""
"Scripts/content/Story/Text.d:381","Kreis:","","","False","NAME_Mag_Circle","",""
"Scripts/content/Story/Text.d:382","Manakosten:","","","False","NAME_Manakosten","",""
"Scripts/content/Story/Text.d:383","Manakosten (max.):","","","False","NAME_ManakostenMax","",""
"Scripts/content/Story/Text.d:384","Mana pro Sec.","","","False","NAME_ManaPerSec","",""
"Scripts/content/Story/Text.d:385","Dauer (Minuten)","","","False","NAME_Duration","",""
"Scripts/content/Story/Text.d:387","benötigtes Mana:","","","False","NAME_Mana_needed","",""
"Scripts/content/Story/Text.d:388","benötigte Stärke:","","","False","NAME_Str_needed","",""
"Scripts/content/Story/Text.d:389","benötigte Geschicklichkeit:","","","False","NAME_Dex_needed","",""
"Scripts/content/Story/Text.d:391","Aufladbarer Zauber","","","False","NAME_Spell_Load","",""
"Scripts/content/Story/Text.d:392","Aufrechterhaltungs-Zauber","","","False","NAME_Spell_Invest","",""
"Scripts/content/Story/Text.d:394","Waffenschaden","","","False","NAME_Dam_Edge","",""
"Scripts/content/Story/Text.d:395","Pfeilschaden","","","False","NAME_Dam_Point","",""
"Scripts/content/Story/Text.d:396","Feuerschaden","","","False","NAME_Dam_Fire","",""
"Scripts/content/Story/Text.d:397","Magieschaden","","","False","NAME_Dam_Magic","",""
"Scripts/content/Story/Text.d:398","Wirbelschaden","","","False","NAME_Dam_Fly","",""
"Scripts/content/Story/Text.d:400","Schaden","","","False","NAME_Damage","",""
"Scripts/content/Story/Text.d:401"," (pro Mana)","","","False","NAME_PerMana","",""
"Scripts/content/Story/Text.d:402","Schaden pro Sec.","","","False","NAME_DamagePerSec","",""
"Scripts/content/Story/Text.d:404","Schutz vor Waffen:","","","False","NAME_Prot_Edge","",""
"Scripts/content/Story/Text.d:405","Schutz vor Pfeilen:","","","False","NAME_Prot_Point","",""
"Scripts/content/Story/Text.d:406","Schutz vor Feuer:","","","False","NAME_Prot_Fire","",""
"Scripts/content/Story/Text.d:407","Schutz vor Magie:","","","False","NAME_Prot_Magic","",""
"Scripts/content/Story/Text.d:409","Lebensenergie-Bonus:","","","False","NAME_Bonus_HP","",""
"Scripts/content/Story/Text.d:410","Mana-Bonus:","","","False","NAME_Bonus_Mana","",""
"Scripts/content/Story/Text.d:412","Bonus für maximale Lebensenergie:","","","False","NAME_Bonus_HpMax","",""
"Scripts/content/Story/Text.d:413","Bonus für maximales Mana:","","","False","NAME_Bonus_ManaMax","",""
"Scripts/content/Story/Text.d:415","Geschicklichkeits-Bonus:","","","False","NAME_Bonus_Dex","",""
"Scripts/content/Story/Text.d:416","Stärke-Bonus:","","","False","NAME_Bonus_Str","",""
"Scripts/content/Story/Text.d:418","Einhandwaffe","","","False","NAME_OneHanded","",""
"Scripts/content/Story/Text.d:419","Zweihandwaffe:","","","False","NAME_TwoHanded","",""
"Scripts/content/Story/Text.d:423","Heilung pro Mana","","","False","NAME_HealingPerMana","",""
"Scripts/content/Story/Text.d:425","Stärke + ","","","False","NAME_BuyAttributeSTR","",""
