"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/content/Story/Text.d:6","Kiste","Сундук","","","MOBNAME_CRATE","",""
"Scripts/content/Story/Text.d:7","Truhe","Ящик","","","MOBNAME_CHEST","",""
"Scripts/content/Story/Text.d:8","Bett","Кровать","","","MOBNAME_BED","",""
"Scripts/content/Story/Text.d:9","Tür","Дверь","","","MOBNAME_DOOR","",""
"Scripts/content/Story/Text.d:16","Amboss","Наковальня","","","MOBNAME_ANVIL","",""
"Scripts/content/Story/Text.d:17","Wasser-Eimer","Ведро с водой","","","MOBNAME_BUCKET","",""
"Scripts/content/Story/Text.d:18","Schmiede-Feuer","Печь","","","MOBNAME_FORGE","",""
"Scripts/content/Story/Text.d:19","Schleifstein","Точильный камень","","","MOBNAME_GRINDSTONE","",""
"Scripts/content/Story/Text.d:20","Winde","Лебедка","","","MOBNAME_WHEEL","",""
"Scripts/content/Story/Text.d:24","Kessel","Котел","","","MOBNAME_CAULDRON","",""
"Scripts/content/Story/Text.d:26","Pfanne","Сковорода","","","MOBNAME_PAN","",""
"Scripts/content/Story/Text.d:28","Wasserpfeife","Кальян","","","MOBNAME_WATERPIPE","",""
"Scripts/content/Story/Text.d:29","Leiter","Лестница","","","MOBNAME_LADDER","",""
"Scripts/content/Story/Text.d:30","Schalter","Переключатель","","","MOBNAME_SWITCH","",""
"Scripts/content/Story/Text.d:32","Erzklumpen","Залежи руды","","","MOBNAME_ORE","",""
"Scripts/content/Story/Text.d:35","Blasebalg","Кузнечный мех","","","MOBNAME_BELLOW","",""
"Scripts/content/Story/Text.d:37","Mumie","Мумия","","","MOBNAME_ORC_MUMMY","",""
"Scripts/content/Story/Text.d:38","Säule","Колонна","","","MOBNAME_PILLAR","",""
"Scripts/content/Story/Text.d:42","Krautstampfer","Пресс","","","MOBNAME_HERB_PSI","",""
"Scripts/content/Story/Text.d:43","Statuette","Статуя","","","MOBNAME_IDOL","",""
"Scripts/content/Story/Text.d:46","Zielscheibe","Мишень","","","MOBNAME_TARGETSTONE","",""
"Scripts/content/Story/Text.d:47","Orkischer Herzschrein","Саркофаг с сердцем орка","","","MOBNAME_SHRINE","",""
"Scripts/content/Story/Text.d:48","Sonderbarer Stein","Необычный камень","","","MOBNAME_SWORDSTONE","",""
"Scripts/content/Story/Text.d:57","(keine)"," (нет)","","","TXT_GUILDS[0]","",""
"Scripts/content/Story/Text.d:58","Erzbaron"," Барон","","","TXT_GUILDS[1]","",""
"Scripts/content/Story/Text.d:59","Gardist","Стражник","","","TXT_GUILDS[2]","",""
"Scripts/content/Story/Text.d:60","Schatten","Призрак","","","TXT_GUILDS[3]","",""
"Scripts/content/Story/Text.d:61","Feuermagier","Маг Огня","","","TXT_GUILDS[4]","",""
"Scripts/content/Story/Text.d:62","Buddler"," Рудокоп","","","TXT_GUILDS[5]","",""
"Scripts/content/Story/Text.d:63","Wassermagier","Маг Воды","","","TXT_GUILDS[6]","",""
"Scripts/content/Story/Text.d:64","Söldner","Наемник","","","TXT_GUILDS[7]","",""
"Scripts/content/Story/Text.d:65","Bandit","Вор","","","TXT_GUILDS[8]","",""
"Scripts/content/Story/Text.d:66","Bauer"," Крестьянин","","","TXT_GUILDS[9]","",""
"Scripts/content/Story/Text.d:67","Schürfer"," Рудокоп","","","TXT_GUILDS[10]","",""
"Scripts/content/Story/Text.d:68","Guru"," Гуру","","","TXT_GUILDS[11]","",""
"Scripts/content/Story/Text.d:69","Novize","Послушник","","","TXT_GUILDS[12]","",""
"Scripts/content/Story/Text.d:70","Templer","Страж","","","TXT_GUILDS[13]","",""
"Scripts/content/Story/Text.d:71","Dämonenbeschw."," Некромант","","","TXT_GUILDS[14]","",""
"Scripts/content/Story/Text.d:72","Babe","Девица","","False","TXT_GUILDS[15]","",""
"Scripts/content/Story/Text.d:74","Waran","Ящерица","","","TXT_GUILDS[17]","",""
"Scripts/content/Story/Text.d:75","Sleeper"," Спящий","","","TXT_GUILDS[18]","",""
"Scripts/content/Story/Text.d:76","Goblin","Гоблин","","","TXT_GUILDS[19]","",""
"Scripts/content/Story/Text.d:77","Troll","Тролль","","","TXT_GUILDS[20]","",""
"Scripts/content/Story/Text.d:78","Snapper","Глорх","","","TXT_GUILDS[21]","",""
"Scripts/content/Story/Text.d:79","Minecrawler","Ползун","","","TXT_GUILDS[22]","",""
"Scripts/content/Story/Text.d:80","Fleischwanze","Мясной жук","","","TXT_GUILDS[23]","",""
"Scripts/content/Story/Text.d:81","Scavenger","Падальщик","","","TXT_GUILDS[24]","",""
"Scripts/content/Story/Text.d:82","Dämon"," Демон","","","TXT_GUILDS[25]","",""
"Scripts/content/Story/Text.d:83","Wolf","Волк","","","TXT_GUILDS[26]","",""
"Scripts/content/Story/Text.d:84","Schattenläufer","Мракорис","","","TXT_GUILDS[27]","",""
"Scripts/content/Story/Text.d:85","Bloodfly"," Шершень","","","TXT_GUILDS[28]","",""
"Scripts/content/Story/Text.d:86","Sumpfhai","Болотожор","","","TXT_GUILDS[29]","",""
