"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:33","Hi! Ich bin neu hier!","你好！ 我是新来的！","","","DIA_Caine_Hallo.description","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:43","Hi! Ich bin neu hier!","你好！ 我是新来的！","","","DIA_Caine_Hallo_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:44","Ich bin Caine. Schüler von Cor Kalom. Du hast sicher schon von ihm gehört, richtig?","我…我…我是寇尔卡隆的学生。你一定听说过他，对吧？","","False","DIA_Caine_Hallo_13_01","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:47","Nein.","不。","","","DIA_Caine_Hallo.DIA_Caine_Hallo_Nein","Info_AddChoice",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:48","Ja.","是的。","","","DIA_Caine_Hallo.DIA_Caine_Hallo_Ja","Info_AddChoice",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:53","Ja.","是的。","","","DIA_Caine_Hallo_Ja_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:54","Dann weißt du ja, dass er hier der zweitwichtigste Mann nach Y'Berion ist.","那你就知道他是这个营地里的二把手…仅次于伊贝里恩。","","False","DIA_Caine_Hallo_Ja_13_01","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:60","Nein.","不。","","","DIA_Caine_Hallo_Nein_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:61","Nicht?! Du bist wohl wirklich noch nicht lange hier, was?","不是吗？！你没来这儿多久吧，是吗？","","False","DIA_Caine_Hallo_Nein_13_01","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:62","Cor Kalom ist der zweitwichtigste Mann nach Y'Berion. Er entscheidet, wer als Novize bei uns aufgenommen wird.","寇尔卡隆是仅次于伊贝里恩的第二重要人物。他决定谁可以作为新手加入我们。","","False","DIA_Caine_Hallo_Nein_13_02","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:132","Und was tust du?","你的工作是什么？","","","DIA_Caine_Job.description","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:145","Und was tust du?","你的工作是什么？","","","DIA_Caine_Job_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:146","Ich helfe meinem Meister bei der Aufbereitung der alchimistischen Substanzen.","我…我…我帮助我的主人准备他的炼金药剂。","","False","DIA_Caine_Job_13_01","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:147","Im wesentlichen Sumpfkraut und Minecrawlersekret. Vor allem das Sekret braucht er dringend.","主要是沼泽草和矿井爬行者分泌物。那……那分泌物非常急需。","","False","DIA_Caine_Job_13_02","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:159","Wo bekomme ich das Sekret der Minecrawler?","我去哪里能得到矿井爬行者分泌物？","","False","DIA_Caine_WoSekret.description","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:172","Wo bekomme ich das Sekret der Minecrawler?","我去哪里能得到矿井爬行者分泌物？","","False","DIA_Caine_WoSekret_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:173","Crawler findest du in der Alten Mine. Aber du musst wissen wie du ihnen das Sekret abzapfst.","你可以在旧矿井里找到矿井爬行者。但你需要知道如何获取它们的分泌物。","","False","DIA_Caine_WoSekret_13_01","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:174","Falls du wirklich vorhast, dich mit den Biestern anzulegen, sprich besser vorher mit einem der Templer, der Erfahrung hat. Zum Beispiel Gor Na Drak.","如果你真的想和这些野兽战斗，你最好去和有经验的圣殿骑士谈谈。比如科尔·纳德瑞克。","","False","DIA_Caine_WoSekret_13_02","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:175","Er ist jeden Tag zwischen unserem Lager und der Alten Mine unterwegs. Morgens triffst du ihn unten am Labor.","他每天都在我们的营地和…和旧矿场之间来回。早上你在实验室能找到他。","","False","DIA_Caine_WoSekret_13_03","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:187","Was kannst du mir noch über deinen Meister erzählen?","你还能告诉我更多关于你的主人的事情吗？","","False","DIA_Caine_AddInfoKalom.description","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:200","Was kannst du mir noch über deinen Meister erzählen?","你还能告诉我更多关于你的主人的事情吗？","","False","DIA_Caine_AddInfoKalom_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:201","Er ist nicht wie die anderen Gurus. Er getattet jedem, ihn anzusprechen, aber NIEMANDEM seine kostbare Zeit zu verschwenden.","他…他不像…其他的古鲁。大家都可以和他说话，但是…但是谁都不允许浪费他的宝贵时间。","","True","DIA_Caine_AddInfoKalom_13_01","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:243","Wie komme ich an das Rezept von Kalom?","我怎样才能得到寇尔卡隆的配方？","","False","Nov_1301_Caine_CHEST.description","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:256","Wie komme ich an das Rezept von Kalom?","我怎样才能得到寇尔卡隆的配方？","","False","Nov_1301_Caine_CHEST_Info_15_01","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:257","Gar nicht. Er hält es in seiner Truhe verschlossen. Das rückt er niemals raus.","你得不到。他把配方锁在一个箱子里，不会给任何人。","","False","Nov_1301_Caine_CHEST_Info_13_02","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1356_Shrat.d:33","Was machst du denn hier?","你在这里做什么？","","","DIA_Shrat_WhyHere.description","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1356_Shrat.d:43","Was machst du denn hier?","你在这里做什么？","","","DIA_Shrat_WhyHere_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1356_Shrat.d:44","Habe ich dir erlaubt, mich anzusprechen?","我是否允许你跟我说话？","","","DIA_Shrat_WhyHere_02_01","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1356_Shrat.d:45","War nur'n Witz! Diese verdammten Spinner gehen mir gehörig auf den Sack, deswegen bin ich hier!","开个玩笑！那些该死的疯子让我烦死了，所以我才来这里的！","","False","DIA_Shrat_WhyHere_02_02","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1356_Shrat.d:46","'Sprich mich nicht an!' - 'Bitte den Schläfer um Vergebung!' - 'Deine Mission ist von äußerster Dringlichkeit!'","“别跟我说话！”—“向沉睡者祈求宽恕吧！”—“你的任务至关重要！”","","False","DIA_Shrat_WhyHere_02_03","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1356_Shrat.d:47","Das hält man ja im Kopf nicht aus - kein Wunder, dass die hier alle gaga sind.","这足以把人逼疯—难怪这里的人都疯了。","","False","DIA_Shrat_WhyHere_02_04","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1356_Shrat.d:48","Ich bin Shrat. Novize ersten Ranges - und das werde ich auch bleiben!","我是什拉特，一级新手—而且我永远都会是！","","False","DIA_Shrat_WhyHere_02_05","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1356_Shrat.d:60","Ich will der Bruderschaft beitreten - kannst du mir helfen?","我想加入兄弟会 - 你能帮我吗？","","","DIA_Shrat_JoinPSI.description","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1356_Shrat.d:73","Ich will der Bruderschaft beitreten - kannst du mir helfen?","我想加入兄弟会 - 你能帮我吗？","","","DIA_Shrat_JoinPSI_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1356_Shrat.d:74","Du willst bei dem Laden hier mitmachen? Ich überleg gerade, wie ich hier wegkomme.","你想加入这个地方？我其实正在想办法怎么离开这里。","","False","DIA_Shrat_JoinPSI_02_01","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1356_Shrat.d:75","Wir könnten ein bisschen durch die Kolonie ziehen. Ein paar Einfaltspinsel ausplündern, ein bisschen Erz sammeln - was denkst du?","我们可以在聚居地里四处逛逛。从几个笨蛋手里弄点有价值的东西，收集点矿石—你觉得呢？","","False","DIA_Shrat_JoinPSI_02_02","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1356_Shrat.d:88","Lass uns zusammen losziehen! Komm mit!","我们一起行动吧！跟我来！","","False","DIA_Shrat_ComeWithMe.description","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1356_Shrat.d:101","Lass uns zusammen losziehen! Komm mit!","我们一起行动吧！跟我来！","","False","DIA_Shrat_ComeWithMe_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1356_Shrat.d:102","Das ist doch mal ein Wort! Auf geht's!","这才是我爱听的！出发吧！","","False","DIA_Shrat_ComeWithMe_02_01","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1356_Shrat.d:118","Hier trennen sich unsere Wege - ich werde von hier aus alleine weiterziehen.","我们就在这里分开 吧—我要自己走了。","","False","DIA_Shrat_LeaveMe.description","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1356_Shrat.d:131","Hier trennen sich unsere Wege - ich werde von hier aus alleine weiterziehen.","我们就在这里分开 吧—我要自己走了。","","False","DIA_Shrat_LeaveMe_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_NOV_1356_Shrat.d:132","Na gut. Ich werd' zurück in mein Versteck im Sumpf gehen. Pass gut auf dich auf!","好的。我要回沼泽里的藏身之处了。你自己保重！","","False","DIA_Shrat_LeaveMe_02_01","",""
"Scripts/content/Story/MISSIONS/DIA_Nov_1300_Talas.d:29","Du bist Talas, der überfallen wurde","你是塔拉斯，那个被抢劫的人","","False","Nov_1300_Talas_UR.description","",""
"Scripts/content/Story/MISSIONS/DIA_Nov_1300_Talas.d:43","Du bist Talas, der überfallen wurde.","你是塔拉斯，那个被抢劫的人。","","False","Nov_1300_Talas_UR_Info_15_01","",""
