"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/content/Story/MISSIONS/DIA_ORG_833_Buster.d:19","Du siehst ganz schön ungelenkig aus, ich könnte dir helfen.","你看起来不太灵活。我可以帮你。","","False","DIA_ORG_833_Buster_02_01","",""
"Scripts/content/Story/MISSIONS/DIA_ORG_833_Buster.d:51","Wie kannst du mir helfen?","你怎么能帮助我？","","","DIA_ORG_833_Buster3.description","",""
"Scripts/content/Story/MISSIONS/DIA_ORG_833_Buster.d:61","Ich kann dir die hohe Kunst der Körperbeherrschung zeigen. AKROBATIK.","我可以向你展示如何控制你的身体。这是杂技的艺术。","","False","DIA_ORG_833_Buster3_02_01","",""
"Scripts/content/Story/MISSIONS/DIA_ORG_833_Buster.d:78","Wenn du deinen Körper beherrscht, bist du in der Lage viel weiter zu springen.","一旦您控制了身体，就可以进一步跳跃。","","","DIA_ORG_833_Buster3_02_02","",""
"Scripts/content/Story/MISSIONS/DIA_ORG_833_Buster.d:79","Du lernst dich richtig abzurollen und aus dem Fall heraus richtig zu landen. Aber denk daran, du bist nicht unsterblich!","您将学习如何翻滚，跌倒时最好的降落方式是什么。但是不要忘记，您不是不死的！","","","DIA_ORG_833_Buster3_02_03","",""
"Scripts/content/Story/MISSIONS/DIA_ORG_833_Buster.d:80","Auch im Kampf ist Akrobatik sehr hilfreich. Du kannst deinen Abstand zum Gegner sehr schnell verändern. Viel Glück!","杂技在战斗中也非常有用。 您将能够很快改变您和敌人之间的距离。 祝你好运！","","","DIA_ORG_833_Buster3_02_04","",""
"Scripts/content/Story/MISSIONS/DIA_ORG_840_Roscoe.d:33","Ich habe die Bedarfsliste der alten Mine.","我有旧矿井的需求清单。","","False","DIA_Roscoe_BringList.description","",""
"Scripts/content/Story/MISSIONS/DIA_ORG_840_Roscoe.d:46","Ich habe die Bedarfsliste der alten Mine.","我有旧矿井的需求清单。","","False","DIA_Roscoe_BringList_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_ORG_840_Roscoe.d:47","Nicht schlecht. Wie bist du daran gekommen?","不错。 你怎么得到的？","","","DIA_Roscoe_BringList_10_01","",""
"Scripts/content/Story/MISSIONS/DIA_ORG_840_Roscoe.d:48","Ian hat sie mir gegeben.","伊恩给了我。","","","DIA_Roscoe_BringList_15_02","",""
"Scripts/content/Story/MISSIONS/DIA_ORG_840_Roscoe.d:49","Du hast Nerven. Sie haben dich geschickt, um dich zu prüfen, was? Thorus geht bestimmt schon die Wände hoch.","你好大的胆子！所以他们派你来试探我，是吗？我敢肯定，托鲁斯一定已经气疯了。","","False","DIA_Roscoe_BringList_10_03","",""
"Scripts/content/Story/MISSIONS/DIA_ORG_840_Roscoe.d:50","Diego hat mir den Auftrag gegeben.","迪亚哥给我下的命令。","","False","DIA_Roscoe_BringList_15_04","",""
"Scripts/content/Story/MISSIONS/DIA_ORG_840_Roscoe.d:51","Diego macht, was Thorus ihm sagt. So wie ich ihn kenne, würde er sich totlachen, wenn er wüsste, dass du hier bist.","迪亚哥都是听托鲁斯的。如果我了解他的话，要是他知道你在这儿，他会笑死的。","","False","DIA_Roscoe_BringList_10_05","",""
"Scripts/content/Story/MISSIONS/DIA_ORG_840_Roscoe.d:52","Kann ich jetzt rein oder was?","我现在可以进去了吗？","","False","DIA_Roscoe_BringList_15_06","",""
"Scripts/content/Story/MISSIONS/DIA_ORG_840_Roscoe.d:53","Geh nur. Lares werden die Augen aus dem Kopf fallen.","进去吧。拉瑞斯会大吃一惊的。","","False","DIA_Roscoe_BringList_10_07","",""
"Scripts/content/Story/MISSIONS/DIA_ORG_840_Roscoe.d:66","Mordrag schickt mich.","是莫德拉格派我来的。","","False","DIA_Roscoe_Mordrag.description","",""
"Scripts/content/Story/MISSIONS/DIA_ORG_840_Roscoe.d:80","Mordrag schickt mich.","是莫德拉格派我来的。","","False","DIA_Roscoe_Mordrag_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_ORG_840_Roscoe.d:81","Mordrag ist schon lange nicht mehr hier. Er ist vielleicht schon längst zum Alten Lager übergelaufen.","莫德拉格已经有一段时间没在这儿露面了。他可能已经加入旧营地了。","","False","DIA_Roscoe_Mordrag_10_01","",""
"Scripts/content/Story/MISSIONS/DIA_ORG_840_Roscoe.d:82","Ich bin mit ihm hierhin gekommen.","我和他一起来的。","","False","DIA_Roscoe_Mordrag_15_02","",""
"Scripts/content/Story/MISSIONS/DIA_ORG_840_Roscoe.d:83","Mordrag ist wieder hier? Wenn du ihn siehst, sag ihm, Lares will ihn sehen.","莫德拉格回来了？如果你碰到他，告诉他拉瑞斯想见他。","","False","DIA_Roscoe_Mordrag_10_03","",""
"Scripts/content/Story/MISSIONS/DIA_ORG_840_Roscoe.d:84","Mordrag hat mir etwas für Lares gegeben.","莫德拉格给了我一些东西要交给拉瑞斯。","","False","DIA_Roscoe_Mordrag_15_04","",""
"Scripts/content/Story/MISSIONS/DIA_ORG_840_Roscoe.d:85","Was?","那是什么？","","False","DIA_Roscoe_Mordrag_10_05","",""
"Scripts/content/Story/MISSIONS/DIA_ORG_840_Roscoe.d:86","Einen Ring.","戒指。","","","DIA_Roscoe_Mordrag_15_06","",""
"Scripts/content/Story/MISSIONS/DIA_ORG_840_Roscoe.d:87","Bestimmt ein kostbares Stück ... Gut, du kannst zu ihm.","肯定是一件珍贵的东西…好吧，你可以去见他了。","","False","DIA_Roscoe_Mordrag_10_07","",""
"Scripts/content/Story/MISSIONS/DIA_ORG_840_Roscoe.d:100","Ich will mich eurer Bande anschließen.","我想加入你的阵营。","","False","DIA_Roscoe_WannaJoin.description","",""
"Scripts/content/Story/MISSIONS/DIA_ORG_840_Roscoe.d:116","Ich will mich eurer Bande anschließen.","我想加入你的阵营。","","False","DIA_Roscoe_WannaJoin_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_ORG_840_Roscoe.d:117","Das wollen viele. Du musst schon mit mehr kommen, wenn du durch diese Tür gehen willst.","很多人都想加入我们。如果你想通过这扇门，你得提出一个更好的条件。","","False","DIA_Roscoe_WannaJoin_10_01","",""
"Scripts/content/Story/MISSIONS/DIA_ORG_840_Roscoe.d:145","Du schon wieder.","又是你。","","","DIA_Roscoe_ComeAgain_10_00","",""
"Scripts/content/Story/MISSIONS/DIA_ORG_840_Roscoe.d:182","Wo soll's denn hingehen?","你想去哪里？","","","Info_Roscoe_FirstWarn_Info_10_00","",""
