"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:23","Dem Ziel entgegen!","我们走吧！","","","Info_Lester_EXIT_05_01","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:27","Der Schläfer möge dich behüten!","愿沉睡者保护你！","","","Info_Lester_EXIT_05_02","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:55","Du hast einen Guru angesprochen!! Tu das nie wieder! Es ist ein Sakrileg! Wenn der Meister es für richtig hält, mit dir zu reden, wird ER dich ansprechen.","你向一位大师讲话！永远不要再这样做了！是亵渎！如果师父要和你说话，他会称呼你。","","","DIA_Lester_Sakrileg_05_00","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:67","Wer bist du?","你是谁？","","","DIA_Lester_Hallo.description","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:80","Wer bist du?","你是谁？","","","DIA_Lester_Hallo_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:81","Ich bin Lester. Ich kümmere mich um die Fremden, die hier ankommen.","我是莱斯特。我照顾来这里的陌生人。","","","DIA_Lester_Hallo_05_01","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:84","Gut, dass du nicht Baal Namib angesprochen hast. Kein Fremder darf die Gurus ansprechen.","你很幸运你没有和巴尔纳米布说话。不允许陌生人与大师交谈。","","","DIA_Lester_Hallo_05_02","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:97","Ich will aber mit deinem Meister reden.","但我想和你的主人谈谈。","","","DIA_Lester_WannaTalkToMaster.description","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:112","Ich will aber mit deinem Meister reden.","但我想和你的主人谈谈。","","","DIA_Lester_WannaTalkToMaster_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:113","Vergiss es! Ich bin sicher, ICH kann dir bei all deinen Problemen weiterhelfen.","忘了它！我确信我可以帮助您解决任何问题。","","","DIA_Lester_WannaTalkToMaster_05_01","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:126","Erzähl mir was über das Lager.","告诉我一些关于营地的事情。","","","DIA_Lester_CampInfo.description","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:140","Erzähl mir was über das Lager.","告诉我一些关于营地的事情。","","","DIA_Lester_CampInfo_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:141","Was willst du wissen?","你想知道什么？","","","DIA_Lester_CampInfo_05_01","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:144","Erzähl mir was über die Gilden.","说说公会吧。","","","DIA_Lester_CampInfo.DIA_Lester_CampInfo_GIL","Info_AddChoice",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:145","Was hat es mit dem Schläfer auf sich?","关于沉睡者，你能告诉我什么？","","","DIA_Lester_CampInfo.DIA_Lester_CampInfo_SLEEPER","Info_AddChoice",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:146","Was weißt du über das Kraut?","你对杂草了解多少？","","","DIA_Lester_CampInfo.DIA_Lester_CampInfo_HERB","Info_AddChoice",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:156","Erzähl mir was über die Gilden.","说说公会吧。","","","DIA_Lester_CampInfo_GIL_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:157","Die Gurus bilden die oberste Gilde. Sie sind der Geist des Lagers, denn ihre Macht ist groß. Die Templer benutzen ihre geistige Stärke im Kampf.","大师组成最高公会。他们是这个阵营的精神，因为他们拥有强大的力量。圣堂武士在战斗中使用他们的精神力量。","","","DIA_Lester_CampInfo_GIL_05_01","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:158","Sie haben einen unbezwingbaren Willen. Leg dich besser NIE mit ihnen an. Ich selber gehöre zu den Novizen. Wir beten zum Schläfer und verrichten die Arbeiten, die hier im Lager anfallen.","他们有不屈不挠的意志力。你永远不应该惹上他们的麻烦。至于我自己，我是新手。我们向沉睡者祈祷并完成营地中的所有工作。","","","DIA_Lester_CampInfo_GIL_05_02","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:159","Einige der Novizen werden als Gurus aufgenommen, aber dazu gehört eine viele Jahre lange Ausbildung.","一些新手被允许加入大师，但要做到这一点，你需要学习很多年。","","","DIA_Lester_CampInfo_GIL_05_03","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:164","Was hat es mit dem Schläfer auf sich?","关于沉睡者，你能告诉我什么？","","","DIA_Lester_CampInfo_SLEEPER_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:165","Der Schläfer ist ein göttliches Wesen. Er schenkt uns Visionen - zumindest den Gurus.","沉睡者是神圣的生物。他引起幻象——至少对大师而言。","","","DIA_Lester_CampInfo_SLEEPER_05_01","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:166","Wir beten zu ihm, denn er wird uns allen die Freiheit schenken.","我们向他祈祷，因为他会给我们自由。","","","DIA_Lester_CampInfo_SLEEPER_05_02","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:167","Und daran glaubst du?","你相信吗？","","","DIA_Lester_CampInfo_SLEEPER_15_03","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:168","Hey, ich bin seit zwei Jahren in der Barriere. Weißt du überhaupt wie lange ZWEI JAHRE sein können?","嘿，我在结界里已经两年了。你知道两年可以有多长吗？","","","DIA_Lester_CampInfo_SLEEPER_05_04","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:169","Du kannst dir nicht vorstellen, was ich alles bereit bin zu glauben und zu machen, damit ich hier wieder raus komme!","你无法想象我愿意相信和做什么，只是为了再次离开这里！","","","DIA_Lester_CampInfo_SLEEPER_05_05","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:174","Was weißt du über das Kraut?","你对杂草了解多少？","","","DIA_Lester_CampInfo_HERB_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:175","Nun, das Kraut wächst im Sumpf. Es muss natürlich noch verarbeitet werden, damit man es rauchen kann. Das machen wir Novizen.","嗯，杂草长在沼泽里。当然，它必须经过处理才能被熏制。这就是我们新手所做的。","","","DIA_Lester_CampInfo_HERB_05_01","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:176","Das Kraut hat eine beruhigende und entspannende Wirkung. Es hilft dir, dich auf das Wesentliche zu konzentrieren und dein Bewusstsein zu öffnen.","杂草具有镇静和放松的作用。它们可以帮助您专注于必需品并提高您的意识。","","","DIA_Lester_CampInfo_HERB_05_02","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:177","Wir tauschen es gegen Waren aus den anderen Lagern und benutzen es, um neue Leute anzuwerben.","我们用它们来换取旧营地的货物，也用它们来招募新人。","","","DIA_Lester_CampInfo_HERB_05_03","",""
