"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/content/Story/Text.d:6","Kiste","盒子","","False","MOBNAME_CRATE","",""
"Scripts/content/Story/Text.d:7","Truhe","胸部","","False","MOBNAME_CHEST","",""
"Scripts/content/Story/Text.d:8","Bett","床","","False","MOBNAME_BED","",""
"Scripts/content/Story/Text.d:9","Tür","门","","False","MOBNAME_DOOR","",""
"Scripts/content/Story/Text.d:16","Amboss","砧","","False","MOBNAME_ANVIL","",""
"Scripts/content/Story/Text.d:17","Wasser-Eimer","水桶","","False","MOBNAME_BUCKET","",""
"Scripts/content/Story/Text.d:18","Schmiede-Feuer","史密斯的火","","False","MOBNAME_FORGE","",""
"Scripts/content/Story/Text.d:19","Schleifstein","磨石","","False","MOBNAME_GRINDSTONE","",""
"Scripts/content/Story/Text.d:20","Winde","绞盘","","False","MOBNAME_WHEEL","",""
"Scripts/content/Story/Text.d:24","Kessel","水壶","","False","MOBNAME_CAULDRON","",""
"Scripts/content/Story/Text.d:26","Pfanne","平底锅","","False","MOBNAME_PAN","",""
"Scripts/content/Story/Text.d:28","Wasserpfeife","水管","","False","MOBNAME_WATERPIPE","",""
"Scripts/content/Story/Text.d:29","Leiter","梯子","","False","MOBNAME_LADDER","",""
"Scripts/content/Story/Text.d:30","Schalter","转变","","False","MOBNAME_SWITCH","",""
"Scripts/content/Story/Text.d:32","Erzklumpen","矿石","","False","MOBNAME_ORE","",""
"Scripts/content/Story/Text.d:35","Blasebalg","波纹管","","False","MOBNAME_BELLOW","",""
"Scripts/content/Story/Text.d:37","Mumie","木乃伊","","False","MOBNAME_ORC_MUMMY","",""
"Scripts/content/Story/Text.d:38","Säule","柱子","","False","MOBNAME_PILLAR","",""
"Scripts/content/Story/Text.d:42","Krautstampfer","杂草捣碎器","","False","MOBNAME_HERB_PSI","",""
"Scripts/content/Story/Text.d:43","Statuette","塑像","","False","MOBNAME_IDOL","",""
"Scripts/content/Story/Text.d:46","Zielscheibe","目标","","False","MOBNAME_TARGETSTONE","",""
"Scripts/content/Story/Text.d:47","Orkischer Herzschrein","兽人神社","","False","MOBNAME_SHRINE","",""
"Scripts/content/Story/Text.d:48","Sonderbarer Stein","奇怪的神社","","False","MOBNAME_SWORDSTONE","",""
"Scripts/content/Story/Text.d:57","(keine)","（没有任何）","","False","TXT_GUILDS[0]","",""
"Scripts/content/Story/Text.d:58","Erzbaron","我是男爵","","False","TXT_GUILDS[1]","",""
"Scripts/content/Story/Text.d:59","Gardist","警卫","","False","TXT_GUILDS[2]","",""
"Scripts/content/Story/Text.d:60","Schatten","阴影","","False","TXT_GUILDS[3]","",""
"Scripts/content/Story/Text.d:61","Feuermagier","火的魔术师","","False","TXT_GUILDS[4]","",""
"Scripts/content/Story/Text.d:62","Buddler","挖掘机","","False","TXT_GUILDS[5]","",""
"Scripts/content/Story/Text.d:63","Wassermagier","魔术师的水","","False","TXT_GUILDS[6]","",""
"Scripts/content/Story/Text.d:64","Söldner","雇佣兵","","False","TXT_GUILDS[7]","",""
"Scripts/content/Story/Text.d:65","Bandit","流氓","","False","TXT_GUILDS[8]","",""
"Scripts/content/Story/Text.d:66","Bauer","农民","","False","TXT_GUILDS[9]","",""
"Scripts/content/Story/Text.d:67","Schürfer","刮刀","","False","TXT_GUILDS[10]","",""
"Scripts/content/Story/Text.d:68","Guru","老师","","False","TXT_GUILDS[11]","",""
"Scripts/content/Story/Text.d:69","Novize","新手","","False","TXT_GUILDS[12]","",""
"Scripts/content/Story/Text.d:70","Templer","圣殿骑士","","False","TXT_GUILDS[13]","",""
"Scripts/content/Story/Text.d:71","Dämonenbeschw.","恶魔召唤。","","False","TXT_GUILDS[14]","",""
"Scripts/content/Story/Text.d:72","Babe","宝贝","","False","TXT_GUILDS[15]","",""
"Scripts/content/Story/Text.d:74","Waran","蜥蜴","","False","TXT_GUILDS[17]","",""
"Scripts/content/Story/Text.d:75","Sleeper","轨枕","","False","TXT_GUILDS[18]","",""
"Scripts/content/Story/Text.d:76","Goblin","妖精","","False","TXT_GUILDS[19]","",""
"Scripts/content/Story/Text.d:77","Troll","巨魔","","False","TXT_GUILDS[20]","",""
"Scripts/content/Story/Text.d:78","Snapper","鲷鱼","","False","TXT_GUILDS[21]","",""
"Scripts/content/Story/Text.d:79","Minecrawler","矿山爪怪","","False","TXT_GUILDS[22]","",""
"Scripts/content/Story/Text.d:80","Fleischwanze","肉类","","False","TXT_GUILDS[23]","",""
"Scripts/content/Story/Text.d:81","Scavenger","清道夫","","False","TXT_GUILDS[24]","",""
"Scripts/content/Story/Text.d:82","Dämon","恶魔","","False","TXT_GUILDS[25]","",""
"Scripts/content/Story/Text.d:83","Wolf","狼","","False","TXT_GUILDS[26]","",""
"Scripts/content/Story/Text.d:84","Schattenläufer","Shadowbeast","","False","TXT_GUILDS[27]","",""
"Scripts/content/Story/Text.d:85","Bloodfly","血蝇","","False","TXT_GUILDS[28]","",""
"Scripts/content/Story/Text.d:86","Sumpfhai","Swampshark","","False","TXT_GUILDS[29]","",""
"Scripts/content/Story/Text.d:87","Zombie","僵尸","","False","TXT_GUILDS[30]","",""
"Scripts/content/Story/Text.d:88","Zombie	Orc","僵尸兽人","","False","TXT_GUILDS[31]","",""
"Scripts/content/Story/Text.d:89","Skelett","骨骼","","False","TXT_GUILDS[32]","",""
"Scripts/content/Story/Text.d:90","Ork-Hund","兽人狗","","False","TXT_GUILDS[33]","",""
"Scripts/content/Story/Text.d:91","Molerat","邪恶","","False","TXT_GUILDS[34]","",""
"Scripts/content/Story/Text.d:92","Golem","魔像","","False","TXT_GUILDS[35]","",""
"Scripts/content/Story/Text.d:93","Lurker","潜伏者","","False","TXT_GUILDS[36]","",""
"Scripts/content/Story/Text.d:95","Orc Schamane","兽人萨满","","False","TXT_GUILDS[38]","",""
"Scripts/content/Story/Text.d:96","Orc Krieger","兽人战士","","False","TXT_GUILDS[39]","",""
"Scripts/content/Story/Text.d:97","Orc Späher","兽人侦察员","","False","TXT_GUILDS[40]","",""
"Scripts/content/Story/Text.d:98","Orc Sklave","兽人奴隶","","False","TXT_GUILDS[41]","",""
"Scripts/content/Story/Text.d:134","Licht","光","","False","TXT_SPELLS[0]","",""
"Scripts/content/Story/Text.d:135","Feuerball","火球","","False","TXT_SPELLS[1]","",""
"Scripts/content/Story/Text.d:137","Angst","恐惧","","False","TXT_SPELLS[3]","",""
"Scripts/content/Story/Text.d:138","Heilung","康复","","False","TXT_SPELLS[4]","",""
"Scripts/content/Story/Text.d:140","Dämon beschwören","召唤恶魔","","False","TXT_SPELLS[6]","",""
"Scripts/content/Story/Text.d:141","Skelette beschwören","召唤骨骼","","False","TXT_SPELLS[7]","",""
"Scripts/content/Story/Text.d:143","Windfaust","拳头","","False","TXT_SPELLS[9]","",""
"Scripts/content/Story/Text.d:144","Telekinese","心灵感应","","False","TXT_SPELLS[10]","",""
"Scripts/content/Story/Text.d:145","Charme","魅力","","False","TXT_SPELLS[11]","",""
"Scripts/content/Story/Text.d:146","Schlaf","睡觉","","False","TXT_SPELLS[12]","",""
"Scripts/content/Story/Text.d:147","Pyrokinese","射击","","False","TXT_SPELLS[13]","",""
"Scripts/content/Story/Text.d:148","Todesring","死亡环","","False","TXT_SPELLS[14]","",""
"Scripts/content/Story/Text.d:149","Kontrolle","控制","","False","TXT_SPELLS[15]","",""
"Scripts/content/Story/Text.d:150","Untote vernichten","亡灵死亡","","False","TXT_SPELLS[16]","",""
"Scripts/content/Story/Text.d:151","Feuerpfeil","火螺栓","","False","TXT_SPELLS[17]","",""
"Scripts/content/Story/Text.d:152","Feuersturm","火风暴","","False","TXT_SPELLS[18]","",""
"Scripts/content/Story/Text.d:153","Feuerregen","大雨","","False","TXT_SPELLS[19]","",""
"Scripts/content/Story/Text.d:155","Teleport Feuermagier","传送魔术师","","False","TXT_SPELLS[21]","",""
"Scripts/content/Story/Text.d:156","Teleport Wassermagier","传送魔术师","","False","TXT_SPELLS[22]","",""
"Scripts/content/Story/Text.d:157","Teleport Dämonenbeschwörer","传送死灵法师","","False","TXT_SPELLS[23]","",""
"Scripts/content/Story/Text.d:158","orkischer Teleport","兽人传送","","False","TXT_SPELLS[24]","",""
"Scripts/content/Story/Text.d:159","Teleport Sumpflager","传送沼泽营地","","False","TXT_SPELLS[25]","",""
"Scripts/content/Story/Text.d:160","Verwandlung Blutfliege","转变为血蝇","","False","TXT_SPELLS[26]","",""
"Scripts/content/Story/Text.d:162","Verwandlung Minecrawler","转变为Minecrawler","","False","TXT_SPELLS[28]","",""
"Scripts/content/Story/Text.d:163","Verwandlung Lurker","转变为潜伏者","","False","TXT_SPELLS[29]","",""
"Scripts/content/Story/Text.d:164","Verwandlung Fleischwanze","转变为肉类","","False","TXT_SPELLS[30]","",""
"Scripts/content/Story/Text.d:165","Verwandlung Molerat","转变为Molerto","","False","TXT_SPELLS[31]","",""
"Scripts/content/Story/Text.d:166","Verwandlung Orc-Hund","变成兽人狗","","False","TXT_SPELLS[32]","",""
"Scripts/content/Story/Text.d:168","Verwandlung Scavenger","转变为清道夫","","False","TXT_SPELLS[34]","",""
"Scripts/content/Story/Text.d:170","Verwandlung Schattenläufer","转变为Shadowbeast","","False","TXT_SPELLS[36]","",""
"Scripts/content/Story/Text.d:171","Verwandlung Snapper","转变为鲷鱼","","False","TXT_SPELLS[37]","",""
"Scripts/content/Story/Text.d:172","Verwandlung Waran","变成蜥蜴","","False","TXT_SPELLS[38]","",""
"Scripts/content/Story/Text.d:173","Verwandlung Wolf","变成狼","","False","TXT_SPELLS[39]","",""
"Scripts/content/Story/Text.d:174","Blitz","连锁闪电","","False","TXT_SPELLS[40]","",""
"Scripts/content/Story/Text.d:175","Eispfeil","冰螺栓","","False","TXT_SPELLS[41]","",""
"Scripts/content/Story/Text.d:176","Kugelblitz","球闪电","","False","TXT_SPELLS[42]","",""
"Scripts/content/Story/Text.d:177","Eisblock","冰块","","False","TXT_SPELLS[43]","",""
"Scripts/content/Story/Text.d:178","Eiswelle","冰波","","False","TXT_SPELLS[44]","",""
"Scripts/content/Story/Text.d:179","Golem beschwören","召唤魔像","","False","TXT_SPELLS[45]","",""
"Scripts/content/Story/Text.d:180","Armee der Finsternis","黑暗军队","","False","TXT_SPELLS[46]","",""
"Scripts/content/Story/Text.d:181","Sturmfaust","风暴拳头","","False","TXT_SPELLS[47]","",""
"Scripts/content/Story/Text.d:183","Todeshauch","呼吸死亡","","False","TXT_SPELLS[49]","",""
"Scripts/content/Story/Text.d:184","Schrumpfen","收缩怪物","","False","TXT_SPELLS[50]","",""
