"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/content/Story/MISSIONS/DIA_KDF_400_Rodriguez.d:34","Ich suche den obersten Magier des Feuers!","我要找高級火界法師！","","","DIA_Rodriguez_Hello.description","",""
"Scripts/content/Story/MISSIONS/DIA_KDF_400_Rodriguez.d:47","Ich suche den obersten Magier des Feuers!","我要找高級火界法師！","","","DIA_Rodriguez_Hello_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_KDF_400_Rodriguez.d:48","Geh zu Milten. Der gibt sich mit Laufburschen wie dir ab.","去見見密爾頓吧。他負責像你這樣的辦事員。","","","DIA_Rodriguez_Hello_12_01","",""
"Scripts/content/Story/MISSIONS/DIA_KDF_401_Damarok.d:23","Möge das Feuer dich allzeit beschützen!","願火界法師能保護你！","","","KDF_401_Damarok_WELCOME_Info_14_01","",""
"Scripts/content/Story/MISSIONS/DIA_KDF_401_Damarok.d:71","Wenn du Schaden nehmen solltest, werde ich dich heilen.","如果你受傷了，我會治癒你。","","","KDF_401_Damarok_HEAL_Info_14_01","",""
"Scripts/content/Story/MISSIONS/DIA_KDF_401_Damarok.d:83","Ich bin verletzt. Kannst du mich heilen?","我受傷了。你能治癒我嗎？","","","KDF_401_Damarok_HEALINFO.description","",""
"Scripts/content/Story/MISSIONS/DIA_KDF_401_Damarok.d:97","Ich bin verletzt. Kannst du mich heilen?","我受傷了。你能治癒我嗎？","","","KDF_401_Damarok_HEALINFO_Info_15_01","",""
"Scripts/content/Story/MISSIONS/DIA_KDF_401_Damarok.d:98","Der Körper gesundet, der Geist wird klar.","身體康復了，精神更清晰了。","","","KDF_401_Damarok_HEALINFO_Info_14_02","",""
"Scripts/content/Story/MISSIONS/DIA_KDF_402_Corristo.d:57","Erzähl mir, wie ist es, ein Magier zu sein.","告訴我－－法師的情況。","","","KDF_402_Corristo_EXPLAINMAGE.description","",""
"Scripts/content/Story/MISSIONS/DIA_KDF_402_Corristo.d:71","Erzähl mir, wie ist es, ein Magier zu sein.","告訴我－－法師的情況。","","","KDF_402_Corristo_EXPLAINMAGE_Info_15_01","",""
"Scripts/content/Story/MISSIONS/DIA_KDF_402_Corristo.d:72","Wir sind die Magier des Feuers. Die Diener von Innos, dem obersten aller Götter.","我們是火界法師。我們是英諾斯的奴僕，是最高的神。","","","KDF_402_Corristo_EXPLAINMAGE_Info_14_02","",""
"Scripts/content/Story/MISSIONS/DIA_KDF_402_Corristo.d:73","Unsere Magie ist ein Geschenk der Götter. Wir sind auserwählt, zugleich Priester, Lehrer und Richter zu sein.","我們的魔法是上帝賜予的。","","","KDF_402_Corristo_EXPLAINMAGE_Info_14_03","",""
"Scripts/content/Story/MISSIONS/DIA_KDF_402_Corristo.d:74","Ein Geschenk, das zugleich eine Bürde ist. Ein Amt, das unser Leben bestimmt.","它是一種不斷地壓制著我們的禮物。任務的不同決定著我們生活的不同。","","","KDF_402_Corristo_EXPLAINMAGE_Info_14_04","",""
