"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/content/Story/MISSIONS/DIA_PC_Fighter.d:23","Auf in den Kampf!","打啊！","","","Info_Gorn_EXIT_09_01","",""
"Scripts/content/Story/MISSIONS/DIA_PC_Fighter.d:27","Bis später.","再見！","","","Info_Gorn_EXIT_09_02","",""
"Scripts/content/Story/MISSIONS/DIA_PC_Fighter.d:55","Hey. Ein neues Gesicht.","嘿，一張新面孔。","","","DIA_Gorn_First_09_00","",""
"Scripts/content/Story/MISSIONS/DIA_PC_Fighter.d:56","Wer bist du?","你是誰？","","","DIA_Gorn_First_15_01","",""
"Scripts/content/Story/MISSIONS/DIA_PC_Fighter.d:57","Ich bin Gorn. Söldner der Magier.","我是宮爾，法師的傭兵。","","","DIA_Gorn_First_09_02","",""
"Scripts/content/Story/MISSIONS/DIA_PC_Fighter.d:69","Was machst du als Söldner der Magier?","作為一名法師的傭兵，你必須做什麼？","","","DIA_Gorn_Leben.description","",""
"Scripts/content/Story/MISSIONS/DIA_PC_Fighter.d:82","Was machst du als Söldner der Magier?","作為一名法師的傭兵，你必須做什麼？","","","DIA_Gorn_Leben_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_PC_Fighter.d:83","Lee hat mit den Magiern eine Abmachung getroffen. Er heuert die besten Kämpfer an, die in der Kolonie zu finden sind. Also uns.","黎翌和法師們做了一筆交易。他雇傭了一些最好的戰士在殖民地裏巡邏，那就是我們。","","","DIA_Gorn_Leben_09_01","",""
"Scripts/content/Story/MISSIONS/DIA_PC_Fighter.d:84","Wir sorgen dafür, dass die Schürfer ungestört Erz abbauen können und halten den Magiern den Rücken frei.","我們要確保採礦工們在礦坑裏採礦的安全性，保證他們不受打擾，不會給法師們惹麻煩。","","","DIA_Gorn_Leben_09_02","",""
"Scripts/content/Story/MISSIONS/DIA_PC_Fighter.d:85","Die Magier kümmern sich darum, dass wir hier rauskommen. Und einen kleinen Teil des Erzes bekommen wir als Sold.","法師要確保我們不會逃出這裏。我們會得到一點礦石作為報酬。","","","DIA_Gorn_Leben_09_03","",""
"Scripts/content/Story/MISSIONS/DIA_PC_Fighter.d:99","Kann ich hier irgendwo pennen?","我可以呆在這兒嗎？","","","DIA_Gorn_Hut.description","",""
"Scripts/content/Story/MISSIONS/DIA_PC_Fighter.d:112","Kann ich hier irgendwo pennen, ohne dass ich vorher jemanden aus seiner Hütte prügeln muss?","我可以呆在這兒，不被踢出去嗎？","","","DIA_Gorn_Hut_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_PC_Fighter.d:113","Ich fürchte nicht. Aber wenn du das wirklich vorhast, geh zu Shrike.","我不那樣認為。但是如果你真的想那樣做，就去拜訪一下史瑞克吧。","","","DIA_Gorn_Hut_09_01","",""
"Scripts/content/Story/MISSIONS/DIA_PC_Fighter.d:114","Er hat sich die Hütte ganz vorne am Höhleneingang geschnappt. Sie stand leer - aber eigentlich gehörte sie uns.","他在洞穴入口處，前面右邊的房子裏。它是空著的，但卻是屬於我們的。","","","DIA_Gorn_Hut_09_02","",""
"Scripts/content/Story/MISSIONS/DIA_PC_Fighter.d:115","Uns?","我們？","","","DIA_Gorn_Hut_15_03","",""
"Scripts/content/Story/MISSIONS/DIA_PC_Fighter.d:116","Den Söldnern eben. Söldner und Banditen leben hier getrennt. Und normalerweise hat keiner aus Lares' Bande was auf dieser Seite des großen Loches zu suchen.","嗯，我們傭兵。傭兵和盜賊是分開居住的。賴理斯的人不在這兒，在大洞的這邊。","","","DIA_Gorn_Hut_09_04","",""
"Scripts/content/Story/MISSIONS/DIA_PC_Fighter.d:117","Im Grunde ist es völlig egal. Aber er hat niemanden gefragt. Und man kann den Banditen nicht alles durchgehen lassen, sonst werden sie aufmüpfig!","這確實不一樣。但是他沒有問。你不能讓那些盜賊逃出去，因為那樣，他們就真的自大了！","","","DIA_Gorn_Hut_09_05","",""
"Scripts/content/Story/MISSIONS/DIA_PC_Fighter.d:134","Shrike hat sich eine andere Hütte gesucht.","史瑞克去另一間屋子了。","","","DIA_Gorn_HutFree.description","",""
"Scripts/content/Story/MISSIONS/DIA_PC_Fighter.d:147","Shrike hat sich eine andere Hütte gesucht.","史瑞克去另一間屋子了。","","","DIA_Gorn_HutFree_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_PC_Fighter.d:148","Gut. Gerade noch hat mich Torlof drauf angesprochen, dass er dem Burschen das Fell über die Ohren ziehen wollte.","好。托洛夫告訴我，他想和那人談談。","","","DIA_Gorn_HutFree_09_01","",""
"Scripts/content/Story/MISSIONS/DIA_PC_Fighter.d:165","Was muss ich tun, um im Neuen Lager aufgenommen zu werden?","要加入新營地，我必須做什麼？","","","DIA_Gorn_BecomeSLD.description","",""
"Scripts/content/Story/MISSIONS/DIA_PC_Fighter.d:179","Was muss ich tun, um im Neuen Lager aufgenommen zu werden?","要加入新營地，我必須做什麼？","","","DIA_Gorn_BecomeSLD_15_00","",""
