"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:23","Dem Ziel entgegen!","我們走吧！","","","Info_Lester_EXIT_05_01","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:27","Der Schläfer möge dich behüten!","願沈睡者保護你！","","","Info_Lester_EXIT_05_02","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:55","Du hast einen Guru angesprochen!! Tu das nie wieder! Es ist ein Sakrileg! Wenn der Meister es für richtig hält, mit dir zu reden, wird ER dich ansprechen.","你與一位導師通信了！不要再那麼做了！那是冒瀆！如果一個主人想和你說話，他就會與你通信。","","","DIA_Lester_Sakrileg_05_00","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:67","Wer bist du?","你是誰？","","","DIA_Lester_Hallo.description","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:80","Wer bist du?","你是誰？","","","DIA_Lester_Hallo_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:81","Ich bin Lester. Ich kümmere mich um die Fremden, die hier ankommen.","我是萊斯特。我要照顧到這兒來的陌生人。","","","DIA_Lester_Hallo_05_01","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:84","Gut, dass du nicht Baal Namib angesprochen hast. Kein Fremder darf die Gurus ansprechen.","你很幸運沒有和巴爾．那米交談。陌生人是不被允許和導師們說話的。","","","DIA_Lester_Hallo_05_02","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:97","Ich will aber mit deinem Meister reden.","但是我想和你的主人談談。","","","DIA_Lester_WannaTalkToMaster.description","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:112","Ich will aber mit deinem Meister reden.","但是我想和你的主人談談。","","","DIA_Lester_WannaTalkToMaster_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:113","Vergiss es! Ich bin sicher, ICH kann dir bei all deinen Problemen weiterhelfen.","算了吧！我相信我能幫你任何其他問題。","","","DIA_Lester_WannaTalkToMaster_05_01","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:126","Erzähl mir was über das Lager.","請告訴我營地的一些事。","","","DIA_Lester_CampInfo.description","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:140","Erzähl mir was über das Lager.","請告訴我營地的一些事。","","","DIA_Lester_CampInfo_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:141","Was willst du wissen?","你想知道什麼？","","","DIA_Lester_CampInfo_05_01","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:144","Erzähl mir was über die Gilden.","請給我講講議會。","","","DIA_Lester_CampInfo.DIA_Lester_CampInfo_GIL","Info_AddChoice",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:145","Was hat es mit dem Schläfer auf sich?","你能給我講講沈睡者的情況嗎？","","","DIA_Lester_CampInfo.DIA_Lester_CampInfo_SLEEPER","Info_AddChoice",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:146","Was weißt du über das Kraut?","你知道沼澤煙草的情況嗎？","","","DIA_Lester_CampInfo.DIA_Lester_CampInfo_HERB","Info_AddChoice",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:156","Erzähl mir was über die Gilden.","請給我講講議會。","","","DIA_Lester_CampInfo_GIL_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:157","Die Gurus bilden die oberste Gilde. Sie sind der Geist des Lagers, denn ihre Macht ist groß. Die Templer benutzen ihre geistige Stärke im Kampf.","導師們組成了最高議會。他們是這個營地的精神力量，所以擁有最強大的能力。聖戰士會在戰鬥中使用他們的精神能量。","","","DIA_Lester_CampInfo_GIL_05_01","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:158","Sie haben einen unbezwingbaren Willen. Leg dich besser NIE mit ihnen an. Ich selber gehöre zu den Novizen. Wir beten zum Schläfer und verrichten die Arbeiten, die hier im Lager anfallen.","他們有一種不屈不撓的意志力。你應該決不去惹他們的麻煩。我呢，是一名見習修士。我們祈禱沈睡者，並在營地裏做所有的工作。","","","DIA_Lester_CampInfo_GIL_05_02","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:159","Einige der Novizen werden als Gurus aufgenommen, aber dazu gehört eine viele Jahre lange Ausbildung.","一些見習修士被允許加入導師，但是要做到那一點，你必須學習很多年才行。","","","DIA_Lester_CampInfo_GIL_05_03","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:164","Was hat es mit dem Schläfer auf sich?","你能給我講講沈睡者的情況嗎？","","","DIA_Lester_CampInfo_SLEEPER_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:165","Der Schläfer ist ein göttliches Wesen. Er schenkt uns Visionen - zumindest den Gurus.","沈睡者是一位神靈。他能給人造成預言－－至少對導師可以。","","","DIA_Lester_CampInfo_SLEEPER_05_01","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:166","Wir beten zu ihm, denn er wird uns allen die Freiheit schenken.","我們為了自由而祈禱他。","","","DIA_Lester_CampInfo_SLEEPER_05_02","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:167","Und daran glaubst du?","你相信嗎？","","","DIA_Lester_CampInfo_SLEEPER_15_03","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:168","Hey, ich bin seit zwei Jahren in der Barriere. Weißt du überhaupt wie lange ZWEI JAHRE sein können?","嘿，我已經進來屏障兩年了。你知道兩年是多長時間吧？","","","DIA_Lester_CampInfo_SLEEPER_05_04","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:169","Du kannst dir nicht vorstellen, was ich alles bereit bin zu glauben und zu machen, damit ich hier wieder raus komme!","你無法想像，為了能離開這裏，我是多麼相信，多麼忠實於沈睡者！","","","DIA_Lester_CampInfo_SLEEPER_05_05","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:174","Was weißt du über das Kraut?","你知道沼澤煙草的情況嗎？","","","DIA_Lester_CampInfo_HERB_15_00","",""
